source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data,solver_success,solver_max_abs_residual
Jakobsen,20.0,0.3,0.4,MEA + MEAH+,0.0778,0.0693423376969207,-0.0499811183113701,True,2.664535259100376e-15
Matin,20.0,0.3,0.406,MEA + MEAH+,0.0689,0.0687575874150592,-0.0008985922682497,True,4.263256414560601e-14
Matin,20.0,0.3,0.431,MEA + MEAH+,0.0663,0.066441697078639,0.0009271884280973,True,3.552713678800501e-15
Matin,20.0,0.3,0.455,MEA + MEAH+,0.0638,0.0645160429227364,0.0048470434563629,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.474,MEA + MEAH+,0.062,0.0633643175348216,0.009453072165011,True,3.552713678800501e-15
Matin,20.0,0.3,0.48,MEA + MEAH+,0.0612,0.0631014191293014,0.0132877043425389,True,1.2434497875801753e-13
Matin,20.0,0.3,0.505,MEA + MEAH+,0.0586,0.0626980935626063,0.0293567195841137,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.524,MEA + MEAH+,0.0637,0.0631860251227478,-0.003518396508525,True,6.253038976318632e-16
Matin,20.0,0.3,0.531,MEA + MEAH+,0.0561,0.0635149199033782,0.0539128934941242,True,1.7763568394002505e-15
Jakobsen,20.0,0.3,0.6,MEA + MEAH+,0.0641,0.0689481698740411,0.0316647134491267,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.609,MEA + MEAH+,0.0696,0.0697929879392399,0.0012025518912601,True,6.253964441179223e-16
Bottinger,20.0,0.3,0.704,MEA + MEAH+,0.0747,0.0789802325820896,0.0241978065034523,True,7.105427357601002e-15
Jakobsen,20.0,0.3,0.78,MEA + MEAH+,0.0752,0.0859193229903399,0.0578730057117205,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.832,MEA + MEAH+,0.0835,0.0901125365528575,0.0330987392133781,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.929,MEA + MEAH+,0.0883,0.0961926558057823,0.0371812118617148,True,3.552713678800501e-15
Bottinger,20.0,0.3,0.974,MEA + MEAH+,0.0885,0.0981797807062626,0.0450787870296999,True,3.552713678800501e-15
Jakobsen,20.0,0.3,0.99,MEA + MEAH+,0.0832,0.0987678032509596,0.0744920682028387,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.075,MEACOO-,0.0086,0.0077078563364421,-0.0475648398205919,True,2.0605739337042905e-13
Matin,20.0,0.3,0.106,MEACOO-,0.0097,0.0111276001455119,0.0596297772434727,True,2.3092638912203256e-13
Jakobsen,20.0,0.3,0.11,MEACOO-,0.0106,0.0115695094937691,0.038009081529238,True,4.263256414560601e-14
Matin,20.0,0.3,0.128,MEACOO-,0.0124,0.0135587496115673,0.0387979555609031,True,7.105427357601002e-15
Matin,20.0,0.3,0.15,MEACOO-,0.0151,0.0159901054545355,0.0248743806289165,True,3.552713678800501e-15
Bottinger,20.0,0.3,0.15,MEACOO-,0.0171,0.0159901054545355,-0.0291447824700677,True,3.552713678800501e-15
Matin,20.0,0.3,0.173,MEACOO-,0.0177,0.0185302608837787,0.0199082673439219,True,7.105427357601002e-15
Matin,20.0,0.3,0.195,MEACOO-,0.0203,0.0209568110294266,0.0138291594017774,True,7.105427357601002e-15
