source,temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,point_role
Matin,20.0,0.3,0.455,HCO3-,0.008,reference_point
Matin,20.0,0.3,0.48,HCO3-,0.0091,reference_point
Matin,20.0,0.3,0.505,HCO3-,0.0102,reference_point
Bottinger,20.0,0.3,0.524,HCO3-,0.0106,reference_point
Matin,20.0,0.3,0.531,HCO3-,0.0114,reference_point
Jakobsen,20.0,0.3,0.6,HCO3-,0.0139,reference_point
Bottinger,20.0,0.3,0.609,HCO3-,0.0254,reference_point
Bottinger,20.0,0.3,0.704,HCO3-,0.041,reference_point
Jakobsen,20.0,0.3,0.78,HCO3-,0.0442,reference_point
Bottinger,20.0,0.3,0.832,HCO3-,0.0625,reference_point
Bottinger,20.0,0.3,0.929,HCO3-,0.0785,reference_point
Bottinger,20.0,0.3,0.974,HCO3-,0.0876,reference_point
Jakobsen,20.0,0.3,0.99,HCO3-,0.0671,reference_point
Matin,20.0,0.3,0.106,MEA,0.0915,reference_point
Jakobsen,20.0,0.3,0.11,MEA,0.102,reference_point
Matin,20.0,0.3,0.128,MEA,0.0867,reference_point
Matin,20.0,0.3,0.15,MEA,0.0817,reference_point
Matin,20.0,0.3,0.173,MEA,0.0768,reference_point
Matin,20.0,0.3,0.195,MEA,0.0718,reference_point
Jakobsen,20.0,0.3,0.21,MEA,0.0732,reference_point
Matin,20.0,0.3,0.218,MEA,0.0668,reference_point
Matin,20.0,0.3,0.241,MEA,0.0618,reference_point
Jakobsen,20.0,0.3,0.25,MEA,0.0591,reference_point
Matin,20.0,0.3,0.264,MEA,0.0568,reference_point
Matin,20.0,0.3,0.287,MEA,0.0518,reference_point
Jakobsen,20.0,0.3,0.29,MEA,0.0556,reference_point
Matin,20.0,0.3,0.31,MEA,0.0469,reference_point
Matin,20.0,0.3,0.334,MEA,0.0419,reference_point
Matin,20.0,0.3,0.358,MEA,0.0371,reference_point
Matin,20.0,0.3,0.382,MEA,0.0322,reference_point
Jakobsen,20.0,0.3,0.4,MEA,0.0331,reference_point
Matin,20.0,0.3,0.406,MEA,0.0274,reference_point
Matin,20.0,0.3,0.431,MEA,0.0227,reference_point
Matin,20.0,0.3,0.455,MEA,0.0181,reference_point
Matin,20.0,0.3,0.48,MEA,0.0135,reference_point
Matin,20.0,0.3,0.505,MEA,0.009,reference_point
Matin,20.0,0.3,0.531,MEA,0.0046,reference_point
Jakobsen,20.0,0.3,0.6,MEA,0.0009,reference_point
Jakobsen,20.0,0.3,0.78,MEA,0.0003,reference_point
Jakobsen,20.0,0.3,0.99,MEA,0.0006,reference_point
Bottinger,20.0,0.3,0.075,MEA + MEAH+,0.1054,reference_point
Matin,20.0,0.3,0.106,MEA + MEAH+,0.103,reference_point
Jakobsen,20.0,0.3,0.11,MEA + MEAH+,0.1101,reference_point
Matin,20.0,0.3,0.128,MEA + MEAH+,0.1006,reference_point
Matin,20.0,0.3,0.15,MEA + MEAH+,0.0979,reference_point
Bottinger,20.0,0.3,0.15,MEA + MEAH+,0.0966,reference_point
Matin,20.0,0.3,0.173,MEA + MEAH+,0.0954,reference_point
Matin,20.0,0.3,0.195,MEA + MEAH+,0.0928,reference_point
Jakobsen,20.0,0.3,0.21,MEA + MEAH+,0.091,reference_point
Matin,20.0,0.3,0.218,MEA + MEAH+,0.0902,reference_point
Bottinger,20.0,0.3,0.235,MEA + MEAH+,0.0871,reference_point
Matin,20.0,0.3,0.241,MEA + MEAH+,0.0875,reference_point
Jakobsen,20.0,0.3,0.25,MEA + MEAH+,0.0836,reference_point
Matin,20.0,0.3,0.264,MEA + MEAH+,0.0849,reference_point
Matin,20.0,0.3,0.287,MEA + MEAH+,0.0822,reference_point
Jakobsen,20.0,0.3,0.29,MEA + MEAH+,0.0792,reference_point
Bottinger,20.0,0.3,0.309,MEA + MEAH+,0.078,reference_point
Matin,20.0,0.3,0.31,MEA + MEAH+,0.0796,reference_point
Matin,20.0,0.3,0.334,MEA + MEAH+,0.0768,reference_point
Matin,20.0,0.3,0.358,MEA + MEAH+,0.0743,reference_point
Matin,20.0,0.3,0.382,MEA + MEAH+,0.0716,reference_point
Bottinger,20.0,0.3,0.388,MEA + MEAH+,0.0678,reference_point
Jakobsen,20.0,0.3,0.4,MEA + MEAH+,0.0778,reference_point
Matin,20.0,0.3,0.406,MEA + MEAH+,0.0689,reference_point
Matin,20.0,0.3,0.431,MEA + MEAH+,0.0663,reference_point
Matin,20.0,0.3,0.455,MEA + MEAH+,0.0638,reference_point
Bottinger,20.0,0.3,0.474,MEA + MEAH+,0.062,reference_point
Matin,20.0,0.3,0.48,MEA + MEAH+,0.0612,reference_point
Matin,20.0,0.3,0.505,MEA + MEAH+,0.0586,reference_point
Bottinger,20.0,0.3,0.524,MEA + MEAH+,0.0637,reference_point
Matin,20.0,0.3,0.531,MEA + MEAH+,0.0561,reference_point
Jakobsen,20.0,0.3,0.6,MEA + MEAH+,0.0641,reference_point
Bottinger,20.0,0.3,0.609,MEA + MEAH+,0.0696,reference_point
Bottinger,20.0,0.3,0.704,MEA + MEAH+,0.0747,reference_point
Jakobsen,20.0,0.3,0.78,MEA + MEAH+,0.0752,reference_point
Bottinger,20.0,0.3,0.832,MEA + MEAH+,0.0835,reference_point
Bottinger,20.0,0.3,0.929,MEA + MEAH+,0.0883,reference_point
Bottinger,20.0,0.3,0.974,MEA + MEAH+,0.0885,reference_point
Jakobsen,20.0,0.3,0.99,MEA + MEAH+,0.0832,reference_point
Bottinger,20.0,0.3,0.075,MEACOO-,0.0086,reference_point
Matin,20.0,0.3,0.106,MEACOO-,0.0097,reference_point
Jakobsen,20.0,0.3,0.11,MEACOO-,0.0106,reference_point
Matin,20.0,0.3,0.128,MEACOO-,0.0124,reference_point
Matin,20.0,0.3,0.15,MEACOO-,0.0151,reference_point
Bottinger,20.0,0.3,0.15,MEACOO-,0.0171,reference_point
Matin,20.0,0.3,0.173,MEACOO-,0.0177,reference_point
Matin,20.0,0.3,0.195,MEACOO-,0.0203,reference_point
Jakobsen,20.0,0.3,0.21,MEACOO-,0.0206,reference_point
Matin,20.0,0.3,0.218,MEACOO-,0.0228,reference_point
Bottinger,20.0,0.3,0.235,MEACOO-,0.0267,reference_point
Matin,20.0,0.3,0.241,MEACOO-,0.0252,reference_point
Jakobsen,20.0,0.3,0.25,MEACOO-,0.0274,reference_point
Matin,20.0,0.3,0.264,MEACOO-,0.0276,reference_point
Matin,20.0,0.3,0.287,MEACOO-,0.0299,reference_point
Jakobsen,20.0,0.3,0.29,MEACOO-,0.0307,reference_point
Bottinger,20.0,0.3,0.309,MEACOO-,0.0349,reference_point
Matin,20.0,0.3,0.31,MEACOO-,0.0321,reference_point
Matin,20.0,0.3,0.334,MEACOO-,0.0342,reference_point
Matin,20.0,0.3,0.358,MEACOO-,0.0362,reference_point
Matin,20.0,0.3,0.382,MEACOO-,0.0381,reference_point
Bottinger,20.0,0.3,0.388,MEACOO-,0.043,reference_point
Jakobsen,20.0,0.3,0.4,MEACOO-,0.0427,reference_point
Matin,20.0,0.3,0.406,MEACOO-,0.04,reference_point
Matin,20.0,0.3,0.431,MEACOO-,0.0417,reference_point
Matin,20.0,0.3,0.455,MEACOO-,0.0433,reference_point
Bottinger,20.0,0.3,0.474,MEACOO-,0.0493,reference_point
Matin,20.0,0.3,0.48,MEACOO-,0.0448,reference_point
Matin,20.0,0.3,0.505,MEACOO-,0.0462,reference_point
Bottinger,20.0,0.3,0.524,MEACOO-,0.0467,reference_point
Matin,20.0,0.3,0.531,MEACOO-,0.0475,reference_point
Jakobsen,20.0,0.3,0.6,MEACOO-,0.0519,reference_point
Bottinger,20.0,0.3,0.609,MEACOO-,0.04,reference_point
Bottinger,20.0,0.3,0.704,MEACOO-,0.0324,reference_point
Jakobsen,20.0,0.3,0.78,MEACOO-,0.0385,reference_point
Bottinger,20.0,0.3,0.832,MEACOO-,0.0198,reference_point
Bottinger,20.0,0.3,0.929,MEACOO-,0.0118,reference_point
Bottinger,20.0,0.3,0.974,MEACOO-,0.0114,reference_point
Jakobsen,20.0,0.3,0.99,MEACOO-,0.0276,reference_point
Matin,20.0,0.3,0.106,MEAH+,0.0115,reference_point
Jakobsen,20.0,0.3,0.11,MEAH+,0.0081,reference_point
Matin,20.0,0.3,0.128,MEAH+,0.0139,reference_point
Matin,20.0,0.3,0.15,MEAH+,0.0162,reference_point
Matin,20.0,0.3,0.173,MEAH+,0.0186,reference_point
Matin,20.0,0.3,0.195,MEAH+,0.021,reference_point
Jakobsen,20.0,0.3,0.21,MEAH+,0.0178,reference_point
Matin,20.0,0.3,0.218,MEAH+,0.0234,reference_point
Matin,20.0,0.3,0.241,MEAH+,0.0257,reference_point
Jakobsen,20.0,0.3,0.25,MEAH+,0.0245,reference_point
Matin,20.0,0.3,0.264,MEAH+,0.0281,reference_point
Matin,20.0,0.3,0.287,MEAH+,0.0304,reference_point
Jakobsen,20.0,0.3,0.29,MEAH+,0.0236,reference_point
Matin,20.0,0.3,0.31,MEAH+,0.0327,reference_point
Matin,20.0,0.3,0.334,MEAH+,0.0349,reference_point
Matin,20.0,0.3,0.358,MEAH+,0.0372,reference_point
Matin,20.0,0.3,0.382,MEAH+,0.0394,reference_point
Jakobsen,20.0,0.3,0.4,MEAH+,0.0447,reference_point
Matin,20.0,0.3,0.406,MEAH+,0.0415,reference_point
Matin,20.0,0.3,0.431,MEAH+,0.0436,reference_point
Matin,20.0,0.3,0.455,MEAH+,0.0457,reference_point
Matin,20.0,0.3,0.48,MEAH+,0.0477,reference_point
Matin,20.0,0.3,0.505,MEAH+,0.0496,reference_point
Matin,20.0,0.3,0.531,MEAH+,0.0515,reference_point
Jakobsen,20.0,0.3,0.6,MEAH+,0.0632,reference_point
Jakobsen,20.0,0.3,0.78,MEAH+,0.0749,reference_point
Jakobsen,20.0,0.3,0.99,MEAH+,0.0826,reference_point
Jakobsen,40.0,0.3,0.78,CO2,0.0009,reference_point
Jakobsen,40.0,0.3,0.99,CO2,0.0032,reference_point
Jakobsen,40.0,0.3,0.11,CO3^2-,0.0001,reference_point
Jakobsen,40.0,0.3,0.21,CO3^2-,0.0027,reference_point
Jakobsen,40.0,0.3,0.25,CO3^2-,0.0004,reference_point
Jakobsen,40.0,0.3,0.29,CO3^2-,0.0004,reference_point
Jakobsen,40.0,0.3,0.4,CO3^2-,0.001,reference_point
Jakobsen,40.0,0.3,0.6,CO3^2-,0.0009,reference_point
Jakobsen,40.0,0.3,0.78,CO3^2-,0.0009,reference_point
Jakobsen,40.0,0.3,0.99,CO3^2-,0.0011,reference_point
Jakobsen,40.0,0.3,0.11,HCO3-,0.0001,reference_point
Jakobsen,40.0,0.3,0.21,HCO3-,0.002,reference_point
Jakobsen,40.0,0.3,0.25,HCO3-,0.0004,reference_point
Jakobsen,40.0,0.3,0.29,HCO3-,0.0003,reference_point
Jakobsen,40.0,0.3,0.4,HCO3-,0.0012,reference_point
Bottinger,40.0,0.3,0.466,HCO3-,0.004,reference_point
Bottinger,40.0,0.3,0.487,HCO3-,0.0052,reference_point
Bottinger,40.0,0.3,0.508,HCO3-,0.0091,reference_point
Jakobsen,40.0,0.3,0.6,HCO3-,0.0151,reference_point
Bottinger,40.0,0.3,0.663,HCO3-,0.0428,reference_point
Bottinger,40.0,0.3,0.683,HCO3-,0.0382,reference_point
Bottinger,40.0,0.3,0.762,HCO3-,0.0596,reference_point
Jakobsen,40.0,0.3,0.78,HCO3-,0.0448,reference_point
Jakobsen,40.0,0.3,0.99,HCO3-,0.0696,reference_point
Jakobsen,40.0,0.3,0.11,MEA,0.0985,reference_point
Jakobsen,40.0,0.3,0.21,MEA,0.0715,reference_point
Jakobsen,40.0,0.3,0.25,MEA,0.0559,reference_point
Jakobsen,40.0,0.3,0.29,MEA,0.0563,reference_point
Jakobsen,40.0,0.3,0.4,MEA,0.0376,reference_point
Jakobsen,40.0,0.3,0.6,MEA,0.0028,reference_point
Jakobsen,40.0,0.3,0.78,MEA,0.0012,reference_point
Jakobsen,40.0,0.3,0.99,MEA,0.0014,reference_point
Jakobsen,40.0,0.3,0.11,MEA + MEAH+,0.105,reference_point
Bottinger,40.0,0.3,0.125,MEA + MEAH+,0.1009,reference_point
Bottinger,40.0,0.3,0.205,MEA + MEAH+,0.0934,reference_point
Jakobsen,40.0,0.3,0.21,MEA + MEAH+,0.0875,reference_point
Bottinger,40.0,0.3,0.236,MEA + MEAH+,0.0876,reference_point
Jakobsen,40.0,0.3,0.25,MEA + MEAH+,0.0777,reference_point
Bottinger,40.0,0.3,0.28,MEA + MEAH+,0.084,reference_point
Jakobsen,40.0,0.3,0.29,MEA + MEAH+,0.0788,reference_point
Bottinger,40.0,0.3,0.343,MEA + MEAH+,0.0758,reference_point
Bottinger,40.0,0.3,0.354,MEA + MEAH+,0.0749,reference_point
Jakobsen,40.0,0.3,0.4,MEA + MEAH+,0.0849,reference_point
Bottinger,40.0,0.3,0.46,MEA + MEAH+,0.065,reference_point
Bottinger,40.0,0.3,0.466,MEA + MEAH+,0.0663,reference_point
Bottinger,40.0,0.3,0.487,MEA + MEAH+,0.0646,reference_point
Bottinger,40.0,0.3,0.508,MEA + MEAH+,0.0647,reference_point
Jakobsen,40.0,0.3,0.6,MEA + MEAH+,0.0638,reference_point
Bottinger,40.0,0.3,0.663,MEA + MEAH+,0.0759,reference_point
Bottinger,40.0,0.3,0.683,MEA + MEAH+,0.0739,reference_point
Bottinger,40.0,0.3,0.762,MEA + MEAH+,0.0807,reference_point
Jakobsen,40.0,0.3,0.78,MEA + MEAH+,0.0755,reference_point
Jakobsen,40.0,0.3,0.99,MEA + MEAH+,0.0857,reference_point
Jakobsen,40.0,0.3,0.11,MEACOO-,0.0103,reference_point
Bottinger,40.0,0.3,0.125,MEACOO-,0.0144,reference_point
Bottinger,40.0,0.3,0.205,MEACOO-,0.0241,reference_point
Jakobsen,40.0,0.3,0.21,MEACOO-,0.018,reference_point
Bottinger,40.0,0.3,0.236,MEACOO-,0.0271,reference_point
Jakobsen,40.0,0.3,0.25,MEACOO-,0.0261,reference_point
Bottinger,40.0,0.3,0.28,MEACOO-,0.0327,reference_point
Jakobsen,40.0,0.3,0.29,MEACOO-,0.0284,reference_point
Bottinger,40.0,0.3,0.343,MEACOO-,0.0396,reference_point
Bottinger,40.0,0.3,0.354,MEACOO-,0.041,reference_point
Jakobsen,40.0,0.3,0.4,MEACOO-,0.0495,reference_point
Bottinger,40.0,0.3,0.46,MEACOO-,0.0492,reference_point
Bottinger,40.0,0.3,0.466,MEACOO-,0.0502,reference_point
Bottinger,40.0,0.3,0.487,MEACOO-,0.0511,reference_point
Bottinger,40.0,0.3,0.508,MEACOO-,0.0483,reference_point
Jakobsen,40.0,0.3,0.6,MEACOO-,0.0494,reference_point
Bottinger,40.0,0.3,0.663,MEACOO-,0.0347,reference_point
Bottinger,40.0,0.3,0.683,MEACOO-,0.0323,reference_point
Bottinger,40.0,0.3,0.762,MEACOO-,0.0188,reference_point
Jakobsen,40.0,0.3,0.78,MEACOO-,0.0388,reference_point
Jakobsen,40.0,0.3,0.99,MEACOO-,0.0312,reference_point
Jakobsen,40.0,0.3,0.11,MEAH+,0.0065,reference_point
Jakobsen,40.0,0.3,0.21,MEAH+,0.016,reference_point
Jakobsen,40.0,0.3,0.25,MEAH+,0.0218,reference_point
Jakobsen,40.0,0.3,0.29,MEAH+,0.0225,reference_point
Jakobsen,40.0,0.3,0.4,MEAH+,0.0473,reference_point
Jakobsen,40.0,0.3,0.6,MEAH+,0.061,reference_point
Jakobsen,40.0,0.3,0.78,MEAH+,0.0743,reference_point
Jakobsen,40.0,0.3,0.99,MEAH+,0.0843,reference_point
