record_id,component_id,family,value,unit,source_id,locator,domain_id
carbon-dioxide-dispersion-energy,carbon-dioxide,dispersion_energy_over_k,169.21,kelvin,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO2:family=dispersion_energy_over_k:status=retained-literature-lineage,diagnostic-domain
carbon-dioxide-molar-mass,carbon-dioxide,molar_mass,0.04401,kilogram / mole,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO2:family=molar_mass:status=retained-literature-lineage,diagnostic-domain
carbon-dioxide-relative-permittivity,carbon-dioxide,relative_permittivity,1.4122,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO2:family=relative_permittivity:status=retained-literature-lineage,diagnostic-domain
carbon-dioxide-segment-count,carbon-dioxide,segment_count,2.079,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO2:family=segment_count:status=retained-literature-lineage,diagnostic-domain
carbon-dioxide-segment-diameter,carbon-dioxide,segment_diameter,2.7852,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO2:family=segment_diameter:status=retained-literature-lineage,diagnostic-domain
carbon-dioxide-solvation-factor,carbon-dioxide,solvation_factor,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO2:family=solvation_factor:status=retained-literature-lineage,diagnostic-domain
carbonate-anion-born-diameter,carbonate-anion,born_diameter,3,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO3^2-:family=born_diameter:status=transferred-diagnostic,diagnostic-domain
carbonate-anion-charge,carbonate-anion,charge_number,-2,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO3^2-:family=charge_number:status=transferred-diagnostic,diagnostic-domain
carbonate-anion-dispersion-energy,carbonate-anion,dispersion_energy_over_k,249.26,kelvin,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO3^2-:family=dispersion_energy_over_k:status=transferred-diagnostic,diagnostic-domain
carbonate-anion-molar-mass,carbonate-anion,molar_mass,0.06001,kilogram / mole,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO3^2-:family=molar_mass:status=transferred-diagnostic,diagnostic-domain
carbonate-anion-segment-count,carbonate-anion,segment_count,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO3^2-:family=segment_count:status=transferred-diagnostic,diagnostic-domain
carbonate-anion-segment-diameter,carbonate-anion,segment_diameter,2.4422,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO3^2-:family=segment_diameter:status=transferred-diagnostic,diagnostic-domain
carbonate-anion-solvation-factor,carbonate-anion,solvation_factor,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO3^2-:family=solvation_factor:status=transferred-diagnostic,diagnostic-domain
hydronium-cation-born-diameter,hydronium-cation,born_diameter,1.218,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H3O+:family=born_diameter:status=transferred-diagnostic,diagnostic-domain
hydronium-cation-charge,hydronium-cation,charge_number,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H3O+:family=charge_number:status=transferred-diagnostic,diagnostic-domain
hydronium-cation-dispersion-energy,hydronium-cation,dispersion_energy_over_k,500,kelvin,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H3O+:family=dispersion_energy_over_k:status=transferred-diagnostic,diagnostic-domain
hydronium-cation-molar-mass,hydronium-cation,molar_mass,0.01902,kilogram / mole,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H3O+:family=molar_mass:status=transferred-diagnostic,diagnostic-domain
hydronium-cation-segment-count,hydronium-cation,segment_count,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H3O+:family=segment_count:status=transferred-diagnostic,diagnostic-domain
hydronium-cation-segment-diameter,hydronium-cation,segment_diameter,3.4654,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H3O+:family=segment_diameter:status=transferred-diagnostic,diagnostic-domain
hydronium-cation-solvation-factor,hydronium-cation,solvation_factor,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H3O+:family=solvation_factor:status=transferred-diagnostic,diagnostic-domain
hydroxide-anion-born-diameter,hydroxide-anion,born_diameter,3.08107689400404,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=OH-:family=born_diameter:status=transferred-diagnostic,diagnostic-domain
hydroxide-anion-charge,hydroxide-anion,charge_number,-1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=OH-:family=charge_number:status=transferred-diagnostic,diagnostic-domain
hydroxide-anion-dispersion-energy,hydroxide-anion,dispersion_energy_over_k,650,kelvin,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=OH-:family=dispersion_energy_over_k:status=transferred-diagnostic,diagnostic-domain
hydroxide-anion-molar-mass,hydroxide-anion,molar_mass,0.01701,kilogram / mole,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=OH-:family=molar_mass:status=transferred-diagnostic,diagnostic-domain
hydroxide-anion-segment-count,hydroxide-anion,segment_count,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=OH-:family=segment_count:status=transferred-diagnostic,diagnostic-domain
hydroxide-anion-segment-diameter,hydroxide-anion,segment_diameter,2.0177,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=OH-:family=segment_diameter:status=transferred-diagnostic,diagnostic-domain
hydroxide-anion-solvation-factor,hydroxide-anion,solvation_factor,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=OH-:family=solvation_factor:status=transferred-diagnostic,diagnostic-domain
monoethanolamine-charge,monoethanolamine,charge_number,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEA:family=charge_number:status=retained-literature-lineage,diagnostic-domain
monoethanolamine-dispersion-energy,monoethanolamine,dispersion_energy_over_k,277.174,kelvin,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEA:family=dispersion_energy_over_k:status=retained-literature-lineage,diagnostic-domain
monoethanolamine-molar-mass,monoethanolamine,molar_mass,0.06108,kilogram / mole,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEA:family=molar_mass:status=retained-literature-lineage,diagnostic-domain
monoethanolamine-relative-permittivity,monoethanolamine,relative_permittivity,32,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEA:family=relative_permittivity:status=retained-literature-lineage,diagnostic-domain
monoethanolamine-segment-count,monoethanolamine,segment_count,3.0353,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEA:family=segment_count:status=retained-literature-lineage,diagnostic-domain
monoethanolamine-segment-diameter,monoethanolamine,segment_diameter,3.0435,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEA:family=segment_diameter:status=retained-literature-lineage,diagnostic-domain
monoethanolamine-solvation-factor,monoethanolamine,solvation_factor,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEA:family=solvation_factor:status=retained-literature-lineage,diagnostic-domain
protonated-monoethanolamine-born-diameter,protonated-monoethanolamine,born_diameter,3.53322927146,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEAH+:family=born_diameter:status=provisional-historical-evaluation,diagnostic-domain
protonated-monoethanolamine-charge,protonated-monoethanolamine,charge_number,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEAH+:family=charge_number:status=provisional-historical-evaluation,diagnostic-domain
protonated-monoethanolamine-dispersion-energy,protonated-monoethanolamine,dispersion_energy_over_k,232.687201645,kelvin,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEAH+:family=dispersion_energy_over_k:status=provisional-historical-evaluation,diagnostic-domain
protonated-monoethanolamine-molar-mass,protonated-monoethanolamine,molar_mass,0.06209,kilogram / mole,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEAH+:family=molar_mass:status=provisional-historical-evaluation,diagnostic-domain
protonated-monoethanolamine-segment-count,protonated-monoethanolamine,segment_count,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEAH+:family=segment_count:status=provisional-historical-evaluation,diagnostic-domain
protonated-monoethanolamine-segment-diameter,protonated-monoethanolamine,segment_diameter,3.48508556586,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEAH+:family=segment_diameter:status=provisional-historical-evaluation,diagnostic-domain
protonated-monoethanolamine-solvation-factor,protonated-monoethanolamine,solvation_factor,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEAH+:family=solvation_factor:status=provisional-historical-evaluation,diagnostic-domain
water-charge,water,charge_number,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H2O:family=charge_number:status=retained-literature-lineage,diagnostic-domain
water-dispersion-energy,water,dispersion_energy_over_k,353.95,kelvin,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H2O:family=dispersion_energy_over_k:status=retained-literature-lineage,diagnostic-domain
water-molar-mass,water,molar_mass,0.01801528,kilogram / mole,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H2O:family=molar_mass:status=retained-literature-lineage,diagnostic-domain
water-relative-permittivity,water,relative_permittivity,78.09,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H2O:family=relative_permittivity:status=retained-literature-lineage,diagnostic-domain
water-segment-count,water,segment_count,1.2047,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H2O:family=segment_count:status=retained-literature-lineage,diagnostic-domain
water-solvation-factor,water,solvation_factor,1.5,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H2O:family=solvation_factor:status=retained-literature-lineage,diagnostic-domain
