temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,curve_role,solver_success,solver_max_abs_residual
20.0,0.3,0.035,H3O+,2.657007565068243e-14,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.035,OH-,6.539934118307576e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.035,MEA + MEAH+,0.10889900004367463,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.04,CO2,1.385708695786424e-10,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.04,MEA,0.10322949869505288,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.04,MEAH+,0.00513033251326374,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.04,MEACOO-,0.0038798126654435634,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.04,HCO3-,2.6522001566218358e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.04,CO3^2-,0.0005832509493697563,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.04,H3O+,3.022143607348542e-14,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.04,OH-,5.749594754466772e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.04,MEA + MEAH+,0.10835983120831662,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.045,CO2,1.7932099458549265e-10,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.045,MEA,0.1021174437787612,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.045,MEAH+,0.005700251787937669,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.045,MEACOO-,0.00442194830248751,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.045,HCO3-,3.055672736094158e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.045,CO3^2-,0.0005982787649439404,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.045,H3O+,3.39438626429156e-14,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.045,OH-,5.1189228235280346e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.045,MEA + MEAH+,0.10781769556669886,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.05,CO2,2.263993643055026e-10,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.05,MEA,0.10100433885023224,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.05,MEAH+,0.006268983697742755,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.05,MEACOO-,0.004966321315927295,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.05,HCO3-,3.469622157699387e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.05,CO3^2-,0.000610964429291464,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.05,H3O+,3.774144744765279e-14,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.05,OH-,4.603730169328208e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.05,MEA + MEAH+,0.107273322547975,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.055,CO2,2.801992635195112e-10,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.055,MEA,0.0998904759350646,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.055,MEAH+,0.006836749325897467,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.055,MEACOO-,0.0055124185969017804,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.055,HCO3-,3.8940382387046794e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.055,CO3^2-,0.0006218211526944192,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.055,H3O+,4.16180495249489e-14,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.055,OH-,4.1748041261417874e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.055,MEA + MEAH+,0.10672722526096207,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.06,CO2,3.411402958478049e-10,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.06,MEA,0.09877605688356367,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.06,MEAH+,0.007403719408725825,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.06,MEACOO-,0.006059867558734368,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.06,HCO3-,4.329010078040953e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.06,CO3^2-,0.0006312206304063604,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.06,H3O+,4.5577390778156886e-14,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.06,OH-,3.8120488443908815e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.06,MEA + MEAH+,0.10617977629228949,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.065,CO2,4.096702836765541e-10,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.065,MEA,0.097661226154294,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.065,MEAH+,0.007970027347183875,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.065,MEACOO-,0.006608390341854106,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.065,HCO3-,4.774698805201265e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.065,CO3^2-,0.0006394391102401757,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.065,H3O+,4.9623129316264774e-14,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.065,OH-,3.5011796847028236e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.065,MEA + MEAH+,0.10563125350147787,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.07,CO2,4.862673469998993e-10,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.07,MEA,0.09654609027632624,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.07,MEAH+,0.00853577861781884,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.07,MEACOO-,0.00715777494058982,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.07,HCO3-,5.231320743613291e-05,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.07,CO3^2-,0.0006466864341381465,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.07,H3O+,5.3758915106881523e-14,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.07,OH-,3.231760157035626e-05,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.07,MEA + MEAH+,0.10508186889414509,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.075,CO2,5.714421758431094e-10,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.075,MEA,0.09543072990950016,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.075,MEAH+,0.009101057579242712,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.075,MEACOO-,0.007707856336431993,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.075,HCO3-,5.699136752573905e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.075,CO3^2-,0.0006531250114882088,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.075,H3O+,5.798843287713673e-14,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.075,OH-,2.9959852366553982e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.075,MEA + MEAH+,0.10453178748874287,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.08,CO2,6.657405120996238e-10,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.08,MEA,0.09431520759509181,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.08,MEAH+,0.009665932430697213,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.08,MEACOO-,0.008258503788801882,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.08,HCO3-,6.178445394145568e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.08,CO3^2-,0.0006588825966834261,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.08,H3O+,6.231543610379472e-14,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.08,OH-,2.7878994649344008e-05,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.08,MEA + MEAH+,0.10398114002578902,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.085,CO2,7.697458588293761e-10,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.085,MEA,0.09319957289557543,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.085,MEAH+,0.010230458861549205,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.085,MEACOO-,0.008809612045792756,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.085,HCO3-,6.669578560057156e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.085,CO3^2-,0.0006640611221087902,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.085,H3O+,6.674377487251708e-14,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.085,OH-,2.6028786005040018e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.085,MEA + MEAH+,0.10343003175712463,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.09,CO2,8.840824376847347e-10,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.09,MEA,0.09208386589753513,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.09,MEAH+,0.010794682767832436,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.09,MEACOO-,0.009361095124716784,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.09,HCO3-,7.172898737917037e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.09,CO3^2-,0.000668742944929198,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.09,H3O+,7.1277419576235e-14,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.09,OH-,2.4372765949369326e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.09,MEA + MEAH+,0.10287854866536757,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.095,CO2,1.0094184179921092e-09,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.095,MEA,0.0909681196573916,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.095,MEAH+,0.011358642297634813,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.095,MEACOO-,0.009912881820990135,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
