role,temperature_C,species,CO2_loading,mole_fraction
curve,60.0,CO2,0.7900125,0.0100114009160786
curve,60.0,CO2,0.79500625,0.0103203401492563
curve,60.0,CO2,0.8,0.0106323772430049
curve,60.0,MEA,0.001,0.1115350552555801
curve,60.0,MEA,0.00599375,0.1105930208899524
curve,60.0,MEA,0.0109875,0.1095635017712138
curve,60.0,MEA,0.01598125,0.1084949360275747
curve,60.0,MEA,0.020975,0.1074076738874029
curve,60.0,MEA,0.02596875,0.1063103821512776
curve,60.0,MEA,0.0309625,0.1052071618758538
curve,60.0,MEA,0.03595625,0.1041001698786829
curve,60.0,MEA,0.04095,0.102990634748673
curve,60.0,MEA,0.04594375,0.1018793112421947
curve,60.0,MEA,0.0509375,0.1007666842468231
curve,60.0,MEA,0.05593125,0.0996530823418801
curve,60.0,MEA,0.060925,0.0985387359463253
curve,60.0,MEA,0.06591875,0.0974238116552203
curve,60.0,MEA,0.0709125,0.0963084344495811
curve,60.0,MEA,0.07590625,0.0951926978558713
curve,60.0,MEA,0.0809,0.0940766759762678
curve,60.0,MEA,0.08589375,0.0929604273522831
curve,60.0,MEA,0.0908875,0.0918439990006949
curve,60.0,MEA,0.09588125,0.0907274297824543
curve,60.0,MEA,0.1008749999999999,0.0896107524296555
curve,60.0,MEA,0.10586875,0.088493994067341
curve,60.0,MEA,0.1108625,0.0873771789853212
curve,60.0,MEA,0.11585625,0.08626032732608
curve,60.0,MEA,0.12085,0.0851434572570274
curve,60.0,MEA,0.12584375,0.0840265858115523
curve,60.0,MEA,0.1308375,0.0829097278247656
curve,60.0,MEA,0.13583125,0.0817928972429294
curve,60.0,MEA,0.140825,0.0806761057886689
curve,60.0,MEA,0.14581875,0.079559367337656
curve,60.0,MEA,0.1508125,0.0784426927739742
curve,60.0,MEA,0.15580625,0.0773260931618739
curve,60.0,MEA,0.1608,0.0762095810253622
curve,60.0,MEA,0.16579375,0.0750931657162269
curve,60.0,MEA,0.1707875,0.0739768588567871
curve,60.0,MEA,0.17578125,0.072860671420173
curve,60.0,MEA,0.180775,0.0717446142778365
curve,60.0,MEA,0.18576875,0.070628700119681
curve,60.0,MEA,0.1907625,0.0695129401077683
curve,60.0,MEA,0.19575625,0.0683973459082603
curve,60.0,MEA,0.2007499999999999,0.0672819307519596
curve,60.0,MEA,0.20574375,0.0661667085204678
curve,60.0,MEA,0.2107375,0.0650516911136326
curve,60.0,MEA,0.2157312499999999,0.0639368953143453
curve,60.0,MEA,0.220725,0.0628223361456685
curve,60.0,MEA,0.22571875,0.061708028612777
curve,60.0,MEA,0.2307125,0.0605939914508942
curve,60.0,MEA,0.23570625,0.0594802427156582
curve,60.0,MEA,0.2407,0.0583668027281994
curve,60.0,MEA,0.24569375,0.0572536924927206
curve,60.0,MEA,0.2506875,0.056140934035792
curve,60.0,MEA,0.2556812499999999,0.0550285522851588
curve,60.0,MEA,0.260675,0.0539165743038197
curve,60.0,MEA,0.26566875,0.0528050282561569
curve,60.0,MEA,0.2706625,0.0516939442457326
curve,60.0,MEA,0.27565625,0.0505833565932404
curve,60.0,MEA,0.28065,0.0494733005889527
