row_id,source,species,temperature_C,CO2_loading,abs_log10_residual
cheq_0028,Matin,MEAH+,20.0,0.505,0.0666054882453754
cheq_0028,Matin,MEACOO-,20.0,0.505,0.0199707960693608
cheq_0028,Matin,HCO3-,20.0,0.505,0.0132684098224778
cheq_0028,Matin,CO3^2-,20.0,0.505,9.69973007981107
cheq_0028,Matin,H3O+,20.0,0.505,8.460737810855523
cheq_0028,Matin,OH-,20.0,0.505,5.622465452980063
cheq_0029,Bottinger,CO2,20.0,0.524,3.0244638460021456
cheq_0029,Bottinger,MEA,20.0,0.524,0.6919966604739864
cheq_0029,Bottinger,H2O,20.0,0.524,0.01763390841026
cheq_0029,Bottinger,MEAH+,20.0,0.524,0.1244785217134417
cheq_0029,Bottinger,MEACOO-,20.0,0.524,0.0548667038617506
cheq_0029,Bottinger,HCO3-,20.0,0.524,0.0857672682917423
cheq_0029,Bottinger,CO3^2-,20.0,0.524,0.9108043051734191
cheq_0029,Bottinger,H3O+,20.0,0.524,9.810635796509148
cheq_0029,Bottinger,OH-,20.0,0.524,5.509167235046423
cheq_0030,Matin,CO2,20.0,0.531,7.092489533763841
cheq_0030,Matin,MEA,20.0,0.531,0.1832020695342015
cheq_0030,Matin,H2O,20.0,0.531,0.007422961567379
cheq_0030,Matin,MEAH+,20.0,0.531,0.0642333474328456
cheq_0030,Matin,MEACOO-,20.0,0.531,0.036774274215759
cheq_0030,Matin,HCO3-,20.0,0.531,0.1029546547248301
cheq_0030,Matin,CO3^2-,20.0,0.531,9.665024803430178
cheq_0030,Matin,H3O+,20.0,0.531,8.140023442101327
cheq_0030,Matin,OH-,20.0,0.531,5.469024214813321
cheq_0031,Jakobsen,CO2,20.0,0.6,1.85124065915869
cheq_0031,Jakobsen,MEA,20.0,0.6,0.6549295680739581
cheq_0031,Jakobsen,H2O,20.0,0.6,0.0016815675272076
cheq_0031,Jakobsen,MEAH+,20.0,0.6,0.0399784651759134
cheq_0031,Jakobsen,MEACOO-,20.0,0.6,0.1372117153917296
cheq_0031,Jakobsen,HCO3-,20.0,0.6,0.2823070427682949
cheq_0031,Jakobsen,CO3^2-,20.0,0.6,0.3954806987384932
cheq_0031,Jakobsen,H3O+,20.0,0.6,9.024989209105572
cheq_0031,Jakobsen,OH-,20.0,0.6,5.1242263439002285
cheq_0032,Bottinger,CO2,20.0,0.609,2.3175205238923686
cheq_0032,Bottinger,MEA,20.0,0.609,0.8388464412139423
cheq_0032,Bottinger,H2O,20.0,0.609,0.0142185219569664
cheq_0032,Bottinger,MEAH+,20.0,0.609,0.0625662346511204
cheq_0032,Bottinger,MEACOO-,20.0,0.609,0.0362306613608636
cheq_0032,Bottinger,HCO3-,20.0,0.609,0.0456249940385068
cheq_0032,Bottinger,CO3^2-,20.0,0.609,0.7026560816590605
cheq_0032,Bottinger,H3O+,20.0,0.609,9.1439560179964
cheq_0032,Bottinger,OH-,20.0,0.609,5.085195884294153
cheq_0033,Bottinger,CO2,20.0,0.704,1.7821348871117324
cheq_0033,Bottinger,MEA,20.0,0.704,0.7351419387582592
cheq_0033,Bottinger,H2O,20.0,0.704,0.0118911799040644
cheq_0033,Bottinger,MEAH+,20.0,0.704,0.0052969740341952
cheq_0033,Bottinger,MEACOO-,20.0,0.704,0.0452737281130568
cheq_0033,Bottinger,HCO3-,20.0,0.704,0.0657382641783831
cheq_0033,Bottinger,CO3^2-,20.0,0.704,0.4247787317432451
cheq_0033,Bottinger,H3O+,20.0,0.704,0.7468598555084471
cheq_0033,Bottinger,OH-,20.0,0.704,4.979000824471482
cheq_0034,Jakobsen,CO2,20.0,0.78,1.08374223160185
cheq_0034,Jakobsen,MEA,20.0,0.78,0.7069725470659738
cheq_0034,Jakobsen,H2O,20.0,0.78,0.001289562240903
cheq_0034,Jakobsen,MEAH+,20.0,0.78,0.0625017747042592
cheq_0034,Jakobsen,MEACOO-,20.0,0.78,0.2333496679956901
cheq_0034,Jakobsen,HCO3-,20.0,0.78,0.1625260470129682
cheq_0034,Jakobsen,CO3^2-,20.0,0.78,0.0486213897593202
cheq_0034,Jakobsen,H3O+,20.0,0.78,9.025992157571114
cheq_0034,Jakobsen,OH-,20.0,0.78,4.455289918160481
cheq_0035,Bottinger,CO2,20.0,0.832,1.3256740150908686
cheq_0035,Bottinger,MEA,20.0,0.832,0.6924658637491381
cheq_0035,Bottinger,H2O,20.0,0.832,0.0176735704477932
cheq_0035,Bottinger,MEAH+,20.0,0.832,0.0204420476137264
cheq_0035,Bottinger,MEACOO-,20.0,0.832,0.0471325210748439
cheq_0035,Bottinger,HCO3-,20.0,0.832,0.0740776324305507
cheq_0035,Bottinger,CO3^2-,20.0,0.832,0.0397227944082475
cheq_0035,Bottinger,H3O+,20.0,0.832,0.9978876427986196
cheq_0035,Bottinger,OH-,20.0,0.832,5.882064341074363
cheq_0036,Bottinger,CO2,20.0,0.929,0.9423919618839686
cheq_0036,Bottinger,MEA,20.0,0.929,0.9838221764788964
cheq_0036,Bottinger,H2O,20.0,0.929,0.0182973671547453
cheq_0036,Bottinger,MEAH+,20.0,0.929,0.0152126369029634
cheq_0036,Bottinger,MEACOO-,20.0,0.929,0.0861347930219485
cheq_0036,Bottinger,HCO3-,20.0,0.929,0.0685511131991114
cheq_0036,Bottinger,CO3^2-,20.0,0.929,0.3339848198976171
cheq_0036,Bottinger,H3O+,20.0,0.929,1.2351377773039611
cheq_0036,Bottinger,OH-,20.0,0.929,6.264262362866588
cheq_0037,Bottinger,CO2,20.0,0.974,0.7351951683781868
cheq_0037,Bottinger,MEA,20.0,0.974,1.1534512957202112
cheq_0037,Bottinger,H2O,20.0,0.974,0.019397469637055
cheq_0037,Bottinger,MEAH+,20.0,0.974,0.0200160753402644
cheq_0037,Bottinger,MEACOO-,20.0,0.974,0.2286356791419394
cheq_0037,Bottinger,HCO3-,20.0,0.974,0.0497482119619739
cheq_0037,Bottinger,CO3^2-,20.0,0.974,0.5425533345881408
cheq_0037,Bottinger,H3O+,20.0,0.974,1.3704601240981895
cheq_0037,Bottinger,OH-,20.0,0.974,6.303386438557948
cheq_0038,Jakobsen,CO2,20.0,0.99,0.4513613802683048
cheq_0038,Jakobsen,MEA,20.0,0.99,0.2417241006637579
cheq_0038,Jakobsen,H2O,20.0,0.99,0.0041623712602925
cheq_0038,Jakobsen,MEAH+,20.0,0.99,0.1004882327466081
cheq_0038,Jakobsen,MEACOO-,20.0,0.99,0.6707771139157029
cheq_0038,Jakobsen,HCO3-,20.0,0.99,0.1739703494958585
cheq_0038,Jakobsen,CO3^2-,20.0,0.99,0.9283616423194057
cheq_0038,Jakobsen,H3O+,20.0,0.99,8.719024529209413
cheq_0038,Jakobsen,OH-,20.0,0.99,3.609782301306603
cheq_0039,Jakobsen,CO2,40.0,0.11,5.612999972838309
cheq_0039,Jakobsen,MEA,40.0,0.11,0.0515225739310704
cheq_0039,Jakobsen,H2O,40.0,0.11,0.0039145653125595
cheq_0039,Jakobsen,MEAH+,40.0,0.11,0.333152278347725
cheq_0039,Jakobsen,MEACOO-,40.0,0.11,0.0122485274109317
cheq_0039,Jakobsen,HCO3-,40.0,0.11,0.1759721488235149
cheq_0039,Jakobsen,CO3^2-,40.0,0.11,1.2140885679746805
cheq_0039,Jakobsen,H3O+,40.0,0.11,10.053818423056224
cheq_0039,Jakobsen,OH-,40.0,0.11,7.465662421030614
cheq_0040,Bottinger,CO2,40.0,0.125,5.505163183516425
cheq_0040,Bottinger,MEA,40.0,0.125,0.1153392746319907
cheq_0040,Bottinger,H2O,40.0,0.125,0.0136477611508741
cheq_0040,Bottinger,MEAH+,40.0,0.125,0.12863034993818
cheq_0040,Bottinger,MEACOO-,40.0,0.125,0.0726420099324572
cheq_0040,Bottinger,HCO3-,40.0,0.125,8.26302729430919
cheq_0040,Bottinger,CO3^2-,40.0,0.125,1.315876028429578
cheq_0040,Bottinger,H3O+,40.0,0.125,9.84344815121542
cheq_0040,Bottinger,OH-,40.0,0.125,7.388677142565607
cheq_0041,Bottinger,CO2,40.0,0.205,4.957743720084959
cheq_0041,Bottinger,MEA,40.0,0.205,0.1546371437622733
cheq_0041,Bottinger,H2O,40.0,0.205,0.0167412571931098
cheq_0041,Bottinger,MEAH+,40.0,0.205,0.1076218385252569
cheq_0041,Bottinger,MEACOO-,40.0,0.205,0.0658742361110261
cheq_0041,Bottinger,HCO3-,40.0,0.205,8.668469986601822
cheq_0041,Bottinger,CO3^2-,40.0,0.205,0.9868161660373654
cheq_0041,Bottinger,H3O+,40.0,0.205,9.868110776513284
cheq_0041,Bottinger,OH-,40.0,0.205,7.029487208998942
cheq_0042,Jakobsen,CO2,40.0,0.21,3.872841833752044
cheq_0042,Jakobsen,MEA,40.0,0.21,0.0505571211535114
cheq_0042,Jakobsen,H2O,40.0,0.21,0.0031680227230674
cheq_0042,Jakobsen,MEAH+,40.0,0.21,0.1987792447170559
cheq_0042,Jakobsen,MEACOO-,40.0,0.21,0.0838384886245442
cheq_0042,Jakobsen,HCO3-,40.0,0.21,0.6078809260968531
cheq_0042,Jakobsen,CO3^2-,40.0,0.21,0.1553084051862441
cheq_0042,Jakobsen,H3O+,40.0,0.21,10.096398617242931
cheq_0042,Jakobsen,OH-,40.0,0.21,7.008583588690262
cheq_0043,Bottinger,CO2,40.0,0.236,4.757248771489088
cheq_0043,Bottinger,MEA,40.0,0.236,0.161677254979741
cheq_0043,Bottinger,H2O,40.0,0.236,0.0158990970724941
cheq_0043,Bottinger,MEAH+,40.0,0.236,0.1055176906350308
cheq_0043,Bottinger,MEACOO-,40.0,0.236,0.0532352090431765
cheq_0043,Bottinger,HCO3-,40.0,0.236,8.808387602222073
cheq_0043,Bottinger,CO3^2-,40.0,0.236,0.9010936464170212
cheq_0043,Bottinger,H3O+,40.0,0.236,9.811999184925837
cheq_0043,Bottinger,OH-,40.0,0.236,6.90099226342166
cheq_0044,Jakobsen,CO2,40.0,0.25,3.1960235101071146
cheq_0044,Jakobsen,MEA,40.0,0.25,0.0034386950620509
cheq_0044,Jakobsen,H2O,40.0,0.25,0.0024972632936921
cheq_0044,Jakobsen,MEAH+,40.0,0.25,0.1341465683068937
cheq_0044,Jakobsen,MEACOO-,40.0,0.25,0.0039246455221121
cheq_0044,Jakobsen,HCO3-,40.0,0.25,0.276245767977664
cheq_0044,Jakobsen,CO3^2-,40.0,0.25,0.6876247188218706
cheq_0044,Jakobsen,H3O+,40.0,0.25,9.69295052862677
cheq_0044,Jakobsen,OH-,40.0,0.25,6.843433513730799
cheq_0045,Bottinger,CO2,40.0,0.28,4.4624226298240535
