row_id,temperature_C,CO2_loading,source,target_x_CO2,target_x_MEA,target_x_H2O,target_x_MEAH+,target_x_MEACOO-,target_x_HCO3-,target_x_CO3^2-,target_x_H3O+,target_x_OH-,model_x_CO2,log10_model_over_target_CO2,model_x_MEA,log10_model_over_target_MEA,model_x_H2O,log10_model_over_target_H2O,model_x_MEAH+,log10_model_over_target_MEAH+,model_x_MEACOO-,log10_model_over_target_MEACOO-,model_x_HCO3-,log10_model_over_target_HCO3-,model_x_CO3^2-,log10_model_over_target_CO3^2-,model_x_H3O+,log10_model_over_target_H3O+,model_x_OH-,log10_model_over_target_OH-,reaction_R1_water_autoionization,reaction_R2_CO2_to_HCO3,reaction_R3_HCO3_to_CO3,reaction_R4_MEACOO_hydrolysis,reaction_R5_MEAH_dissociation,mass_balance_carbon_total,mass_balance_mea_total,mass_balance_water_total,charge_residual,state_failure_count,solver_returned,accepted,rejection_reason,model_role,message
cheq_0021,20.0,0.388,Bottinger,0.007208532136674709,0.07472786584945713,0.8078109309287793,0.04259985288271074,0.04283425315884062,0.011733140006720606,0.00037262825098879394,0.012712796784828076,1e-12,1.783221199807258e-08,-5.606641620335253,0.025342286379073427,-0.46963678510329976,0.8869123731948725,0.04057098817527253,0.04419165733161144,0.015932190047891738,0.04271222346625226,-0.0012390190725953848,0.00020127944965491745,-1.7656148166555197,0.0006379921336685105,0.23353954592713974,2.936500517062468e-13,-10.636411023160468,2.170212361260789e-06,6.336502232839882,2.3760062362043755e-08,1.4391723368589737e-08,2.0648428744607372e-08,-2.9864750672459195e-09,7.317310846133296e-08,1.704229118937306e-11,1.6014828352339805e-12,1.681677019860217e-11,-6.104190071178707e-11,0,True,True,,activity_equilibrium,converged
cheq_0022,20.0,0.4,Jakobsen,0.004369108442694628,0.03334787020776398,0.8731766479172175,0.04515205118746268,0.042081153618726046,0.0005977284510704963,0.0011977289436015488,1e-12,7.771123046303868e-05,2.4849032530116708e-08,-5.245083339555636,0.022686295313015675,-0.16730452142416308,0.886873605368813,0.006759617365896533,0.04553981667466669,0.0037137935638677337,0.04402005454867409,0.01956293926621064,0.00023882832679390963,-0.3984180921309396,0.0006395589003728463,-0.27247799744307954,3.311071287886424e-13,-0.4800314687186619,1.8160183002764709e-06,-1.6313635648859512,-5.7029033939670626e-08,-5.465934194148758e-08,-5.418427306835838e-08,2.531711196240849e-08,-7.575110316793143e-09,9.297713987610479e-11,2.0772562836501862e-10,3.934369496860768e-10,-1.8677580170440726e-11,0,True,True,,activity_equilibrium,converged
cheq_0023,20.0,0.406,Matin,1.000021895301126e-12,0.027959116891939494,0.8834600477460322,0.04278263153304992,0.03825864412458467,0.006031773553929493,1e-12,0.0015077861474642393,1e-12,2.9611868698305527e-08,4.471456306109203,0.021362055589055778,-0.1168804089311324,0.8868504562927351,0.0016634793953642188,0.04621389167489057,0.03350504778535169,0.04467021853824857,0.06728850246616767,0.00026137031349919977,-1.363188770018244,0.0006403248616736377,8.806400364354321,3.533248039955848e-13,-9.630165622277618,1.6531176753384557e-06,6.218303769440262,2.0998916383518917e-08,1.717202025020015e-08,3.997431718971711e-09,-6.058986201651351e-09,5.244840650675542e-08,1.9310331111910273e-11,2.4950083665764566e-11,6.489867532266658e-10,-1.6762591977591986e-11,0,True,True,,activity_equilibrium,converged
cheq_0024,20.0,0.431,Matin,1.0000000000000002e-12,0.023141758807660468,0.8835834885525009,0.04522971751496442,0.039734784172672025,0.006902592144746877,1.000318943274173e-12,0.001407658804455113,1.0000000000000002e-12,6.729270050642668e-08,4.827967957214893,0.01588697999687006,-0.16335501416121492,0.8867116667141453,0.0015348309844973149,0.04902219079532276,0.03496884057261361,0.047336990765954316,0.07602978776963833,0.00039794196973978995,-1.2391924675840642,0.0006430956132344099,8.808137053908668,4.852110143609329e-13,-9.462566750187836,1.0668515478019587e-06,6.028103991630787,3.46870017153833e-08,2.8464103962733134e-08,3.125285275018541e-08,-1.3038622626027063e-08,5.3696144419745906e-08,1.6425527604724266e-11,1.5829462740590827e-11,6.990213963220526e-10,-1.7076625299948373e-11,0,True,True,,activity_equilibrium,converged
cheq_0025,20.0,0.455,Matin,1.0022652101555444e-12,0.018434796753607565,0.8838337753181806,0.047834362683420124,0.04100934128197647,0.007856372679628349,1.0000000000000002e-12,0.001031351280184688,1.0000000000000002e-12,1.822542929011616e-07,5.259695110952059,0.010762033391349637,-0.23374401860929195,0.8864488805394743,0.0012831019832584781,0.051716458487163275,0.033888784938454576,0.049767656762183095,0.08406439967028062,0.0006601454464224404,-1.075582444787092,0.0006440131794728062,8.808894755114077,7.320513922821836e-13,-9.148865041046696,6.299389093534497e-07,5.799298434188284,4.248543028495533e-08,3.643229362637612e-08,3.325778763496601e-08,-1.7632596716055104e-08,5.879866193936323e-08,1.3809779708662262e-11,7.654182843097601e-12,7.469196372511533e-10,-1.7663091092373922e-11,0,True,True,,activity_equilibrium,converged
cheq_0026,20.0,0.474,Bottinger,0.008974518605379244,0.053746328276703066,0.8076186146392969,0.05226646675217855,0.049169771647311775,0.014932370210827047,0.0004854182537810819,0.012806511613522434,1e-12,5.162654536614864e-07,-4.2401380974115535,0.006952468952407476,-0.8882097423123438,0.8859971937148188,0.04022602596255399,0.05384531549172347,0.012924783438167947,0.05144832688866582,0.01967306461417178,0.0011150036975738462,-1.1268524410414307,0.0006408099228299067,0.12061312448872363,1.1531623668793353e-12,-10.045540386802395,3.6506537377827e-07,5.562370642343934,-5.30445678492697e-08,-4.91956555492834e-08,-5.43835447786023e-08,2.6661758134594038e-08,-2.7215254050361182e-08,5.396379870736823e-11,1.0828386798333867e-10,-1.1432410573775087e-11,-4.174516095957597e-12,0,True,True,,activity_equilibrium,converged
cheq_0027,20.0,0.48,Matin,9.999999999999998e-13,0.013717136426959459,0.884062596039358,0.050410918591157594,0.04221546671957428,0.008894667044766913,9.999999999999998e-13,0.0006992151751835928,9.999999999999998e-13,7.670328773330054e-07,5.884813979513898,0.00585018211784036,-0.37009407203077715,0.8857556314598342,0.0008309058564794579,0.05451576960770478,0.03399753621513055,0.05188013126129106,0.08952947117152633,0.001359101703030005,-0.8158777390543586,0.0006381198483439806,8.804902253307871,1.3775620739398487e-12,-8.705499667707128,2.969677007820734e-07,5.4727092165397035,5.563737026648141e-08,4.975502676529686e-08,5.25422905184314e-08,-2.3690699180178854e-08,6.186168377553258e-08,1.0629698510289387e-11,-1.301958540977921e-12,7.985583305725186e-10,-1.8624051021725358e-11,0,True,True,,activity_equilibrium,converged
cheq_0028,20.0,0.505,Matin,1e-12,0.009109195714213442,0.884270845290245,0.052916667952344475,0.043387377341267255,0.009922602154003535,1e-12,0.00039331154492631276,1e-12,5.341456573333069e-06,6.727659701879334,0.0024294671344115134,-0.5739690047957291,0.8835999947379733,-0.0003296018016937843,0.05728641746283399,0.03445917370380307,0.05252968491578999,0.08304139691584507,0.003541347961679546,-0.44745697743906265,0.0006076382790456106,8.783645125056832,3.3662913874760265e-12,-8.067584988536629,1.0804832627151903e-07,5.033618043809048,6.726254397904086e-08,6.079775971556955e-08,6.9281984593772e-08,-3.146825111599583e-08,6.580661349175898e-08,4.535219422230341e-12,-7.895642473165765e-12,8.476689350445099e-10,-1.6738062112352237e-11,0,True,True,,activity_equilibrium,converged
cheq_0029,20.0,0.524,Bottinger,0.01104594544564602,0.03713520509050174,0.8354746121655162,0.047705565880140355,0.0467000846130751,0.010600074841039517,0.0005813061297022891,0.010757205833378844,1e-12,1.9951761442109783e-05,-2.7432216505520373,0.0013225610805721723,-1.4483700883486288,0.8805032180622777,0.02279769018075907,0.05935834770347636,0.09491275164912982,0.051563021070572125,0.0430206872440784,0.006670420082045611,-0.2011557463031673,0.0005624263334470852,-0.01433925583379718,6.188428545130116e-12,-9.24011909798455,5.3899978517761395e-08,4.731588592095467,-8.797906403401612e-08,-8.381797300671678e-08,-8.636532911054928e-08,4.794352204129382e-08,-3.656993996514757e-08,1.1598118992983686e-10,2.1469494237980058e-10,1.465129129130105e-10,-9.280008986669045e-12,0,True,True,,activity_equilibrium,converged
cheq_0030,20.0,0.531,Matin,1.0000000000000002e-12,0.004630991754783447,0.8841053146280304,0.055385514990770546,0.0445898989367283,0.011041947869364802,1.0000000000000002e-12,0.0002463318173225524,1.0000000000000002e-12,2.9419511471464368e-05,7.468635456732476,0.001106833950909811,-0.6215915355809163,0.8791767202703945,-0.0024278213751431094,0.060115439706798855,0.03558982978358922,0.05102059317241817,0.058509015450679706,0.0080070964348837,-0.13957063340064826,0.0005438531752773437,8.735481668496961,7.385254061439352e-12,-7.52315507073896,4.377046088400245e-08,4.641181119570054,7.927487644110442e-08,7.186622141830412e-08,7.876479557467064e-08,-4.091040750608954e-08,6.820976850008265e-08,-1.624263223920508e-12,-1.5950643583728663e-11,8.94861074129949e-10,-1.3338730263192127e-11,0,True,True,,activity_equilibrium,converged
