source,species,CO2_loading,mole_fraction,accepted,message
reference,MEACOO-,0.762,0.0187927017276788,,
reference,MEACOO-,0.78,0.0386873808904548,,
model,MEACOO-,0.11,0.0120535745512836,True,converged
model,MEACOO-,0.125,0.0137247687947847,True,converged
model,MEACOO-,0.205,0.0226473696031187,True,converged
model,MEACOO-,0.21,0.0232048279220595,True,converged
model,MEACOO-,0.236,0.0261017718836603,True,converged
model,MEACOO-,0.25,0.0276599376205645,True,converged
model,MEACOO-,0.28,0.0309927611137262,True,converged
model,MEACOO-,0.29,0.032101239580054,True,converged
model,MEACOO-,0.343,0.0379416292711267,True,converged
model,MEACOO-,0.354,0.0391426277761116,True,converged
model,MEACOO-,0.4,0.044078894176452,True,converged
model,MEACOO-,0.46,0.0498552112491792,True,converged
model,MEACOO-,0.466,0.0503106258795758,True,converged
model,MEACOO-,0.487,0.0514498354234057,True,converged
model,MEACOO-,0.508,0.0515190025669705,True,converged
model,MEACOO-,0.6,0.0444480103365739,True,converged
model,MEACOO-,0.663,0.0388240362823229,True,converged
model,MEACOO-,0.683,0.0371432357678554,True,converged
model,MEACOO-,0.762,0.0311553393821628,True,converged
model,MEACOO-,0.78,0.0299419869512082,True,converged
reference,HCO3-,0.11,9.9167804744008e-05,,
reference,HCO3-,0.125,1e-12,,
reference,HCO3-,0.205,1.000000000052126e-12,,
reference,HCO3-,0.21,0.0019918733115956,,
reference,HCO3-,0.236,1e-12,,
reference,HCO3-,0.25,0.0003927694874002,,
reference,HCO3-,0.28,9.999999999999998e-13,,
reference,HCO3-,0.29,0.0002963351266619,,
reference,HCO3-,0.343,1.0000000000000002e-12,,
reference,HCO3-,0.354,1.0000000000126058e-12,,
reference,HCO3-,0.4,0.0011970601874781,,
reference,HCO3-,0.46,1.5076062151110101e-07,,
reference,HCO3-,0.466,0.0039999458154969,,
reference,HCO3-,0.487,0.0051999897775372,,
reference,HCO3-,0.508,0.0090994911992821,,
reference,HCO3-,0.6,0.0149728030143919,,
reference,HCO3-,0.663,0.0426346991838706,,
reference,HCO3-,0.683,0.0381231560169838,,
reference,HCO3-,0.762,0.05929165340758,,
reference,HCO3-,0.78,0.0441166703927827,,
model,HCO3-,0.11,2.2090311590858977e-05,True,converged
model,HCO3-,0.125,2.660453559937169e-05,True,converged
model,HCO3-,0.205,6.195036344781526e-05,True,converged
model,HCO3-,0.21,6.504688135493229e-05,True,converged
model,HCO3-,0.236,8.364730207657788e-05,True,converged
model,HCO3-,0.25,9.574822847567812e-05,True,converged
model,HCO3-,0.28,0.0001283230796252,True,converged
model,HCO3-,0.29,0.0001417549599094,True,converged
model,HCO3-,0.343,0.0002479114961334,True,converged
model,HCO3-,0.354,0.0002811438027406,True,converged
model,HCO3-,0.4,0.0005064056760088,True,converged
model,HCO3-,0.46,0.0014650372593069,True,converged
