row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,observed_CO2_pressure_kPa,uncertainty_kPa,uncertainty_available,phase1_model_pressure_kPa,phase1_log10_residual,phase1_status,phase1_accepted,phase2_model_pressure_kPa,phase2_log10_residual,phase2_status,phase2_accepted,phase2_message,comparison_eligible,rejection_reason,activity_minus_ideal_abs_log10_error,preferred_model_on_row
vle_0081,Jou1995,60,0.3,0.561,34.0,nan,False,113.6129986615994,0.5239491055655895,accepted,True,246.26849022474102,0.8599299308628522,accepted,True,converged,True,,0.3359808252972627,ideal_baseline
vle_0082,Jou1995,60,0.3,0.579,82.0,nan,False,177.1339947513174,0.3344880646286388,accepted,True,374.91558833968867,0.6601196456242995,accepted,True,converged,True,,0.3256315809956607,ideal_baseline
vle_0097,Jou1995,80,0.3,0.118,0.0992,nan,False,0.0355247818289706,-0.4459802527120277,accepted,True,0.013544365068260076,-0.8647530211322906,accepted,True,converged,True,,0.4187727684202629,ideal_baseline
vle_0098,Jou1995,80,0.3,0.187,0.278,nan,False,0.1357604156358799,-0.3112716369966949,accepted,True,0.059814549314259766,-0.6672379611210326,accepted,True,converged,True,,0.3559663241243377,ideal_baseline
vle_0099,Jou1995,80,0.3,0.348,2.67,nan,False,1.8468764667297548,-0.160073413900411,accepted,True,1.440089323261354,-0.26812183079959767,accepted,True,converged,True,,0.10804841689918668,ideal_baseline
vle_0100,Jou1995,80,0.3,0.46,16.0,nan,False,18.020605569482942,0.0516493983858938,accepted,True,29.40513271701898,0.26430316122968905,accepted,True,converged,True,,0.21265376284379525,ideal_baseline
vle_0101,Jou1995,80,0.3,0.517,56.0,nan,False,78.78540007268968,0.1482577176999336,accepted,True,199.33715936027536,0.5514002380808192,accepted,True,converged,True,,0.4031425203808856,ideal_baseline
vle_0102,Jou1995,80,0.3,0.5785,235.0,nan,False,326.0484027636654,0.1422142147679068,accepted,True,852.899933600698,0.5598302183280135,accepted,True,converged,True,,0.4176160035601067,ideal_baseline
vle_0107,Jou1995,100,0.3,0.188,1.43,nan,False,0.8195548834780748,-0.2417579950026516,accepted,True,0.44227038808071667,-0.5096481750198529,accepted,True,converged,True,,0.26789018001720133,ideal_baseline
vle_0108,Jou1995,100,0.3,0.381,19.0,nan,False,17.04232424298104,-0.0472247771262304,accepted,True,19.931414046513733,0.0207845101316654,accepted,True,converged,True,,-0.026440266994564997,activity_model
vle_0109,Jou1995,100,0.3,0.422,39.0,nan,False,34.35811150411044,-0.0550353222364355,accepted,True,53.26606399644767,0.13538599950531782,accepted,True,converged,True,,0.08035067726888231,ideal_baseline
vle_0110,Jou1995,100,0.3,0.477,69.0,nan,False,95.54894768639132,0.1413768176447748,accepted,True,226.4428179032586,0.5161094599631171,accepted,True,converged,True,,0.37473264231834225,ideal_baseline
vle_0111,Jou1995,100,0.3,0.481,109.0,nan,False,103.039016126373,-0.0244247947894741,accepted,True,251.39427388375847,0.3629288834084883,accepted,True,converged,True,,0.33850408861901415,ideal_baseline
vle_0112,Jou1995,100,0.3,0.571,509.0,nan,False,560.9962106262815,0.0422421453906077,accepted,True,1592.2079834661834,0.4952820148412579,accepted,True,converged,True,,0.45303986945065017,ideal_baseline
vle_0113,Jou1995,100,0.3,0.589,376.0,nan,False,766.5464708324336,0.309350643570403,accepted,True,2035.4875024209482,0.7334805952948652,accepted,True,converged,True,,0.4241299517244622,ideal_baseline
vle_0126,Jou1995,120,0.3,0.119,2.29,nan,False,1.182609228445089,-0.2869942186634905,accepted,True,0.6465855604573745,-0.5492094806163227,accepted,True,converged,True,,0.2622152619528322,ideal_baseline
vle_0127,Jou1995,120,0.3,0.349,46.8,nan,False,45.72716425142424,-0.0100715834263247,accepted,True,56.5212907511772,0.08196621800248584,accepted,True,converged,True,,0.07189463457616113,ideal_baseline
vle_0128,Jou1995,120,0.3,0.4115,122.0,nan,False,111.51098027358778,-0.0390421970354995,accepted,True,202.3490820226266,0.21974140783582666,accepted,True,converged,True,,0.18069921080032716,ideal_baseline
vle_0129,Jou1995,120,0.3,0.444,222.0,nan,False,181.0922501294446,-0.0884531094377123,accepted,True,398.7571012743703,0.2543554558260402,accepted,True,converged,True,,0.1659023463883279,ideal_baseline
vle_0130,Jou1995,120,0.3,0.473,422.0,nan,False,275.3223039574367,-0.1854710557932766,accepted,True,709.5446176774683,0.22566725905291393,accepted,True,converged,True,,0.040196203259637325,ideal_baseline
vle_0131,Jou1995,120,0.3,0.536,822.0,nan,False,702.2308375427074,-0.0683919205215548,accepted,True,1979.63636733647,0.3817136059727168,accepted,True,converged,True,,0.313321685451162,ideal_baseline
