scope,model,group_type,group_value,attempted_count,accepted_count,failure_count,coverage_fraction,mean_log10_residual,median_log10_residual,median_abs_log10_error,rmse_log10_error,q90_abs_log10_error,max_abs_log10_error
full_context,ideal_baseline,temperature_C,80,6,6,0,1.0,-0.09586732879256658,-0.054212007757258596,0.1541655658001723,0.2470778587607183,0.3786259448543613,0.4459802527120277
paired,activity_model,overall,all,31,31,0,1.0,0.0881271295855333,0.22566725905291393,0.4952820148412579,0.565094893985169,0.8647530211322906,1.0793045870778706
paired,activity_model,source,Jou1995,31,31,0,1.0,0.0881271295855333,0.22566725905291393,0.4952820148412579,0.565094893985169,0.8647530211322906,1.0793045870778706
paired,activity_model,temperature_C,100,7,7,0,1.0,0.2506176125892655,0.3629288834084883,0.4952820148412579,0.4566785418336892,0.6030579140958164,0.7334805952948652
paired,activity_model,temperature_C,120,6,6,0,1.0,0.10237241101227679,0.2227043334443703,0.24001135743947705,0.3209266498521054,0.4654615432945197,0.5492094806163227
paired,activity_model,temperature_C,40,5,5,0,1.0,0.12719487178693858,0.30344883838488956,0.697060289375643,0.738219856608757,1.0007222350206362,1.0125902032083858
paired,activity_model,temperature_C,60,7,7,0,1.0,0.02171258563324555,0.02022043346011435,0.6601196456242995,0.6702242964718655,0.9476797933488597,1.0793045870778706
paired,activity_model,temperature_C,80,6,6,0,1.0,-0.07076319923573315,-0.0019093347849543085,0.5556152282044163,0.5704094811937717,0.7659954911266615,0.8647530211322906
paired,ideal_baseline,overall,all,31,31,0,1.0,0.014761631269364145,-0.0244247947894741,0.160073413900411,0.2973915086392612,0.5239491055655895,0.7947721707879503
paired,ideal_baseline,source,Jou1995,31,31,0,1.0,0.014761631269364145,-0.0244247947894741,0.160073413900411,0.2973915086392612,0.5239491055655895,0.7947721707879503
paired,ideal_baseline,temperature_C,100,7,7,0,1.0,0.0177895310644277,-0.0244247947894741,0.0550353222364355,0.16114420742591673,0.26879505442975216,0.309350643570403
paired,ideal_baseline,temperature_C,120,6,6,0,1.0,-0.1130706808129764,-0.07842251497963354,0.07842251497963354,0.14770033366428056,0.23623263722838356,0.2869942186634905
paired,ideal_baseline,temperature_C,40,5,5,0,1.0,0.2469841943488472,0.3448966071413341,0.3915572920799738,0.4930862004723812,0.6985617370477144,0.7947721707879503
paired,ideal_baseline,temperature_C,60,7,7,0,1.0,0.05025584825547379,0.0992817078831344,0.3060402644625141,0.347865667015495,0.5349256253882796,0.5513904051223149
paired,ideal_baseline,temperature_C,80,6,6,0,1.0,-0.09586732879256658,-0.054212007757258596,0.1541655658001723,0.2470778587607183,0.3786259448543613,0.4459802527120277
