row_id,temperature_C,CO2_loading,observed_CO2_pressure_kPa,paper,raw_pred_CO2_pressure_kPa,raw_log10_model_over_data,bubble_total_pressure_kPa,bubble_fugacity_residual_norm,chemical_charge_residual,chemical_max_reaction_residual,penalty_residual_count,diagnostic_success,model_x_CO2,model_x_MEA,model_x_H2O,model_x_MEAH+,model_x_MEACOO-,model_x_HCO3-,model_x_CO3^2-,model_x_H3O+,model_x_OH-,y_CO2,y_H2O,y_MEA,success,message
vle_0010,40.0,0.242,0.021,Idris,0.022960106649402175,0.03875460628902412,6.427516743359508,3.632758645011336e-07,-1.513927711323151e-10,7.187441752876111e-08,0,True,1.0991480868442126e-07,0.05867348685244706,0.8856038128486308,0.028552707274078663,0.025019963627141283,0.0007606723866429194,0.0013828243228008966,1.6259881643571222e-12,6.422771823775128e-06,0.0035721582013960623,0.9952269461444895,0.0012008956541144247,True,converged
vle_0011,40.0,0.246,0.0191,Hilliard,0.02493743762882584,0.11581845956793231,6.42698141380165,5.672940162071427e-08,-1.0184754197809182e-10,6.024966481277261e-08,0,True,1.1895465615541716e-07,0.057808323814646144,0.8855748429323695,0.028998103220561063,0.02543972888480026,0.0007932143172231521,0.0013794922508076311,1.6769590234769458e-12,6.175623259150169e-06,0.003880116655584817,0.9949380191990507,0.0011818641453644298,True,converged
vle_0012,40.0,0.25,0.0246,Aronu,0.02708164508525304,0.04173993510128587,6.4265565808082386,7.745855583607408e-07,-9.037959901507742e-11,9.348805463105236e-08,0,True,1.287215338874262e-07,0.056944477215583905,0.8855446141768398,0.029443431738001017,0.025858245303100855,0.0008270809035177111,0.0013760836863343342,1.729447103177661e-12,5.938253359006241e-06,0.0042140211083066675,0.9946231123749963,0.0011628665166971105,True,converged
vle_0013,40.0,0.269,0.0231,Hilliard,0.04002957799315789,0.2387690317415912,6.426684027757566,2.0571177206107905e-08,-1.2487739527781126e-10,5.401689762152273e-08,0,True,1.8705516492588032e-07,0.05286119353823366,0.8853818914653744,0.031557769977842674,0.027827185596314412,0.0010080294007983436,0.0013588121471093209,2.0015380456551874e-12,4.930817160761094e-06,0.00622865194869791,0.9926982720823166,0.0010730759689854315,True,converged
vle_0014,40.0,0.272,0.0224,Hilliard,0.0425749171793306,0.2789057934714755,6.427108869175966,1.6068001862379333e-07,-1.2794877244614705e-10,6.496148330370488e-08,0,True,1.98416136463262e-07,0.05221980930502416,0.8853529532678334,0.03189149691384709,0.02813484185888189,0.0010399571377378365,0.0013559549526399326,2.048279954209528e-12,4.788145850921232e-06,0.006624271977641049,0.9923167640528403,0.0010589639695186854,True,converged
vle_0015,40.0,0.321,0.038,Idris,0.11738024568539203,0.48981141757163543,6.463767583471558,9.314952875705274e-07,-1.289932097472103e-10,9.431991543351614e-08,0,True,5.239437854239898e-07,0.04191781603418497,0.8847098664203799,0.03733836627607895,0.032989928949492535,0.0017356098377800655,0.0013049390901562993,3.0035497560214236e-12,2.9494451381914956e-06,0.018159725604234903,0.9810094692637156,0.0008308051320494352,True,converged
vle_0016,40.0,0.326,0.0485,Hilliard,0.13037413100122805,0.42944968808540734,6.472515620848935,2.4096615437729785e-07,-1.35437754066758e-10,5.926452217863698e-08,0,True,5.79471293857605e-07,0.04088996962809735,0.884621230231733,0.03789376508976893,0.033462370509789986,0.0018299707755440168,0.001299309657308565,3.126495536702724e-12,2.804633337935995e-06,0.020142729448388443,0.9790495108448976,0.0008077597067140574,True,converged
vle_0017,40.0,0.33,0.043,Idris,0.14183797132938944,0.5183240554597471,6.480547197383705,7.889553191864351e-07,-1.4064196354206026e-10,5.876660402748257e-08,0,True,6.282992522905136e-07,0.04007163884081315,0.8845464388360699,0.03833801576892606,0.03383644530014464,0.0019094018152635579,0.0012947376662968794,3.229096132161788e-12,2.693470004618239e-06,0.021886727618718918,0.9773239179231333,0.0007893544581476946,True,converged
vle_0018,40.0,0.337,0.0603,Aronu,0.16448912551243192,0.4358198795923321,6.497086906506879,8.458212885642524e-07,-1.508365161606756e-10,9.479530760359012e-08,0,True,7.243998425009173e-07,0.03864860425558459,0.8844066304458786,0.039115324603680994,0.03448216055406954,0.0020574388163173544,0.0012866084720464608,3.4184212171881933e-12,2.508449161693692e-06,0.0253173657485934,0.9739254221412312,0.0007572121101754145,True,converged
vle_0019,40.0,0.345,0.05,Idris,0.19505323439018765,0.5911831518814633,6.520553090537161,1.7848548594656677e-07,-1.6099998506807696e-10,5.13928686274312e-08,0,True,8.534069199227974e-07,0.037037580473077786,0.8842318004886065,0.0400034119780577,0.035205082742334,0.002241901400758822,0.001277058499256746,3.6512410064286254e-12,2.3110073371853022e-06,0.029913602677854922,0.9693658118389895,0.0007205854831555897,True,converged
