source,species,CO2_loading,mole_fraction
model,MEAH+,0.59252,0.0664896272950712
model,MEAH+,0.6005,0.067382265947033
model,MEAH+,0.6084800000000001,0.0682745098599049
model,MEAH+,0.6164600000000001,0.0691662922465529
model,MEAH+,0.6244400000000001,0.0700574645286853
model,MEAH+,0.6324200000000001,0.0709481079025091
model,MEAH+,0.6404000000000001,0.0718381829197901
model,MEAH+,0.6483800000000001,0.0727276481287745
model,MEAH+,0.65636,0.0736163474075149
model,MEAH+,0.66434,0.0745041513417734
model,MEAH+,0.67232,0.0753911386194096
model,MEAH+,0.6803000000000001,0.0762772478882584
model,MEAH+,0.6882800000000001,0.0771624144894559
model,MEAH+,0.6962600000000001,0.0780463103163526
model,MEAH+,0.7042400000000001,0.078928887640099
model,MEAH+,0.7122200000000001,0.0798101920655708
model,MEAH+,0.7202000000000001,0.080690124720709
model,MEAH+,0.72818,0.0815685810714367
model,MEAH+,0.7361600000000001,0.0824449021522811
model,MEAH+,0.7441400000000001,0.0833192523505747
model,MEAH+,0.7521200000000001,0.0841915775340789
model,MEAH+,0.7601000000000001,0.0850617116797579
model,MEAH+,0.7680800000000001,0.085929450605334
model,MEAH+,0.7760600000000001,0.0867935704232114
model,MEAH+,0.7840400000000001,0.0876546411328166
model,MEAH+,0.7920200000000001,0.0885123907132557
model,MEAH+,0.8,0.0893665275575062
reference,MEAH+,0.11,0.0065
reference,MEAH+,0.21,0.016
reference,MEAH+,0.25,0.0218
reference,MEAH+,0.29,0.0225
reference,MEAH+,0.4,0.0473
reference,MEAH+,0.6,0.061
reference,MEAH+,0.78,0.0743
model,MEACOO-,0.11372,0.0127036576714677
model,MEACOO-,0.1217,0.0135937502421659
model,MEACOO-,0.12968,0.0144835876315136
model,MEACOO-,0.13766,0.0153731867978575
model,MEACOO-,0.14564,0.0162625348246562
model,MEACOO-,0.15362,0.0171516181651032
model,MEACOO-,0.1616,0.0180403327226485
model,MEACOO-,0.16958,0.0189287132006297
model,MEACOO-,0.17756,0.019816760393329
model,MEACOO-,0.18554,0.0207044541184526
model,MEACOO-,0.19352,0.0215917720428998
model,MEACOO-,0.2015,0.0224785313966338
model,MEACOO-,0.20948,0.023364835934736
model,MEACOO-,0.21746,0.0242506543903802
model,MEACOO-,0.22544,0.0251359534530773
model,MEACOO-,0.23342,0.0260206513295681
model,MEACOO-,0.2414,0.0269045490590208
model,MEACOO-,0.24938,0.0277877540393411
model,MEACOO-,0.25736,0.0286702114102945
model,MEACOO-,0.26534,0.0295518622634527
model,MEACOO-,0.27332,0.0304324963800819
model,MEACOO-,0.2813,0.0313119118046022
model,MEACOO-,0.28928,0.0321901993259555
model,MEACOO-,0.29726,0.0330672537961063
model,MEACOO-,0.30524,0.03394296116876
model,MEACOO-,0.31322,0.0348168121268468
model,MEACOO-,0.3212,0.0356886449754794
model,MEACOO-,0.32918,0.0365584671862406
model,MEACOO-,0.33716,0.0374260517425669
model,MEACOO-,0.34514,0.0382911493085451
model,MEACOO-,0.35312,0.0391524668346891
model,MEACOO-,0.3611,0.0400100191240062
model,MEACOO-,0.3690800000000001,0.0408634942550386
model,MEACOO-,0.37706,0.0417123135686292
model,MEACOO-,0.38504,0.0425557972486702
model,MEACOO-,0.39302,0.0433903009968322
model,MEACOO-,0.401,0.0442163750249366
model,MEACOO-,0.40898,0.0450324362363218
model,MEACOO-,0.41696,0.0458366212353845
model,MEACOO-,0.42494,0.0466253323449338
model,MEACOO-,0.4329200000000001,0.0473893372651539
model,MEACOO-,0.4409,0.0481274274072992
model,MEACOO-,0.44888,0.0488330963090692
model,MEACOO-,0.45686,0.0494985621079175
model,MEACOO-,0.46484,0.0501038037594519
model,MEACOO-,0.4728200000000001,0.0506193832165035
model,MEACOO-,0.4808,0.0510368124765486
model,MEACOO-,0.48878,0.051337338402548
model,MEACOO-,0.4967600000000001,0.0515033974959128
model,MEACOO-,0.5047400000000001,0.0514849266303174
model,MEACOO-,0.5127200000000001,0.0512971410385559
model,MEACOO-,0.5207,0.050977546841531
model,MEACOO-,0.52868,0.0505436674529593
model,MEACOO-,0.53666,0.0500145898284917
model,MEACOO-,0.54464,0.0493953498912912
model,MEACOO-,0.5526200000000001,0.0487238784393192
model,MEACOO-,0.5606000000000001,0.0480135426413609
model,MEACOO-,0.5685800000000001,0.0472720285679491
model,MEACOO-,0.5765600000000001,0.0465055593766505
model,MEACOO-,0.5845400000000001,0.0457147656642089
model,MEACOO-,0.59252,0.0449105731377933
model,MEACOO-,0.6005,0.0440951070114559
model,MEACOO-,0.6084800000000001,0.0432702269677059
model,MEACOO-,0.6164600000000001,0.042437032126503
model,MEACOO-,0.6244400000000001,0.0415962338039599
model,MEACOO-,0.6324200000000001,0.0407506960309956
model,MEACOO-,0.6404000000000001,0.0399010953594071
model,MEACOO-,0.6483800000000001,0.0390480399754357
model,MEACOO-,0.65636,0.0381917374474745
model,MEACOO-,0.66434,0.037332814033754
model,MEACOO-,0.67232,0.0364721685495967
model,MEACOO-,0.6803000000000001,0.0356101035557283
model,MEACOO-,0.6882800000000001,0.0347469014595246
model,MEACOO-,0.6962600000000001,0.033882724626788
model,MEACOO-,0.7042400000000001,0.0330180440179904
model,MEACOO-,0.7122200000000001,0.0321531709913594
model,MEACOO-,0.7202000000000001,0.0312883074104367
model,MEACOO-,0.72818,0.0304236510936637
model,MEACOO-,0.7361600000000001,0.0295596302517683
