temperature_C,CO2_loading,legacy_pcsaft_CO2_pressure_kPa,legacy_pcsaft_total_pressure_Pa,legacy_pcsaft_y_CO2,epcsaft_success,epcsaft_message,epcsaft_CO2_pressure_kPa,epcsaft_total_pressure_Pa,epcsaft_y_CO2,epcsaft_y_MEA,epcsaft_y_H2O,epcsaft_bubble_residual,epcsaft_max_fugacity_residual,epcsaft_iterations,epcsaft_method,epcsaft_equilibrium_split_detected,epcsaft_equilibrium_message,epcsaft_liquid_fugacity_pressure_kPa,x6_CO2,x6_MEA,x6_H2O,x6_MEAH+,x6_MEACOO-,x6_HCO3-,x_apparent_CO2,x_apparent_MEA,x_apparent_H2O
60,0.32599999999999996,0.2013783261734691,18475.381377396017,0.010899819714674385,True,solved,0.20137832260701163,18475.381057565195,0.010899819710324858,5.8005748169451085e-06,0.9890943797148583,2.2491957363257598e-07,2.2491954837500217e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.202440245036315,2.252780267589235e-08,0.03985932079544079,0.8869604555662491,0.03659010055525374,0.0357902200101063,0.0007998805451474415,2.4306561753304112e-08,0.0430065486766682,0.95699342701677
60,0.349,0.3018308504430587,18814.091152959885,0.01604280791398068,True,solved,0.3018308501494732,18814.09114657948,0.016042807903816705,4.197999050729412e-06,0.9839529940971327,1.6337711183922465e-07,1.6337709851654836e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.30342840219274314,3.3757309729770796e-08,0.03487271451402036,0.8867840504566367,0.03917160063601658,0.03819532495036801,0.0009762756856485798,3.662676798604563e-08,0.03783698504926157,0.9621629783239704
60,0.372,0.46305986807734983,19202.11840698465,0.024115040760758707,True,solved,0.4630598684788021,19202.118437517944,0.024115040743320038,2.9563124041638633e-06,0.9758820029442757,1.0309792619622726e-07,1.0309792131124595e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.46551024415721115,5.187884565549469e-08,0.02994027632554595,0.8865534848364317,0.04175309347958827,0.040546268261315965,0.0012068252182723094,5.660577836675898e-08,0.032668279806720664,0.9673316635875009
60,0.395,0.7343979990434545,19686.415168992375,0.037304811096343635,True,solved,0.7343979996591306,19686.415201314478,0.037304811066368966,2.0120332231614478e-06,0.9626931769004078,4.9114283751094945e-08,4.911428252984962e-08,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.7382574366396776,8.258524535939862e-08,0.025088821016111085,0.8862419502198832,0.04433457308938027,0.04281624051448348,0.0015183325748967871,9.062048652595929e-08,0.02752987118883647,0.972470038190677
60,0.418,1.241302353717524,20389.506012567785,0.060879471672948035,True,solved,1.2413023540653796,20389.50603621128,0.060879471619413233,1.3095953841461645e-06,0.9391192187852025,1.065347099427072e-08,1.0653472770627559e-08,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,1.2476936640423804,1.403750414897258e-07,0.020373938620146644,0.8857938726513515,0.046916024176730194,0.04494966533679186,0.0019663588399383386,1.5491062251170916e-07,0.022483623022781226,0.9775162220665963
60,0.441,2.2458958293455513,21570.839301543194,0.10411722038024167,True,solved,2.2458958040591974,21570.83907863792,0.10411722028390438,8.014914334464953e-07,0.8958819782246622,4.14868812859126e-07,4.1486872781604234e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,2.256922483786299,2.558128571676751e-07,0.015877712980396703,0.885127202285634,0.049497414460556104,0.04686448773601657,0.0026329267245395298,2.839194106526135e-07,0.0176222218140927,0.9823774942664967
60,0.46399999999999997,4.4121394047338445,23891.808619031675,0.18467163683954985,True,solved,4.412139412124751,23891.808598581476,0.18467163730696856,4.4871343610316736e-07,0.8153279139795954,2.0622995977603864e-08,2.062299664373768e-08,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,4.4315974540641205,5.065486534740955e-07,0.0117496978178676,0.884092472008852,0.052078661812313395,0.04841122740429188,0.003667434408021523,5.654437624289325e-07,0.013115804959647044,0.9868836295965905
60,0.487,9.544987953398072,29155.5310165869,0.3273817221153621,True,solved,9.544987964581212,29155.531007236157,0.3273817226039281,2.209193999305884e-07,0.6726180564766719,2.1888550194582024e-07,2.1888547863113672e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,9.577695912969993,1.1035288209636353e-06,0.008239593019063594,0.8824402181029982,0.05465954267455867,0.04934038433600923,0.005319158338549444,1.238972119882216e-06,0.009250892079901858,0.9907478689479783
60,0.51,21.871123947605376,41588.35915453622,0.5258953320648093,True,solved,21.871123958806447,41588.35916267526,0.5258953322312209,9.36751173154565e-08,0.4741045740936617,6.31351105617739e-07,6.313509075539514e-07,37,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,21.910008001987556,2.5387164014920703e-06,0.0056017662238112545,0.8799166268748307,0.05723953409247825,0.04939805862839902,0.007841475464079215,2.8669185676825147e-06,0.006325955742603813,0.9936711773388285
60,0.5329999999999999,47.92796201920497,67730.82503876631,0.7076240691261769,True,solved,47.92796211993788,67730.82498397684,0.7076240711858486,3.6435465307825194e-08,0.2923758923786862,3.953090641495294e-07,3.9530898732209607e-07,37,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,47.90472826252477,5.564412502795194e-06,0.0038287603904645674,0.8765300102625269,0.05981783246725289,0.04859242648391812,0.011225405983334767,6.320579197908139e-06,0.004349063493331688,0.9956446159274703
60,0.556,95.9682775255665,115846.56085125732,0.8284085157157682,True,solved,95.96827741729447,115846.56065264408,0.8284085162014182,1.4437932517227165e-08,0.17159146936064942,1.650197287705879e-07,1.6501971700222384e-07,36,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,95.62839978863866,1.1104589735158311e-05,0.0027079762632186703,0.8724940305630895,0.062393444291978316,0.04713697695891897,0.015256467333059342,1.2687869491799248e-05,0.003094076434523843,0.9968932356959844
60,0.579,177.1339947513174,197094.39177822473,0.8987267123796843,True,solved,177.13399472102262,197094.39172461609,0.8987267124704263,6.174582829722718e-09,0.10127328135499064,1.3011021371411857e-08,1.3011021593456462e-08,35,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,175.7168999465175,2.0360657179552633e-05,0.0020065325598095027,0.8680429689615684,0.06496506891072125,0.045265757145871416,0.01969931176484984,2.3401175083310932e-05,0.002306174075246521,0.9976704247496703
80,0.118,0.035524781828970696,38185.45338187903,0.0009303223788833954,True,solved,0.035524781909622424,38185.45326899343,0.0009303223837457636,9.494132286201769e-05,0.9989747362933922,4.604867220869835e-08,4.6048671167864264e-08,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.03575835767750784,4.943452944922954e-09,0.08603711684992425,0.8874743322672153,0.013244272969703728,0.012958253514833974,0.00028601945486975497,5.0779607412973154e-09,0.08837812487059778,0.9116218700514415
80,0.14102499999999998,0.057880201756464286,38824.51141233868,0.0014908159729749898,True,solved,0.057880201878778625,38824.51128580788,0.0014908159809840663,7.886703120125363e-05,0.9984303169878147,9.679469115120298e-08,9.679468637724398e-08,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.05826532274626928,7.959163333078984e-09,0.08094517858737628,0.8873976380653336,0.015828587694063506,0.015465876714539922,0.000362710979523586,8.21936521940888e-09,0.08359144770842947,0.9164085440722053
80,0.16405,0.08998631768369525,39474.39244380075,0.002279612480719184,True,solved,0.08998631786791574,39474.39230713622,0.002279612493278279,6.496875786417489e-05,0.9976554187488575,1.7671673058217152e-07,1.767167159272276e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.09059196994055302,1.2239274024435439e-08,0.0758631916721237,0.8873109938581594,0.018412901115221432,0.01796354972823649,0.0004493513869849354,1.270722788544189e-08,0.07876372918606177,0.9212362581067103
