row_id,source_key,source_file,source_row,MEA_weight_fraction,temperature,CO2_loading,CO2_pressure,paper
vle_0033,Hilliard2008,Hilliard_2008_VLE.csv,28,0.3,40,0.389,0.113,Hilliard
vle_0034,Hilliard2008,Hilliard_2008_VLE.csv,29,0.3,40,0.4,0.128,Hilliard
vle_0035,Hilliard2008,Hilliard_2008_VLE.csv,30,0.3,40,0.464,0.75,Hilliard
vle_0036,Hilliard2008,Hilliard_2008_VLE.csv,31,0.3,40,0.466,0.574,Hilliard
vle_0037,Hilliard2008,Hilliard_2008_VLE.csv,32,0.3,40,0.481,0.883,Hilliard
vle_0038,Hilliard2008,Hilliard_2008_VLE.csv,33,0.3,40,0.491,1.1,Hilliard
vle_0039,Hilliard2008,Hilliard_2008_VLE.csv,34,0.3,40,0.501,1.87,Hilliard
vle_0040,Hilliard2008,Hilliard_2008_VLE.csv,35,0.3,40,0.518,3.03,Hilliard
vle_0041,Hilliard2008,Hilliard_2008_VLE.csv,36,0.3,40,0.591,28.3,Hilliard
vle_0042,Idris2014,Idris_2014_VLE.csv,1,0.3,40,0.242,0.021,Idris
vle_0043,Idris2014,Idris_2014_VLE.csv,2,0.3,40,0.321,0.038,Idris
vle_0044,Idris2014,Idris_2014_VLE.csv,3,0.3,40,0.33,0.043,Idris
vle_0045,Idris2014,Idris_2014_VLE.csv,4,0.3,40,0.345,0.05,Idris
vle_0046,Idris2014,Idris_2014_VLE.csv,5,0.3,40,0.352,0.064,Idris
vle_0047,Idris2014,Idris_2014_VLE.csv,6,0.3,40,0.355,0.097,Idris
vle_0048,Idris2014,Idris_2014_VLE.csv,7,0.3,40,0.375,0.107,Idris
vle_0049,Idris2014,Idris_2014_VLE.csv,8,0.3,40,0.377,0.123,Idris
vle_0050,Idris2014,Idris_2014_VLE.csv,9,0.3,40,0.436,0.445,Idris
vle_0051,Idris2014,Idris_2014_VLE.csv,10,0.3,40,0.46,0.813,Idris
vle_0052,Jou1995,Jou_1995_VLE.csv,15,0.3,40,0.0888,0.00147,Jou
vle_0053,Jou1995,Jou_1995_VLE.csv,16,0.3,40,0.203,0.00896,Jou
vle_0054,Jou1995,Jou_1995_VLE.csv,17,0.3,40,0.365,0.0677,Jou
vle_0055,Jou1995,Jou_1995_VLE.csv,18,0.3,40,0.4735,0.604,Jou
vle_0056,Jou1995,Jou_1995_VLE.csv,19,0.3,40,0.513,2.57,Jou
vle_0057,Jou1995,Jou_1995_VLE.csv,20,0.3,40,0.557,8.09,Jou
vle_0058,Jou1995,Jou_1995_VLE.csv,21,0.3,40,0.609,36.1,Jou
vle_0059,Jou1995,Jou_1995_VLE.csv,22,0.3,40,0.642,103,Jou
vle_0060,Aronu2011,Aronu_2011_VLE.csv,51,0.3,60,0.053,0.0045,Aronu
vle_0061,Aronu2011,Aronu_2011_VLE.csv,52,0.3,60,0.105,0.0154,Aronu
vle_0062,Aronu2011,Aronu_2011_VLE.csv,53,0.3,60,0.162,0.0427,Aronu
vle_0063,Aronu2011,Aronu_2011_VLE.csv,54,0.3,60,0.244,0.1348,Aronu
vle_0064,Aronu2011,Aronu_2011_VLE.csv,55,0.3,60,0.303,0.3015,Aronu
vle_0065,Aronu2011,Aronu_2011_VLE.csv,56,0.3,60,0.36,0.6436,Aronu
vle_0066,Aronu2011,Aronu_2011_VLE.csv,57,0.3,60,0.393,1.097,Aronu
vle_0067,Aronu2011,Aronu_2011_VLE.csv,58,0.3,60,0.428,2.5014,Aronu
vle_0068,Aronu2011,Aronu_2011_VLE.csv,59,0.3,60,0.491,13.558,Aronu
vle_0069,Hilliard2008,Hilliard_2008_VLE.csv,37,0.3,60,0.114,0.0194,Hilliard
vle_0070,Hilliard2008,Hilliard_2008_VLE.csv,38,0.3,60,0.191,0.0589,Hilliard
vle_0071,Hilliard2008,Hilliard_2008_VLE.csv,39,0.3,60,0.291,0.209,Hilliard
vle_0072,Hilliard2008,Hilliard_2008_VLE.csv,40,0.3,60,0.386,0.763,Hilliard
vle_0073,Hilliard2008,Hilliard_2008_VLE.csv,41,0.3,60,0.485,4.86,Hilliard
vle_0074,Hilliard2008,Hilliard_2008_VLE.csv,42,0.3,60,0.544,25.8,Hilliard
vle_0075,Jou1995,Jou_1995_VLE.csv,23,0.3,60,0.0564,0.00428,Jou
vle_0076,Jou1995,Jou_1995_VLE.csv,24,0.3,60,0.119,0.0193,Jou
vle_0077,Jou1995,Jou_1995_VLE.csv,25,0.3,60,0.206,0.0579,Jou
vle_0078,Jou1995,Jou_1995_VLE.csv,26,0.3,60,0.389,0.528,Jou
vle_0079,Jou1995,Jou_1995_VLE.csv,27,0.3,60,0.438,2.01,Jou
vle_0080,Jou1995,Jou_1995_VLE.csv,28,0.3,60,0.504,11,Jou
vle_0081,Jou1995,Jou_1995_VLE.csv,29,0.3,60,0.561,34,Jou
vle_0082,Jou1995,Jou_1995_VLE.csv,30,0.3,60,0.579,82,Jou
vle_0083,Aronu2011,Aronu_2011_VLE.csv,60,0.3,80,0.017,0.0056,Aronu
vle_0084,Aronu2011,Aronu_2011_VLE.csv,61,0.3,80,0.04,0.0219,Aronu
vle_0085,Aronu2011,Aronu_2011_VLE.csv,62,0.3,80,0.075,0.0557,Aronu
vle_0086,Aronu2011,Aronu_2011_VLE.csv,63,0.3,80,0.122,0.1406,Aronu
vle_0087,Aronu2011,Aronu_2011_VLE.csv,64,0.3,80,0.155,0.2485,Aronu
vle_0088,Aronu2011,Aronu_2011_VLE.csv,65,0.3,80,0.216,0.6137,Aronu
vle_0089,Aronu2011,Aronu_2011_VLE.csv,66,0.3,80,0.271,1.2538,Aronu
vle_0090,Aronu2011,Aronu_2011_VLE.csv,67,0.3,80,0.347,3.7522,Aronu
vle_0091,Aronu2011,Aronu_2011_VLE.csv,68,0.3,80,0.4,7.9387,Aronu
vle_0092,Aronu2011,Aronu_2011_VLE.csv,69,0.3,80,0.398,8.3031,Aronu
vle_0093,Jou1995,Jou_1995_VLE.csv,31,0.3,60,0.668,282,Jou
vle_0094,Jou1995,Jou_1995_VLE.csv,32,0.3,80,0.0174,0.00296,Jou
vle_0095,Jou1995,Jou_1995_VLE.csv,33,0.3,80,0.0236,0.00484,Jou
vle_0096,Jou1995,Jou_1995_VLE.csv,34,0.3,80,0.0781,0.0465,Jou
vle_0097,Jou1995,Jou_1995_VLE.csv,35,0.3,80,0.118,0.0992,Jou
vle_0098,Jou1995,Jou_1995_VLE.csv,36,0.3,80,0.187,0.278,Jou
vle_0099,Jou1995,Jou_1995_VLE.csv,37,0.3,80,0.348,2.67,Jou
vle_0100,Jou1995,Jou_1995_VLE.csv,38,0.3,80,0.46,16,Jou
vle_0101,Jou1995,Jou_1995_VLE.csv,39,0.3,80,0.517,56,Jou
vle_0102,Jou1995,Jou_1995_VLE.csv,40,0.3,80,0.5785,235,Jou
vle_0103,Jou1995,Jou_1995_VLE.csv,41,0.3,80,0.64,558,Jou
vle_0104,Jou1995,Jou_1995_VLE.csv,42,0.3,80,0.689,958,Jou
vle_0105,Jou1995,Jou_1995_VLE.csv,43,0.3,100,0.0117,0.00724,Jou
vle_0106,Jou1995,Jou_1995_VLE.csv,44,0.3,100,0.0566,0.136,Jou
vle_0107,Jou1995,Jou_1995_VLE.csv,45,0.3,100,0.188,1.43,Jou
vle_0108,Jou1995,Jou_1995_VLE.csv,46,0.3,100,0.381,19,Jou
vle_0109,Jou1995,Jou_1995_VLE.csv,47,0.3,100,0.422,39,Jou
vle_0110,Jou1995,Jou_1995_VLE.csv,48,0.3,100,0.477,69,Jou
vle_0111,Jou1995,Jou_1995_VLE.csv,49,0.3,100,0.481,109,Jou
vle_0112,Jou1995,Jou_1995_VLE.csv,50,0.3,100,0.571,509,Jou
vle_0113,Jou1995,Jou_1995_VLE.csv,51,0.3,100,0.589,376,Jou
vle_0114,Jou1995,Jou_1995_VLE.csv,52,0.3,100,0.6135,909,Jou
vle_0115,Xu2011,Xu_2011_VLE.csv,1,0.3,100.0,0.388,34,Xu
vle_0116,Xu2011,Xu_2011_VLE.csv,2,0.3,100.0,0.424,101,Xu
vle_0117,Xu2011,Xu_2011_VLE.csv,3,0.3,100.0,0.425,86,Xu
vle_0118,Xu2011,Xu_2011_VLE.csv,4,0.3,100.0,0.501,167,Xu
vle_0119,Xu2011,Xu_2011_VLE.csv,5,0.3,100.0,0.52,233,Xu
vle_0120,Xu2011,Xu_2011_VLE.csv,6,0.3,100,0.315,16,Xu
vle_0121,Xu2011,Xu_2011_VLE.csv,7,0.3,100,0.475,95,Xu
vle_0122,Xu2011,Xu_2011_VLE.csv,8,0.3,100,0.315,12,Xu
vle_0123,Jou1995,Jou_1995_VLE.csv,53,0.3,120,0.00333,0.00202,Jou
vle_0124,Jou1995,Jou_1995_VLE.csv,54,0.3,120,0.0112,0.0221,Jou
vle_0125,Jou1995,Jou_1995_VLE.csv,55,0.3,120,0.0247,0.0984,Jou
vle_0126,Jou1995,Jou_1995_VLE.csv,56,0.3,120,0.119,2.29,Jou
vle_0127,Jou1995,Jou_1995_VLE.csv,57,0.3,120,0.349,46.8,Jou
vle_0128,Jou1995,Jou_1995_VLE.csv,58,0.3,120,0.4115,122,Jou
vle_0129,Jou1995,Jou_1995_VLE.csv,59,0.3,120,0.444,222,Jou
vle_0130,Jou1995,Jou_1995_VLE.csv,60,0.3,120,0.473,422,Jou
vle_0131,Jou1995,Jou_1995_VLE.csv,61,0.3,120,0.536,822,Jou
vle_0132,Jou1995,Jou_1995_VLE.csv,62,0.3,120,0.639,2804,Jou
vle_0133,Mamun2005,Mamun_2005_VLE.csv,1,0.3,120,0.155,7.354,Mamun
vle_0134,Mamun2005,Mamun_2005_VLE.csv,2,0.3,120,0.1766,9.314,Mamun
vle_0135,Mamun2005,Mamun_2005_VLE.csv,3,0.3,120,0.1843,9.045,Mamun
vle_0136,Mamun2005,Mamun_2005_VLE.csv,4,0.3,120,0.2085,15.51,Mamun
vle_0137,Mamun2005,Mamun_2005_VLE.csv,5,0.3,120,0.2326,19.62,Mamun
vle_0138,Mamun2005,Mamun_2005_VLE.csv,6,0.3,120,0.2381,25.2,Mamun
vle_0139,Mamun2005,Mamun_2005_VLE.csv,7,0.3,120,0.256,27.71,Mamun
vle_0140,Mamun2005,Mamun_2005_VLE.csv,8,0.3,120,0.2901,39.18,Mamun
vle_0141,Mamun2005,Mamun_2005_VLE.csv,9,0.3,120,0.2967,40.4,Mamun
vle_0142,Mamun2005,Mamun_2005_VLE.csv,10,0.3,120,0.3004,43.49,Mamun
vle_0143,Mamun2005,Mamun_2005_VLE.csv,11,0.3,120,0.3125,51.82,Mamun
vle_0144,Mamun2005,Mamun_2005_VLE.csv,12,0.3,120,0.3191,58.57,Mamun
vle_0145,Mamun2005,Mamun_2005_VLE.csv,13,0.3,120,0.3298,62.88,Mamun
vle_0146,Mamun2005,Mamun_2005_VLE.csv,14,0.3,120,0.3424,77.59,Mamun
vle_0147,Mamun2005,Mamun_2005_VLE.csv,15,0.3,120,0.3424,74.95,Mamun
vle_0148,Mamun2005,Mamun_2005_VLE.csv,16,0.3,120,0.35,83.61,Mamun
vle_0149,Mamun2005,Mamun_2005_VLE.csv,17,0.3,120,0.3594,92.79,Mamun
vle_0150,Mamun2005,Mamun_2005_VLE.csv,18,0.3,120,0.3882,137.9,Mamun
vle_0151,Mamun2005,Mamun_2005_VLE.csv,19,0.3,120,0.4182,191.9,Mamun
vle_0152,Xu2011,Xu_2011_VLE.csv,15,0.3,120.0,0.37,63,Xu
vle_0153,Xu2011,Xu_2011_VLE.csv,16,0.3,120.0,0.385,108,Xu
vle_0154,Xu2011,Xu_2011_VLE.csv,17,0.3,120.0,0.387,62,Xu
vle_0155,Xu2011,Xu_2011_VLE.csv,18,0.3,120.0,0.422,237,Xu
vle_0156,Xu2011,Xu_2011_VLE.csv,19,0.3,120.0,0.423,192,Xu
vle_0157,Xu2011,Xu_2011_VLE.csv,20,0.3,120.0,0.492,387,Xu
vle_0158,Xu2011,Xu_2011_VLE.csv,21,0.3,120.0,0.508,512,Xu
vle_0159,Xu2011,Xu_2011_VLE.csv,22,0.3,120,0.314,50,Xu
vle_0160,Xu2011,Xu_2011_VLE.csv,23,0.3,120,0.467,283,Xu
vle_0161,Xu2011,Xu_2011_VLE.csv,24,0.3,120,0.314,45,Xu
