source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data
Jakobsen,20.0,0.3,0.25,MEA,0.0591,0.1117910591198689,0.2768195898410866
Matin,20.0,0.3,0.264,MEA,0.0568,0.1117910591198689,0.294058735011323
Matin,20.0,0.3,0.287,MEA,0.0518,0.1117910591198689,0.334077310977109
Jakobsen,20.0,0.3,0.29,MEA,0.0556,0.1117910591198689,0.3033322791402845
Matin,20.0,0.3,0.31,MEA,0.0469,0.1117910591198689,0.3772342280072587
Matin,20.0,0.3,0.334,MEA,0.0419,0.1117910591198689,0.4261930477560467
Matin,20.0,0.3,0.358,MEA,0.0371,0.1117910591198689,0.4790331611072961
Matin,20.0,0.3,0.382,MEA,0.0322,0.1117910591198689,0.540551199026511
Jakobsen,20.0,0.3,0.4,MEA,0.0331,0.1117910591198689,0.5285790769466232
Matin,20.0,0.3,0.406,MEA,0.0274,0.1117910591198689,0.6106565079019539
Matin,20.0,0.3,0.431,MEA,0.0227,0.1117910591198689,0.6923812135292192
Matin,20.0,0.3,0.455,MEA,0.0181,0.1117910591198689,0.7907284958531574
Matin,20.0,0.3,0.48,MEA,0.0135,0.1117910591198689,0.918073302227336
Matin,20.0,0.3,0.505,MEA,0.009,0.1117910591198689,1.094164561283017
Matin,20.0,0.3,0.531,MEA,0.0046,0.1117910591198689,1.385649239040768
Jakobsen,20.0,0.3,0.6,MEA,0.0009,0.1117910591198689,2.094164561283017
Jakobsen,20.0,0.3,0.78,MEA,0.0003,0.1117910591198689,2.57128581600268
Jakobsen,20.0,0.3,0.99,MEA,0.0006,0.1117910591198689,2.2702558203386984
Bottinger,20.0,0.3,0.075,MEA + MEAH+,0.1054,0.1120155384076462,0.0264376597992798
Matin,20.0,0.3,0.106,MEA + MEAH+,0.103,0.1120155384076462,0.0364410459706354
Jakobsen,20.0,0.3,0.11,MEA + MEAH+,0.1101,0.1120155384076462,0.0074909517040558
Matin,20.0,0.3,0.128,MEA + MEAH+,0.1006,0.1120155384076462,0.046680289955899
Matin,20.0,0.3,0.15,MEA + MEAH+,0.0979,0.1120155384076462,0.0584955788726698
Bottinger,20.0,0.3,0.15,MEA + MEAH+,0.0966,0.1120155384076462,0.0643011442603143
