temperature_C,CO2_loading,effective_CO2_loading,species,mole_fraction,curve_role,solver_success
20.0,0.0684375,0.0684375,CO2,1.812959665478044e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.0684375,0.0684375,MEA,0.096808127673739,epcsaft_activity_equilibrium_curve,True
20.0,0.0684375,0.0684375,MEAH+,0.008207093916117935,epcsaft_activity_equilibrium_curve,True
20.0,0.0684375,0.0684375,MEACOO-,0.007230947587619051,epcsaft_activity_equilibrium_curve,True
20.0,0.0684375,0.0684375,HCO3-,5.089413239617903e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.0684375,0.0684375,CO3^2-,0.0004458101809003262,epcsaft_activity_equilibrium_curve,True
20.0,0.0684375,0.0684375,H3O+,3.7349280986879176e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.0684375,0.0684375,OH-,7.94365628295315e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.0684375,0.0684375,MEA + MEAH+,0.10501522158985693,epcsaft_activity_equilibrium_curve,True
20.0,0.07328125,0.07328125,CO2,2.113361804929358e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.07328125,0.07328125,MEA,0.0957267766019062,epcsaft_activity_equilibrium_curve,True
20.0,0.07328125,0.07328125,MEAH+,0.00875686531229788,epcsaft_activity_equilibrium_curve,True
20.0,0.07328125,0.07328125,MEACOO-,0.007762527262871515,epcsaft_activity_equilibrium_curve,True
20.0,0.07328125,0.07328125,HCO3-,5.543993329023639e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.07328125,0.07328125,CO3^2-,0.0004574683046671727,epcsaft_activity_equilibrium_curve,True
20.0,0.07328125,0.07328125,H3O+,3.948983487037871e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.07328125,0.07328125,OH-,7.385745657240942e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.07328125,0.07328125,MEA + MEAH+,0.10448364191420409,epcsaft_activity_equilibrium_curve,True
20.0,0.078125,0.078125,CO2,2.445705878354434e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.078125,0.078125,MEA,0.09464485067856164,epcsaft_activity_equilibrium_curve,True
20.0,0.078125,0.078125,MEAH+,0.009306280874350831,epcsaft_activity_equilibrium_curve,True
20.0,0.078125,0.078125,MEACOO-,0.008295037623732748,epcsaft_activity_equilibrium_curve,True
20.0,0.078125,0.078125,HCO3-,6.012810635240197e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.078125,0.078125,CO3^2-,0.00046818150526947136,epcsaft_activity_equilibrium_curve,True
20.0,0.078125,0.078125,H3O+,4.1598718462362854e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.078125,0.078125,OH-,6.886743966049367e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.078125,0.078125,MEA + MEAH+,0.10395113155291247,epcsaft_activity_equilibrium_curve,True
20.0,0.08296875000000001,0.08296875000000001,CO2,2.81241589373922e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.08296875000000001,0.08296875000000001,MEA,0.09356244024490232,epcsaft_activity_equilibrium_curve,True
20.0,0.08296875000000001,0.08296875000000001,MEAH+,0.009855322797887076,epcsaft_activity_equilibrium_curve,True
