temperature_C,CO2_loading,effective_CO2_loading,solver_returned,solver_success,rejection_reason,message,charge_residual,max_abs_reaction_residual,state_failure_count
20.0,0.69328125,0.69328125,True,True,,converged,-6.8877065215253e-14,4.9477399954866996e-08,0
20.0,0.698125,0.698125,True,True,,converged,-2.4220486044760686e-11,8.84235014098067e-08,0
20.0,0.70296875,0.70296875,True,True,,converged,-4.879186432075953e-14,7.339075480672363e-08,0
20.0,0.7078125000000001,0.7078125000000001,True,True,,converged,-2.5758414999353758e-11,9.521872357254324e-08,0
20.0,0.71265625,0.71265625,True,True,,converged,-2.6582917004914148e-11,9.305324510933133e-08,0
20.0,0.7175,0.7175,True,True,,converged,-1.3721621794491007e-11,8.095458881030027e-08,0
20.0,0.7223437500000001,0.7223437500000001,True,True,,converged,-2.656710230156238e-11,9.258712196924535e-08,0
20.0,0.7271875,0.7271875,True,True,,converged,-2.8352913927599698e-11,9.761999564261714e-08,0
20.0,0.73203125,0.73203125,True,True,,converged,-1.5114770534765972e-11,8.006881913047437e-08,0
20.0,0.7368750000000001,0.7368750000000001,True,True,,converged,-7.744959788091201e-12,9.180358162552693e-08,0
20.0,0.74171875,0.74171875,True,True,,converged,-4.031156238725623e-12,6.638671834480192e-08,0
20.0,0.7465625,0.7465625,True,True,,converged,-4.152910233273792e-12,6.35829948691935e-08,0
20.0,0.75140625,0.75140625,True,True,,converged,-4.2609041835553055e-12,5.2016051910186434e-08,0
20.0,0.75625,0.75625,True,True,,converged,-1.747362412862629e-11,5.96809677233523e-08,0
20.0,0.76109375,0.76109375,True,True,,converged,-1.832080874230464e-11,5.924989920913504e-08,0
20.0,0.7659375,0.7659375,True,True,,converged,-1.6772023742915383e-16,6.382527928394666e-08,0
20.0,0.77078125,0.77078125,True,True,,converged,-9.597738053593882e-12,7.258123702058583e-08,0
20.0,0.775625,0.775625,True,True,,converged,-2.0106080987718334e-11,6.480055603219625e-08,0
20.0,0.78046875,0.78046875,True,True,,converged,-1.0241280172405608e-11,9.911397569339897e-08,0
20.0,0.7853125,0.7853125,True,True,,converged,-3.002938489170076e-11,8.712422427947786e-08,0
20.0,0.79015625,0.79015625,True,True,,converged,-1.0911072608051592e-11,9.339564854826676e-08,0
20.0,0.795,0.795,True,True,,converged,-5.660915619244158e-12,8.475916857264565e-08,0
40.0,0.005,0.005,True,True,,converged,-7.664767258386274e-16,4.773178119421573e-08,0
40.0,0.00996875,0.00996875,True,True,,converged,-1.5942488214987227e-14,7.194008588840006e-08,0
40.0,0.0149375,0.0149375,True,True,,converged,-1.1509754737834554e-14,4.726826929868366e-08,0
40.0,0.01990625,0.01990625,True,True,,converged,-1.983087088638924e-15,4.9069651453237384e-08,0
40.0,0.024875,0.024875,True,True,,converged,-1.3996739151814902e-12,9.961951263903757e-08,0
40.0,0.029843750000000002,0.029843750000000002,True,True,,converged,-1.8692478120918565e-12,9.566742420474839e-08,0
40.0,0.034812499999999996,0.034812499999999996,True,True,,converged,-2.361928130834544e-12,9.351918350830601e-08,0
40.0,0.03978125,0.03978125,True,True,,converged,-2.698911935410629e-12,8.581522337181013e-08,0
40.0,0.04475,0.04475,True,True,,converged,-3.0067284518273465e-12,9.374808129791745e-08,0
40.0,0.04971875,0.04971875,True,True,,converged,-3.287464118745427e-12,7.600427665011011e-08,0
40.0,0.0546875,0.0546875,True,True,,converged,-3.5437956551458843e-12,7.043428240649519e-08,0
40.0,0.05965625,0.05965625,True,True,,converged,-3.778432143444581e-12,6.640212646402688e-08,0
40.0,0.064625,0.064625,True,True,,converged,-3.993208812658883e-12,6.375499239652527e-08,0
40.0,0.06959375000000001,0.06959375000000001,True,True,,converged,-4.189828490392105e-12,5.993049967401021e-08,0
40.0,0.0745625,0.0745625,True,True,,converged,-4.369924127417546e-12,5.671689962127857e-08,0
40.0,0.07953125000000001,0.07953125000000001,True,True,,converged,-4.535310251267341e-12,5.402740654858462e-08,0
40.0,0.0845,0.0845,True,True,,converged,-4.686769981170676e-12,5.2286313945160146e-08,0
40.0,0.08946875,0.08946875,True,True,,converged,-9.65098371363696e-12,9.387462185372897e-08,0
