row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,species,target_role,validation_use,reconciled_mole_fraction
cheq_0011,Matin,20.0,0.3,0.241,OH-,balance_inferred,context_only,1e-12
cheq_0011,Matin,20.0,0.3,0.241,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.08929476245569055
cheq_0012,Jakobsen,20.0,0.3,0.25,CO2,balance_inferred,context_only,0.000679605295397699
cheq_0012,Jakobsen,20.0,0.3,0.25,MEA,direct_positive,log_residual_target,0.06052140387765808
cheq_0012,Jakobsen,20.0,0.3,0.25,MEAH+,direct_positive,log_residual_target,0.02474419441646342
cheq_0012,Jakobsen,20.0,0.3,0.25,MEACOO-,direct_positive,log_residual_target,0.026483565374124204
cheq_0012,Jakobsen,20.0,0.3,0.25,HCO3-,direct_positive,log_residual_target,0.0001934878680715837
cheq_0012,Jakobsen,20.0,0.3,0.25,CO3^2-,direct_positive,log_residual_target,0.0005934813320483123
cheq_0012,Jakobsen,20.0,0.3,0.25,H3O+,balance_inferred,context_only,0.003119821489828991
cheq_0012,Jakobsen,20.0,0.3,0.25,OH-,balance_inferred,context_only,9.999999999999998e-13
cheq_0012,Jakobsen,20.0,0.3,0.25,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.0852655982941215
cheq_0013,Matin,20.0,0.3,0.264,CO2,balance_inferred,context_only,0.0006150268060850508
cheq_0013,Matin,20.0,0.3,0.264,MEA,direct_positive,log_residual_target,0.05814079487394461
cheq_0013,Matin,20.0,0.3,0.264,MEAH+,direct_positive,log_residual_target,0.028428341484341153
cheq_0013,Matin,20.0,0.3,0.264,MEACOO-,direct_positive,log_residual_target,0.026717507988862486
cheq_0013,Matin,20.0,0.3,0.264,HCO3-,direct_positive,log_residual_target,0.0025893494741451237
cheq_0013,Matin,20.0,0.3,0.264,CO3^2-,balance_inferred,context_only,1.0000910613256701e-12
cheq_0013,Matin,20.0,0.3,0.264,H3O+,balance_inferred,context_only,0.000878515980666638
cheq_0013,Matin,20.0,0.3,0.264,OH-,balance_inferred,context_only,1e-12
cheq_0013,Matin,20.0,0.3,0.264,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.08656913635828575
cheq_0014,Matin,20.0,0.3,0.287,CO2,balance_inferred,context_only,0.00043753778099531773
cheq_0014,Matin,20.0,0.3,0.287,MEA,direct_positive,log_residual_target,0.05296333643280656
cheq_0014,Matin,20.0,0.3,0.287,MEAH+,direct_positive,log_residual_target,0.030800668348446816
cheq_0014,Matin,20.0,0.3,0.287,MEACOO-,direct_positive,log_residual_target,0.02893729715495581
cheq_0014,Matin,20.0,0.3,0.287,HCO3-,direct_positive,log_residual_target,0.0029863926896543944
cheq_0014,Matin,20.0,0.3,0.287,CO3^2-,balance_inferred,context_only,9.999999999999998e-13
cheq_0014,Matin,20.0,0.3,0.287,H3O+,balance_inferred,context_only,0.0011230214981633871
cheq_0014,Matin,20.0,0.3,0.287,OH-,balance_inferred,context_only,9.999999999999998e-13
cheq_0014,Matin,20.0,0.3,0.287,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.08376400478125337
cheq_0015,Jakobsen,20.0,0.3,0.29,CO2,balance_inferred,context_only,0.0013721654303113938
cheq_0015,Jakobsen,20.0,0.3,0.29,MEA,direct_positive,log_residual_target,0.056721581223652465
