temperature_C,CO2_loading,pred_CO2_pressure_kPa,x6_CO2,x6_MEA,x6_H2O,x6_MEAH+,x6_MEACOO-,x6_HCO3-,x_apparent_CO2,x_apparent_MEA,x_apparent_H2O
80,0.233125,0.2906640638207328,3.850185317945501e-08,0.0607009080802334,0.8869673984739699,0.0261658274719716,0.0253729040156738,0.0007929234562978,4.0627982754006157e-08,0.0640529024704765,0.9359470569015408
80,0.25615,0.4195466895708345,5.522043442198387e-08,0.0556866286431341,0.886813060191407,0.0287501279725121,0.0278028810757451,0.000947246896767,5.8589336252130465e-08,0.0590839721648624,0.9409159692458012
80,0.279175,0.603648746439358,7.905506706747907e-08,0.050701155687362,0.886629923163423,0.0313344210470739,0.0302040582817648,0.001130362765309,8.434059446407471e-08,0.0540909744221418,0.9459089412372635
80,0.3022,0.868581486779876,1.1334898501779667e-07,0.045752302787008,0.8864101774913148,0.0339187031863461,0.0325686251937095,0.0013500779926365,1.215978690763848e-07,0.0490818909703004,0.9509179874318304
80,0.325225,1.258186373151076,1.6386402125810818e-07,0.0408521479064534,0.8861417515567934,0.0365029683363659,0.0348845092544545,0.0016184590819114,1.7676922403359264e-07,0.0440694816963794,0.9559303415343966
80,0.34825,1.853338487317557,2.412774255838608e-07,0.0360200162007888,0.8858053319914693,0.0390872052651581,0.037132395342474,0.0019548099226841,2.617386936748687e-07,0.0390746542645998,0.9609250839967064
80,0.371275,2.774311069037162,3.616079836159334e-07,0.031278135835135,0.8853787083742263,0.0416713970913275,0.0392900703760995,0.002381326715228,3.94485508127875e-07,0.0341219548994278,0.965877650615064
80,0.3943,4.245802686444124,5.549222325339461e-07,0.0266623658924548,0.8848260549933453,0.0442555120959836,0.041321703616601,0.0029338084793826,6.088084960566955e-07,0.0292514408842067,0.9707479503072972
80,0.417325,6.751815006997126,8.860296495147999e-07,0.0222356002018145,0.884084550132721,0.0468394818179074,0.0431644624219389,0.0036750193959684,9.776112591066112e-07,0.0245339116159273,0.9754651107728136
80,0.44035,11.173740645468545,1.4735236807979278e-06,0.0180783893831081,0.8830737756163674,0.0494231807384218,0.0447379083800101,0.0046852723584116,1.6351525620123918e-06,0.0200613842193831,0.9799369806280548
80,0.463375,19.196593811005908,2.544363804080223e-06,0.0142973442331595,0.8816873750526806,0.0520063681751779,0.0459356459024886,0.0060707222726892,2.839732111499232e-06,0.0159570842278737,0.9840400760400146
80,0.4864,34.136608487309424,4.543566436644074e-06,0.0110242613423073,0.8797940528944718,0.054588571098392,0.0466263014803351,0.0079622696180569,5.100415191240811e-06,0.0123753687343557,0.987619530850453
80,0.509425,62.3925034697554,8.32235314977499e-06,0.0083824196018325,0.877271494420821,0.0571688818120983,0.0466874083774286,0.0104814734346696,9.39675737313887e-06,0.0094645783206632,0.9905260249219636
80,0.53245,112.22041680421442,1.4962095690923286e-05,0.0063559286777144,0.8741368269086724,0.059746141158961,0.0461358947123456,0.0136102464466154,1.6992577566850587e-05,0.0072184815079717,0.9927645259144616
80,0.5554749999999999,194.7992350161276,2.58828317071651e-05,0.0048626883034555,0.8704737906395725,0.0623188191126323,0.0450552313934117,0.0172635877192205,2.9568134109272748e-05,0.0055550575576459,0.9944153743082448
80,0.5785,326.0484026959304,4.302419440563329e-05,0.0037895502464524,0.8663977964557149,0.0648848145517134,0.0435604500708886,0.0213243644808247,4.9440005594503337e-05,0.004354651794729,0.9955959081996764
100,0.188,0.8195548826441844,1.279697537621975e-07,0.0711554285034002,0.8866425987766112,0.0211009223751173,0.0199832786475161,0.0011176437276012,1.3360826919616149e-07,0.0742906301430963,0.9257092362486344
100,0.20805,1.1424101575707577,1.7711923410428025e-07,0.0668488468839026,0.8864484227008949,0.0233512766479842,0.0220395004776267,0.0013117761703575,1.8579640039597226e-07,0.0701238077527937,0.9298760064508058
100,0.2281,1.572995516779723,2.423454612117563e-07,0.0625667887569713,0.8862297404762307,0.0256016142106683,0.0240712137209053,0.0015304004897629,2.554239943381425e-07,0.0659432985347,0.9340564460413056
100,0.2481499999999999,2.1477038790709484,3.290888688607136e-07,0.0583139093844562,0.8859819028017973,0.0278519293624387,0.0260737682056009,0.0017781611568378,3.485017617633503e-07,0.0617538363608184,0.9382458151374198
100,0.2682,2.9172538080714325,4.4496784264291786e-07,0.0540960248769294,0.8856991019352723,0.0301022141099777,0.0280413549593739,0.0020608591506038,4.73473014775027e-07,0.0575614809234176,0.9424380456035676
100,0.28825,3.953367675075287,6.008071677840963e-07,0.049920456852449,0.8853740281782543,0.0323524570810644,0.0299666625214173,0.0023857945596471,6.423717785771016e-07,0.0533740181129343,0.946625339515287
100,0.3083,5.359052252223298,8.122246600878432e-07,0.045796485204783,0.8849974188766591,0.0346026418469489,0.0318404256737747,0.0027622161731741,8.726141713730291e-07,0.0492014881503929,0.9507976392354356
100,0.32835,7.284643592595856,1.1021109520324423e-06,0.0417359352123714,0.8845574740826363,0.0368527442970201,0.0336508406793809,0.0032019036176391,1.1898061992827989e-06,0.0450568741350127,0.954941936058788
100,0.3484,9.953135077962768,1.5045461834373518e-06,0.0377539184507406,0.8840391200290708,0.0391027284870025,0.0353828280818423,0.0037199004051602,1.6321925474828105e-06,0.0409569776002416,0.9590413902072108
100,0.36845,13.700447467553069,2.0710239464331324e-06,0.0338697193473219,0.8834231295661608,0.0413525400312854,0.0370171520597157,0.0043353879715697,2.2577514618465364e-06,0.0369234786012248,0.9630742636473132
100,0.3884999999999999,19.03946175828041,2.8803287052333106e-06,0.0301077473826774,0.8826851810917743,0.0436020955984216,0.0385294776211461,0.0050726179772754,3.155501676776924e-06,0.0329840990639015,0.9670127454344216
100,0.4085499999999999,26.76070233778115,4.0540073044502775e-06,0.0264983233805774,0.8817950897674373,0.0458512664223404,0.0398895990660593,0.0059616673562811,4.463303544318968e-06,0.0291736180478043,0.9708219186486512
100,0.4286,38.08620819558874,5.77985790286556e-06,0.0230778063926685,0.8807167073467067,0.0480998532013609,0.041061335566091,0.0070385176352698,6.395060882156551e-06,0.0255341877582436,0.9744594171808744
100,0.44865,54.89263128281986,8.345605404985284e-06,0.0198872380573809,0.879409316376107,0.0503475499805535,0.0420039191436002,0.0083436308369532,9.280062195395971e-06,0.0221140105614023,0.9778767093764024
100,0.4686999999999999,80.0070556742089,1.2182645168966922e-05,0.0169685403788082,0.8778314830115425,0.0525938969822401,0.0426758391525095,0.0099180578297306,1.3614750767585452e-05,0.0189632419678176,0.9810231432814148
100,0.4887499999999999,117.5510237310373,1.791477303775404e-05,0.0143578983856986,0.8759477316675925,0.0548382275868354,0.0430415071690331,0.0117967204178023,2.012164357761491e-05,0.0161266075340053,0.983853270822417
100,0.5087999999999999,173.2823690294409,2.6401785885952465e-05,0.0120776967126939,0.8737366613411195,0.0570796200801503,0.0430793637694232,0.0140002563107271,2.9804212091945397e-05,0.0136341623238012,0.9863360334641068
