row_id,temperature_C,CO2_loading,observed_CO2_pressure_kPa,paper,raw_pred_CO2_pressure_kPa,raw_log10_model_over_data,bubble_total_pressure_kPa,bubble_fugacity_residual_norm,chemical_charge_residual,chemical_max_reaction_residual,penalty_residual_count,diagnostic_success,model_x_CO2,model_x_MEA,model_x_H2O,model_x_MEAH+,model_x_MEACOO-,model_x_HCO3-,model_x_CO3^2-,model_x_H3O+,model_x_OH-,y_CO2,y_H2O,y_MEA,success,message
vle_0030,40.0,0.386,0.12,Hilliard,0.47722507369550515,0.5995420076462511,6.764468923950243,5.1921096755336293e-08,-1.848670686328218e-10,6.985067813047863e-08,0,True,2.0258527235762997e-06,0.029110342462114292,0.8830121466807843,0.04454907765971913,0.03858652332146334,0.0035157146088529725,0.0012226705183367,5.1997861400664226e-12,1.498890805621443e-06,0.07054878646952528,0.9289161197556884,0.0005350937747862732,True,converged
vle_0031,40.0,0.389,0.113,Hilliard,0.5102568314800082,0.654710384415634,6.7946026263138135,8.334439876023225e-07,-1.8568746562679796e-10,8.791796979323863e-08,0,True,2.1619270641896193e-06,0.0285572626109452,0.8828964514574265,0.04488116892440748,0.03880749661772427,0.0036357935922228394,0.0012182140487304763,5.342385345841867e-12,1.4508161366673042e-06,0.07509737648290275,0.9243809021871279,0.0005217213299694591,True,converged
vle_0032,40.0,0.4,0.128,Hilliard,0.6532205556771433,0.7078498730987768,6.926899615307073,1.8116502076281904e-08,-1.9329426564947878e-10,7.842462856899601e-08,0,True,2.749510300059965e-06,0.02656850355985293,0.8824338361082282,0.046098029365205954,0.039579329214923194,0.004115118152394811,0.001201148122582195,5.908359508375463e-12,1.2859606042446012e-06,0.09430200983909967,0.9052249404378278,0.00047304972307245853,True,converged
vle_0033,40.0,0.401,0.1835,Aronu,0.6681308188504698,0.5612254363163194,6.94083357233638,3.47920071683272e-07,-1.9421580110819132e-10,8.103459059327633e-08,0,True,2.8106968526267333e-06,0.026390943310708716,0.8823886157524021,0.046208580992291255,0.03964633096522786,0.0041619144857910646,0.0011995319594295002,5.963379561872715e-12,1.2718313337318577e-06,0.09626089026444813,0.9032704521420528,0.0004686575934989734,True,converged
vle_0034,40.0,0.417,0.2928,Aronu,0.9609718841291726,0.5161396089906413,7.21804640085057,3.04491845237731e-07,-1.8221371208024314e-10,7.590954176350806e-08,0,True,4.010512028100154e-06,0.02363162502980371,0.8815851566218342,0.04797568897791175,0.04063840633645022,0.004991878345716172,0.001172170324102097,6.935406385626014e-12,1.0638452183314124e-06,0.1331346226890329,0.8664660219836404,0.0003993553273267267,True,converged
vle_0035,40.0,0.421,0.3188,Aronu,1.0529616380774613,0.5188942363581271,7.306124984969836,9.845036963440634e-08,-1.5955610014560551e-10,6.320015977223647e-08,0,True,4.387059471249838e-06,0.022967656915594197,0.8813590082585162,0.04841688740723601,0.04086113355461608,0.0052250826605854915,0.0011648272295643942,7.20770859205715e-12,1.0169072086485198e-06,0.1441203976449369,0.8554972193762012,0.0003823829788618826,True,converged
vle_0036,40.0,0.433,0.3809,Aronu,1.3862744419860948,0.56103824379193,7.627739012059258,9.208264462046145e-07,-2.2270563250173965e-10,8.010917884604396e-08,0,True,5.751741600921508e-06,0.021044566137577984,0.8806133235559748,0.0497389104941033,0.041462048400923254,0.005993049687904523,0.0011414626730968977,8.10423440975496e-12,8.873007143163915e-07,0.1817412000849047,0.8179261858796346,0.0003326140354607046,True,converged
vle_0037,40.0,0.436,0.445,Idris,1.4850615358070458,0.5233844387044498,7.723624460447341,1.9390891026205281e-07,-2.2517968884761654e-10,8.757972125295055e-08,0,True,6.156513527557501e-06,0.02058084438509759,0.8804102493922263,0.05006901953266749,0.04159561567099508,0.0062019674732496375,0.0011352896090817942,8.348386187243915e-12,8.574148059497391e-07,0.1922752126818234,0.8074042960334139,0.0003204912847627129,True,converged
vle_0038,40.0,0.447,0.5702,Aronu,1.910928485615843,0.5252172213952451,8.138899987937585,1.4442560924976533e-08,-2.3396766983438265e-10,8.731074352397172e-08,0,True,7.904312967876649e-06,0.01894291691158323,0.8796047383483441,0.05127794700219841,0.042024419457477875,0.007029864226543665,0.0011114538416334896,9.318444165231468e-12,7.558899331693702e-07,0.23478952787821103,0.7649330715522282,0.0002774005695607693,True,converged
vle_0039,40.0,0.46,0.813,Idris,2.569634130097755,0.4997807463788511,8.785290642279131,5.944596743745478e-07,-2.4141877711240525e-10,8.856010502711342e-08,0,True,1.0619253093880703e-05,0.017140796656343313,0.8785223705082504,0.052703491375882774,0.04240069056247428,0.008140611067201183,0.0010807694445945837,1.0630052667500812e-11,6.511215295067177e-07,0.29249278535321466,0.707277379265822,0.00022983538096332202,True,converged
vle_0040,40.0,0.464,1.0662,Aronu,2.812791237013386,0.42129882220321835,9.024704941946812,6.62707995147116e-08,-2.633588367619138e-10,9.73377982660395e-08,0,True,1.1625487521140218e-05,0.01661676331292544,0.8781596180510812,0.05314137861734177,0.04248672414675495,0.008512504028317967,0.0010707643854281589,1.1072487529251669e-11,6.219595569562329e-07,0.31167680883831866,0.6881071201703574,0.00021607099132401478,True,converged
vle_0041,40.0,0.464,0.75,Hilliard,2.8127912370132298,0.5740762370004393,9.024704941946812,6.627083237731313e-08,-2.633588367619138e-10,9.73377982660395e-08,0,True,1.1625487521140218e-05,0.01661676331292544,0.8781596180510812,0.05314137861734177,0.04248672414675495,0.008512504028317967,0.0010707643854281589,1.1072487529251669e-11,6.219595569562329e-07,0.31167680883830134,0.6881071201703748,0.0002160709913240298,True,converged
vle_0042,40.0,0.466,0.574,Hilliard,2.942402086042016,0.7097901273930568,9.15245449272734,3.588943338073136e-07,-2.7485799190594693e-10,7.644073640733495e-08,0,True,1.2162767402924548e-05,0.01636022352595421,0.8779728933827999,0.05336019540368352,0.04252438705833271,0.008703859164198552,0.0010656707953574595,1.1300955662491999e-11,6.078909696898919e-07,0.321487759199468,0.6783028833385819,0.00020935746195021514,True,converged
vle_0043,40.0,0.4735,0.604,Jou,3.479859329508592,0.7605247496780427,9.682997410839702,8.371554933717107e-07,-2.768952848785274e-10,9.99291440706429e-08,0,True,1.439770466552032e-05,0.015431192431841755,0.8772405223867997,0.0541799300621809,0.042633432632783026,0.00945399374033857,0.0010459729636797279,1.2201599237672231e-11,5.580655091162807e-07,0.35937831870253706,0.6404364335494726,0.00018524774799060412,True,converged
vle_0044,40.0,0.476,1.8326,Aronu,3.6783374642370434,0.3025838882774306,9.879197876059168,2.1346256967591515e-07,-1.382940972520932e-10,5.290864457663247e-08,0,True,1.5225908051283645e-05,0.015133136893133994,0.8769850659715992,0.05445289107669189,0.04265843317729133,0.009715493416783622,0.0010392110968844126,1.2517665329765936e-11,5.424470465942186e-07,0.37233159112552766,0.6274908082024733,0.00017760067199911288,True,converged
vle_0045,40.0,0.477,1.8278,Aronu,3.7605965011178344,0.3133280646490345,9.960548523083041,4.179217560906778e-08,-1.3812406020871403e-10,5.451413365165081e-08,0,True,1.556961120994426e-05,0.015015539897981614,0.8768812992067995,0.054562034891767495,0.042666847778113706,0.00982169359755687,0.0010364786703358205,1.2646349123803399e-11,5.36333588777498e-07,0.3775491372189847,0.6222762645890649,0.00017459819195039277,True,converged
vle_0046,40.0,0.481,0.883,Hilliard,4.106693968813447,0.6675316368198793,10.303025167084359,2.651762631700194e-07,-6.937529334517416e-11,7.432248949612585e-08,0,True,1.7018651673738605e-05,0.014554495624736272,0.8764571198827957,0.05499838303211038,0.04269138075330005,0.010255689093412693,0.001025400322894558,1.3174221695869366e-11,5.126259023960388e-07,0.3985910839015834,0.6012459996222294,0.00016291647618726465,True,converged
vle_0047,40.0,0.485,2.3193,Aronu,4.48137303966398,0.28605416908603815,10.674113681604378,3.937476620308189e-07,-1.3647111447645976e-10,7.907464549816723e-08,0,True,1.8592649810912548e-05,0.014108314132546268,0.8760184526321831,0.05543436268491354,0.0427014064280485,0.01070429642643645,0.001014084955712042,1.372338558610817e-11,4.900766257447903e-07,0.4198356110247465,0.5800126202056898,0.00015176876956378055,True,converged
vle_0048,40.0,0.489,2.8577,Aronu,4.886387922768097,0.23297130715451092,11.075569623903737,2.8120186890134846e-07,-6.738380842424207e-11,7.451169281580405e-08,0,True,2.0300226166857637e-05,0.013676943105143495,0.8755653540742235,0.055869971398332184,0.042696976559597505,0.011167445683024824,0.0010025403018678251,1.4294301368503211e-11,4.6863734945339245e-07,0.4411861501210826,0.558672685492135,0.00014116438678231502,True,converged
vle_0049,40.0,0.491,1.1,Hilliard,5.100788944081868,0.666244668893073,11.28820585103893,3.0821008056847177e-07,-3.341990159499369e-11,6.797424845217392e-08,0,True,2.120671623337508e-05,0.013466796020861,0.8753334078470503,0.05608763734866013,0.042689355688333,0.011404452696730039,0.000996685345901629,1.458793529930991e-11,4.583216427963691e-07,0.4518688807940554,0.5479950508490542,0.00013606835689051788,True,converged
vle_0050,40.0,0.501,1.87,Hilliard,6.301016519388268,0.5275690116708774,12.479706139993269,4.071362980084814e-07,-3.158647864573569e-11,4.508682138748554e-08,0,True,2.6313382201192594e-05,0.012470249331467651,0.8741208873296258,0.057174601637575685,0.04259836487577935,0.01264251951261858,0.0009666533840888566,1.614043444921159e-11,4.1053050235333723e-07,0.5049010328212478,0.49498632280120475,0.00011264437754754348,True,converged
vle_0051,40.0,0.513,2.57,Jou,8.052858725643857,0.4960169568350816,14.221333124433643,9.266575595745508e-07,-1.1643521256992156e-10,5.348056575371629e-08,0,True,3.386093085444691e-05,0.011389922509999838,0.8725533808863914,0.058476000286843424,0.042376446522113066,0.014240862994674157,0.0009291650604539543,1.8192874730515878e-11,3.607904768119622e-07,0.5662520282158539,0.4336590105712845,8.896121286161092e-05,True,converged
