source,temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,point_role,target_role
Jakobsen,20.0,0.3,0.78,MEA,0.0003010596195982252,reference_point,direct_positive
Jakobsen,20.0,0.3,0.78,MEAH+,0.07639656024363776,reference_point,direct_positive
Jakobsen,20.0,0.3,0.78,MEACOO-,0.03838859225324382,reference_point,direct_positive
Jakobsen,20.0,0.3,0.78,HCO3-,0.04353171692525635,reference_point,direct_positive
Jakobsen,20.0,0.3,0.78,CO3^2-,0.0013986242899046636,reference_point,direct_positive
Jakobsen,20.0,0.3,0.78,MEA + MEAH+,0.07669761986323599,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.832,MEACOO-,0.019794669905116365,reference_point,direct_positive
Bottinger,20.0,0.3,0.832,HCO3-,0.06218395100340307,reference_point,direct_positive
Bottinger,20.0,0.3,0.832,MEA + MEAH+,0.10339905157999753,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.929,CO2,0.02353244996103501,reference_point,direct_positive
Bottinger,20.0,0.3,0.929,MEACOO-,0.011799087741836842,reference_point,direct_positive
Bottinger,20.0,0.3,0.929,HCO3-,0.07793674176397927,reference_point,direct_positive
Bottinger,20.0,0.3,0.929,MEA + MEAH+,0.11097309028463564,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.974,CO2,0.024250304075722668,reference_point,direct_positive
Bottinger,20.0,0.3,0.974,MEACOO-,0.01139968474845246,reference_point,direct_positive
Bottinger,20.0,0.3,0.974,HCO3-,0.08686598774438639,reference_point,direct_positive
Bottinger,20.0,0.3,0.974,MEA + MEAH+,0.11521495368987308,reference_point,aggregate_direct_positive
Jakobsen,20.0,0.3,0.99,CO2,0.0150356281615862,reference_point,direct_positive
Jakobsen,20.0,0.3,0.99,MEA,0.0006006022517972221,reference_point,direct_positive
Jakobsen,20.0,0.3,0.99,MEAH+,0.08364003657579848,reference_point,direct_positive
Jakobsen,20.0,0.3,0.99,MEACOO-,0.027598839009398128,reference_point,direct_positive
Jakobsen,20.0,0.3,0.99,HCO3-,0.06640630818826679,reference_point,direct_positive
Jakobsen,20.0,0.3,0.99,CO3^2-,0.0016993763294683541,reference_point,direct_positive
Jakobsen,20.0,0.3,0.99,MEA + MEAH+,0.0842406388275957,reference_point,aggregate_direct_positive
Jakobsen,40.0,0.3,0.11,MEA,0.09871452517340706,reference_point,direct_positive
Jakobsen,40.0,0.3,0.11,MEAH+,0.006500925761446328,reference_point,direct_positive
Jakobsen,40.0,0.3,0.11,MEACOO-,0.010280584890064209,reference_point,direct_positive
Jakobsen,40.0,0.3,0.11,HCO3-,9.917813664921758e-05,reference_point,direct_positive
Jakobsen,40.0,0.3,0.11,CO3^2-,9.917796668714745e-05,reference_point,direct_positive
Jakobsen,40.0,0.3,0.11,MEA + MEAH+,0.10521545093485339,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.125,MEACOO-,0.014373846939434188,reference_point,direct_positive
Bottinger,40.0,0.3,0.125,MEA + MEAH+,0.12170661489259713,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.205,MEACOO-,0.0240584313250206,reference_point,direct_positive
Bottinger,40.0,0.3,0.205,MEA + MEAH+,0.11462927766067875,reference_point,aggregate_direct_positive
Jakobsen,40.0,0.3,0.21,MEA,0.0736809343758999,reference_point,direct_positive
Jakobsen,40.0,0.3,0.21,MEAH+,0.016109210910306832,reference_point,direct_positive
Jakobsen,40.0,0.3,0.21,MEACOO-,0.017480233859317594,reference_point,direct_positive
Jakobsen,40.0,0.3,0.21,HCO3-,0.0019918733132209586,reference_point,direct_positive
Jakobsen,40.0,0.3,0.21,CO3^2-,0.0026851840811867715,reference_point,direct_positive
Jakobsen,40.0,0.3,0.21,MEA + MEAH+,0.08979014528620673,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.236,MEACOO-,0.02706600000734475,reference_point,direct_positive
Bottinger,40.0,0.3,0.236,MEA + MEAH+,0.10919398897020494,reference_point,aggregate_direct_positive
Jakobsen,40.0,0.3,0.25,MEA,0.057310263919175965,reference_point,direct_positive
Jakobsen,40.0,0.3,0.25,MEAH+,0.022014471231289825,reference_point,direct_positive
Jakobsen,40.0,0.3,0.25,MEACOO-,0.025177698264722468,reference_point,direct_positive
Jakobsen,40.0,0.3,0.25,HCO3-,0.0003927692573091608,reference_point,direct_positive
Jakobsen,40.0,0.3,0.25,CO3^2-,0.00039276927147316405,reference_point,direct_positive
Jakobsen,40.0,0.3,0.25,MEA + MEAH+,0.07932473515046579,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.28,MEACOO-,0.03266178353758658,reference_point,direct_positive
Bottinger,40.0,0.3,0.28,MEA + MEAH+,0.1055914527347554,reference_point,aggregate_direct_positive
Jakobsen,40.0,0.3,0.29,MEA,0.05713970631298954,reference_point,direct_positive
Jakobsen,40.0,0.3,0.29,MEAH+,0.022634082569806726,reference_point,direct_positive
Jakobsen,40.0,0.3,0.29,MEACOO-,0.027876633094335124,reference_point,direct_positive
Jakobsen,40.0,0.3,0.29,HCO3-,0.00029633512666076846,reference_point,direct_positive
Jakobsen,40.0,0.3,0.29,CO3^2-,0.0003963361536341349,reference_point,direct_positive
Jakobsen,40.0,0.3,0.29,MEA + MEAH+,0.07977378888279626,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.343,MEACOO-,0.03957839147369475,reference_point,direct_positive
Bottinger,40.0,0.3,0.343,MEA + MEAH+,0.09773812343699372,reference_point,aggregate_direct_positive
Bottinger,40.0,0.3,0.354,MEACOO-,0.04098003321020824,reference_point,direct_positive
Bottinger,40.0,0.3,0.354,MEA + MEAH+,0.09674019654172306,reference_point,aggregate_direct_positive
