model_family,temperature_C,MEA_weight_fraction,CO2_loading,observed_CO2_pressure_kPa,predicted_CO2_pressure_kPa,log10_pred_over_obs
neutral_epcsaft_parity,40,0.3,0.557,8.09,50.4336339377878,0.79477174026627
neutral_epcsaft_parity,60,0.3,0.119,0.0193,0.005422092277131,-0.5513904045593623
neutral_epcsaft_parity,60,0.3,0.206,0.0579,0.0286179354232118,-0.3060402643752585
neutral_epcsaft_parity,60,0.3,0.389,0.528,0.6636141393512188,0.0992817082494835
neutral_epcsaft_parity,60,0.3,0.438,2.01,2.114861875799134,0.0220859509160527
neutral_epcsaft_parity,60,0.3,0.504,11.0,18.65561022118247,0.2294167741343524
neutral_epcsaft_parity,60,0.3,0.561,34.0,113.61299857027892,0.52394910521651
neutral_epcsaft_parity,60,0.3,0.579,82.0,177.13399472102262,0.3344880645543625
neutral_epcsaft_parity,80,0.3,0.118,0.0992,0.0355247819096224,-0.4459802517260511
neutral_epcsaft_parity,80,0.3,0.187,0.278,0.1357604159174148,-0.3112716360960711
neutral_epcsaft_parity,80,0.3,0.348,2.67,1.8468764715888808,-0.1600734127577835
neutral_epcsaft_parity,80,0.3,0.46,16.0,18.020605584048017,0.0516493987369103
neutral_epcsaft_parity,80,0.3,0.517,56.0,78.78540011480764,0.1482577179321035
neutral_epcsaft_parity,80,0.3,0.5785,235.0,326.04840165889647,0.1422142132963614
neutral_epcsaft_parity,100,0.3,0.188,1.43,0.8195548836422398,-0.2417579949156582
neutral_epcsaft_parity,100,0.3,0.381,19.0,17.042324253127056,-0.0472247768676765
neutral_epcsaft_parity,100,0.3,0.422,39.0,34.35811150775822,-0.0550353221903267
neutral_epcsaft_parity,100,0.3,0.477,69.0,95.54894771778224,0.1413768177874546
neutral_epcsaft_parity,100,0.3,0.481,109.0,103.03901614976178,-0.0244247946908939
neutral_epcsaft_parity,100,0.3,0.571,509.0,560.9962064281143,0.0422421421406021
neutral_epcsaft_parity,100,0.3,0.589,376.0,766.5464628732038,0.3093506390610227
neutral_epcsaft_parity,120,0.3,0.119,2.29,1.182609232004851,-0.2869942173562245
neutral_epcsaft_parity,120,0.3,0.349,46.8,45.72716432674749,-0.0100715827109409
neutral_epcsaft_parity,120,0.3,0.4115,122.0,111.51098021724862,-0.0390421972549199
neutral_epcsaft_parity,120,0.3,0.444,222.0,181.0922498921855,-0.0884531100067058
neutral_epcsaft_parity,120,0.3,0.473,422.0,275.3223041688267,-0.1854710554598291
neutral_epcsaft_parity,120,0.3,0.536,822.0,702.2308369854462,-0.0683919208661929
