row_id,temperature_C,CO2_loading,source,target_x_CO2,target_x_MEA,target_x_H2O,target_x_MEAH+,target_x_MEACOO-,target_x_HCO3-,target_x_CO3^2-,target_x_H3O+,target_x_OH-,model_x_CO2,log10_model_over_target_CO2,model_x_MEA,log10_model_over_target_MEA,model_x_H2O,log10_model_over_target_H2O,model_x_MEAH+,log10_model_over_target_MEAH+,model_x_MEACOO-,log10_model_over_target_MEACOO-,model_x_HCO3-,log10_model_over_target_HCO3-,model_x_CO3^2-,log10_model_over_target_CO3^2-,model_x_H3O+,log10_model_over_target_H3O+,model_x_OH-,log10_model_over_target_OH-,reaction_R1_water_autoionization,reaction_R2_CO2_to_HCO3,reaction_R3_HCO3_to_CO3,reaction_R4_MEACOO_hydrolysis,reaction_R5_MEAH_dissociation,mass_balance_carbon_total,mass_balance_mea_total,mass_balance_water_total,charge_residual,state_failure_count,success,message
cheq_0010,20.0,0.235,Bottinger,0.004396920142680131,0.11240285045692668,0.8151801913727004,0.02408727708744736,0.02657217130439928,0.007186363506780801,0.0001676561347774752,0.010006569993287672,9.999999999999998e-13,1.2961709173303795e-08,-5.53048630519048,0.05987485571014106,-0.27353284493797525,0.8820271030215073,0.03422831247874767,0.03171069353980626,0.11941803195954043,0.02066061847698621,-0.10928372555828707,0.0003938591985165951,-1.2611681884791592,0.005323358779926961,1.5017662879168925,1.5594777072505634e-13,-10.807306066599365,9.49831125036535e-06,6.977646396884384,6.295024945757177e-09,-4.658290109205154e-08,-8.693306696727632e-08,7.879689789547228e-09,4.5258481407017825e-09,2.0522056276561784e-12,3.30342697640873e-12,1.6932011348558262e-12,-6.4741132648014205e-12,0,True,converged
cheq_0011,20.0,0.241,Matin,0.0007228113155869866,0.06333014982578733,0.8825671972066886,0.025964612628284492,0.02439872482204795,0.0022911960019198346,1.0004319089040856e-12,0.000725308197684158,9.999999999999998e-13,1.4602287322834206e-08,-4.694604053195905,0.05855493827426406,-0.03404698797671945,0.8819708013518763,-0.0002935742260574086,0.032413952338427865,0.09635014155153605,0.02127727692727857,-0.059451082879339735,0.00042037594195974725,-0.7364243893237533,0.005353658905609515,9.728463162636444,1.609182327360554e-13,-9.653917331694238,8.981658135546257e-06,6.953356520703165,9.276281076608939e-09,7.017612837501019e-07,-7.5799896954720225e-06,7.731481233008708e-09,1.760998458166796e-09,2.411265631607762e-15,8.187894806610529e-16,1.9984014443252818e-15,-4.002145972481844e-15,0,True,chemical equilibrium did not converge
cheq_0012,20.0,0.25,Jakobsen,0.0006796052952851542,0.06052140385685472,0.8836644403766519,0.024744194424440175,0.026483565368523695,0.0001934878687495861,0.000593481331887194,0.003119821476607495,1e-12,1.7447996920847644e-08,-4.590511178177323,0.05657815096079713,-0.029260243271281506,0.8818859506633915,-0.000874954953153416,0.03346609790709985,0.13113175785180173,0.022201918353166854,-0.07658595068577634,0.00046329111140334516,0.3792002270793417,0.005396314899797673,0.9586902221628624,1.687318112972661e-13,-10.266932774805209,8.258656177996792e-06,6.916909386066143,-4.546798493265669e-09,-2.1453448795227814e-08,-7.956418102139651e-08,-3.046601193545939e-09,1.5080345860951638e-09,8.320177879994617e-12,5.660444335475745e-12,4.031563971551577e-11,-1.2718076080258734e-11,0,True,converged
cheq_0013,20.0,0.264,Matin,0.0006150268060841229,0.0581407948733756,0.8826304633908868,0.02842834148454238,0.026717507988663045,0.0025893494741634185,1.0001888651337679e-12,0.0008785159802844611,1e-12,2.2993095231955814e-08,-4.427296606945476,0.05351147474279929,-0.036034044919526116,0.8817521500368535,-0.0004323854379928734,0.03509614178870514,0.09150785235623611,0.023638550066647328,-0.053175113499852315,0.000538483571570801,-0.6820182113038117,0.005455931350690553,9.736786881827502,1.8185454830634672e-13,-9.684025498230824,7.2454494564642104e-06,6.860065331202339,5.8233258215523165e-09,8.096651029632085e-07,-1.1466245865676683e-05,2.20626805713664e-09,4.235332085045229e-10,9.701961456443087e-14,2.958744360626042e-14,8.004708007547379e-14,-1.638523360706647e-13,0,True,chemical equilibrium did not converge
cheq_0014,20.0,0.287,Matin,0.00043753779004829555,0.052963336378899106,0.8827517462257208,0.03080066831655787,0.028937297108747345,0.0029863926919184484,9.999999999999998e-13,0.0011230214861079229,9.999999999999998e-13,3.6194198022757496e-08,-4.08237661076323,0.04850011612502648,-0.038232556847646204,0.8815201467595476,-0.0006063429804497332,0.03775925747694734,0.08846330547970079,0.025986791515581732,-0.04670530113457281,0.0006890076415197776,-0.6369228756178423,0.005538814042466299,9.743416784593075,2.0655987572400276e-13,-9.735342101810463,5.8302445062597934e-06,6.765686768394136,4.534745912110338e-09,-2.144188115948964e-08,-6.081612724528895e-08,-4.909302298017337e-09,4.705590583853336e-09,6.326557333569127e-12,5.073427788993001e-12,2.981337399177164e-11,-9.09352250651771e-12,0,True,converged
cheq_0015,20.0,0.29,Jakobsen,0.001372165430267972,0.05672158122362345,0.8800055324991689,0.023802043448146945,0.02986290002877931,0.000194986865200032,0.0005949823526603378,0.007445808151153071,1e-12,3.8410663930824074e-08,-4.552954659665732,0.04784936989806466,-0.07387210597495117,0.8814882321163287,0.0007311163139643895,0.03810534458718775,0.2043716496939965,0.02629145038181146,-0.05531743554026036,0.0007115694169874512,0.5622119167913683,0.005548329604437168,0.9696581682682531,2.1012543413944543e-13,-10.549433218243115,5.665584308768029e-06,6.753244706606761,1.3503527185321218e-09,-1.812859906635822e-08,-7.631632925608756e-08,8.711635857139299e-10,7.537650503763871e-10,2.7875202146532274e-12,1.4252071744991213e-12,1.5647039219857106e-11,-4.439626143386451e-12,0,True,converged
cheq_0016,20.0,0.309,Bottinger,0.005738205435734894,0.09439199296049358,0.8109396513631187,0.03288436617765929,0.03474306825319925,0.00931832095688693,0.00026912393982675496,0.011715270912080402,9.999999999999998e-13,5.6124141522679907e-08,-5.00962638145993,0.04374705813489794,-0.33398630245992356,0.8812730285653698,0.036121942689279735,0.040291134910865195,0.08822002509740173,0.028207969833538373,-0.09049633900321882,0.000873625725411655,-1.0280122509556249,0.005602412646616236,1.3184227616992854,2.3496173461262296e-13,-10.697755196257376,4.714058924460469e-06,6.673395006785694,2.8094971682435244e-08,-2.5027242429587204e-06,-1.4656330407092355e-05,-3.2351508139072394e-09,8.110148996820499e-09,3.809452753245068e-15,1.0130785099704553e-15,3.219646771412954e-15,-6.574606209116835e-15,0,True,chemical equilibrium did not converge
cheq_0017,20.0,0.31,Matin,0.00031586050793626293,0.04787879458247096,0.8828786879569934,0.03317576359709025,0.03107993035034132,0.003383398123958038,1.0002072550372073e-12,0.0012875648792095226,1e-12,5.726501470866461e-08,-3.7416059528222028,0.04353215683994846,-0.041333022681653,0.8812609310585338,-0.000796516424698292,0.04040593357236463,0.08562421783570114,0.028308072338929256,-0.040569740144394385,0.0008831685402418501,-0.583309513707965,0.0056050123086997345,9.748486570257095,2.363884248816624e-13,-9.736142915123141,4.6680760312445115e-06,6.669137920998233,8.35192004444707e-09,8.948459040425405e-08,-2.694157412719278e-06,-3.0453062294100164e-10,4.500371630911104e-09,4.440892098500626e-16,1.249000902703301e-16,3.3306690738754696e-16,-7.723356527347854e-16,0,True,chemical equilibrium did not converge
cheq_0018,20.0,0.334,Matin,9.074964192748986e-05,0.04271049900150678,0.8829956282457917,0.035462306220916805,0.033123684538299204,0.003977877015087133,1.000403149785308e-12,0.001639255334470339,9.999999999999998e-13,9.348081389535468e-08,-2.9871224351647543,0.038412200418620666,-0.04606545930619842,0.8809423513189807,-0.0010110641669009797,0.04315155994072954,0.08522952453404983,0.030682398326803705,-0.03324933612001169,0.0011499600928712133,-0.5389685825467412,0.005657765100980898,9.752469862018787,2.750622298696502e-13,-9.775215646223776,3.67131992424705e-06,6.564822231216373,-6.719641731933734e-09,4.975322553946171e-08,3.397545711436578e-08,1.4502772316404844e-09,-7.961027392866526e-10,3.480687960077944e-13,1.9283186158958188e-13,1.5563106359195444e-12,-5.362495475914766e-13,0,True,converged
cheq_0019,20.0,0.358,Matin,1.0000010602862445e-12,0.037757076576137326,0.8829420421712035,0.037860620641154225,0.03507866377614895,0.004571776847680628,1e-12,0.0017898199846753463,1e-12,1.5537595737034594e-07,5.191383357146947,0.033385007014823984,-0.053446888908871594,0.8805484005273125,-0.0011789641393323055,0.04587961601249291,0.08343204545132346,0.03298152871065825,-0.026772260226660384,0.0015096432878027267,-0.4812106835781186,0.005692794952304443,9.75532554132315,3.2461499463517855e-13,-9.74144077608451,2.8541183231656326e-06,6.45547197369549,4.643785800340083e-09,4.203922543410954e-09,-6.8598506430817e-08,-4.701039557630793e-10,-4.275797493846767e-10,5.431287364299209e-12,3.0125901773203623e-12,2.973343793399863e-11,-8.244221430341427e-12,0,True,converged
