row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,observed_pressure_Pa,model_pressure_Pa,log10_model_over_data,success,message
vle_0048,Aronu,40.0,,0.489,2857.7,4458.271644372672,0.193149891878723,True,converged
vle_0049,Hilliard,40.0,,0.491,1100.0,4669.0158994095755,0.6278326676790034,True,converged
vle_0050,Hilliard,40.0,,0.501,1870.0,5862.98379319851,0.4962770871478404,True,converged
vle_0051,Jou,40.0,,0.513,2570.0,7641.9925053330835,0.4732734840993366,True,converged
vle_0052,Aronu,40.0,,0.516,8558.3,8152.50955730139,-0.0210961894313166,True,converged
vle_0053,Hilliard,40.0,,0.518,3030.0,8508.559591537873,0.4484134163773188,True,converged
vle_0054,Aronu,40.0,,0.524,11812.0,9654.819492222232,-0.0875792797286007,True,converged
vle_0055,Jou,40.0,,0.557,8090.0,18366.423820011332,0.3560760801790363,True,converged
vle_0056,Hilliard,40.0,,0.591,28300.0,32536.35687427104,0.0605824874472547,True,converged
vle_0057,Jou,40.0,,0.609,36100.0,42608.642944239706,0.0719905005366724,True,converged
vle_0058,Jou,40.0,,0.642,103000.0,66518.11573982066,-0.1898972862531293,True,converged
vle_0059,Aronu,60.0,,0.053,4.5,1.0540797282804,-0.6303390525736762,True,converged
vle_0060,Jou,60.0,,0.0564,4.28,1.2206943317764,-0.5448368410568695,True,converged
vle_0061,Aronu,60.0,,0.105,15.4,6.1892402415155,-0.3958833802442232,True,converged
vle_0062,Hilliard,60.0,,0.114,19.400000000000002,7.8927027277347,-0.3905759841672634,True,converged
vle_0063,Jou,60.0,,0.119,19.3,8.9917865413772,-0.3317113205027986,True,converged
vle_0064,Aronu,60.0,,0.162,42.7,24.9762201948787,-0.2329011604710306,True,converged
vle_0065,Hilliard,60.0,,0.191,58.9,46.569148733851904,-0.1020169955180961,True,converged
vle_0066,Jou,60.0,,0.206,57.9,63.4761341829232,0.0399319058023239,True,converged
vle_0067,Aronu,60.0,,0.244,134.8,135.9797131802054,0.0037842285894792,True,converged
vle_0068,Hilliard,60.0,,0.291,209.0,342.727515961684,0.2148026871562953,True,converged
vle_0069,Aronu,60.0,,0.303,301.5,434.2598578750668,0.1584623694159119,True,converged
vle_0070,Aronu,60.0,,0.36,643.5999999999999,1369.111561708675,0.3278228025246912,True,converged
vle_0071,Hilliard,60.0,,0.386,763.0,2356.652244201615,0.4897709632937198,True,converged
vle_0072,Jou,60.0,,0.389,528.0,2511.2587897730778,0.677257547319363,True,converged
vle_0073,Aronu,60.0,,0.393,1097.0,2734.030760371307,0.3965967688986319,True,converged
vle_0074,Aronu,60.0,,0.428,2501.3999999999996,5815.611828510511,0.3664122656900989,True,converged
vle_0075,Jou,60.0,,0.438,2009.9999999999998,7231.101488090246,0.5560083994540429,True,converged
vle_0076,Hilliard,60.0,,0.485,4860.0,19829.934855224863,0.6106850182126594,True,converged
vle_0077,Aronu,60.0,,0.491,13558.0,22448.908633134863,0.218999602798063,True,converged
vle_0078,Jou,60.0,,0.504,11000.0,29194.6055536156,0.4239099267447037,True,converged
vle_0079,Hilliard,60.0,,0.544,25800.0,61476.91808522899,0.377092381684785,True,converged
vle_0080,Jou,60.0,,0.561,34000.0,81674.69624278857,0.3806086109191032,True,converged
vle_0081,Jou,60.0,,0.579,82000.0,108037.67143372304,0.1197613627616207,True,converged
vle_0082,Jou,60.0,,0.668,282000.0,329343.47922724846,0.06739996081339,True,converged
vle_0083,Aronu,80.0,,0.017,5.6,0.5897830847551,-0.9774957143734262,True,converged
vle_0084,Jou,80.0,,0.0174,2.96,0.6167716379144,-0.6811673164771961,True,converged
vle_0085,Jou,80.0,,0.0236,4.84,1.1238120240122,-0.634151687209773,True,converged
vle_0086,Aronu,80.0,,0.04,21.9,3.3960792917129003,-0.80946629323541,True,converged
vle_0087,Aronu,80.0,,0.075,55.7,14.9129568124999,-0.5722914350177511,True,converged
vle_0088,Jou,80.0,,0.0781,46.5,16.548941000318703,-0.4486827452575588,True,converged
vle_0089,Jou,80.0,,0.118,99.2,52.2495057115641,-0.2784294858448771,True,converged
vle_0090,Aronu,80.0,,0.122,140.6,57.8273950127306,-0.385851691878015,True,converged
vle_0091,Aronu,80.0,,0.155,248.5,125.92429697183199,-0.2952168581741564,True,converged
vle_0092,Jou,80.0,,0.187,278.0,250.0038001048912,-0.0460981858378709,True,converged
vle_0093,Aronu,80.0,,0.216,613.7,449.4726266536927,-0.1352528753909772,True,converged
vle_0094,Aronu,80.0,,0.271,1253.8,1306.9421624680024,0.0180281031971269,True,converged
vle_0095,Aronu,80.0,,0.347,3752.2000000000003,5648.49926151902,0.1776470971964267,True,converged
vle_0096,Jou,80.0,,0.348,2670.0,5760.010927697865,0.3339120459882168,True,converged
vle_0097,Aronu,80.0,,0.398,8303.1,15515.201395817212,0.271517148872341,True,converged
vle_0098,Aronu,80.0,,0.4,7938.7,16150.006070602845,0.30842329945749,True,converged
vle_0099,Jou,80.0,,0.46,16000.0,53431.212721082185,0.5236750487625617,True,converged
vle_0100,Jou,80.0,,0.517,56000.0,151685.52335984228,0.432756107340554,True,converged
vle_0101,Jou,80.0,,0.5785,235000.0,379691.3204690552,0.2083628072528949,True,converged
vle_0102,Jou,80.0,,0.64,558000.0,764734.9253007311,0.1368767258518799,True,converged
vle_0103,Jou,80.0,,0.689,958000.0,1185273.075093759,0.0924529099121032,True,converged
vle_0104,Jou,100.0,,0.0117,7.24,1.5388070150906001,-0.6725544087026013,True,converged
vle_0105,Jou,100.0,,0.0566,136.0,39.792320660984004,-0.533739640727458,True,converged
vle_0106,Jou,100.0,,0.188,1430.0,1319.1593194064474,-0.0350387875133425,True,converged
vle_0107,Xu,100.0,,0.315,16000.0,14823.276631019336,-0.0331757691959923,True,converged
vle_0108,Xu,100.0,,0.315,12000.0,14823.314990514184,0.0917640912728278,True,converged
vle_0109,Jou,100.0,,0.381,19000.0,50668.17149627088,0.4259816308806021,True,converged
vle_0110,Xu,100.0,,0.388,34000.0,57723.03631736412,0.2298702505142381,True,converged
vle_0111,Jou,100.0,,0.422,39000.0,108073.60568538292,0.4426550341530468,True,converged
vle_0112,Xu,100.0,,0.424,101000.0,112075.77510686008,0.0451903773105577,True,converged
vle_0113,Xu,100.0,,0.425,86000.0,114128.17451051719,0.122894419502302,True,converged
vle_0114,Xu,100.0,,0.475,95000.0,271830.902151675,0.456575221173424,True,converged
vle_0115,Jou,100.0,,0.477,69000.0,280835.6066621868,0.6096030796598019,True,converged
vle_0116,Jou,100.0,,0.481,109000.0,299571.1171783732,0.4390734410777063,True,converged
vle_0117,Xu,100.0,,0.501,167000.0,408473.81422822014,0.3884477495722582,True,converged
vle_0118,Xu,100.0,,0.52,233000.0,536917.6073227174,0.3625517251382142,True,converged
vle_0119,Jou,100.0,,0.571,509000.0,1007566.5712221286,0.2965559678205992,True,converged
vle_0120,Jou,100.0,,0.589,376000.0,1216337.9734783391,0.5098664204881065,True,converged
vle_0121,Jou,100.0,,0.6135,909000.0,1533479.3773772332,0.2271140566325701,True,converged
vle_0122,Jou,120.0,,0.00333,2.02,0.8608931821236,-0.370402101026855,True,converged
vle_0123,Jou,120.0,,0.0112,22.1,6.6404809232424995,-0.5221927402889215,True,converged
vle_0124,Jou,120.0,,0.0247,98.4,31.149423237989403,-0.4995450887484334,True,converged
vle_0125,Jou,120.0,,0.119,2290.0,1335.0711141855331,-0.2343310827997454,True,converged
vle_0126,Mamun,120.0,,0.155,7354.0,3081.793076197273,-0.377720150424488,True,converged
vle_0127,Mamun,120.0,,0.1766,9314.0,4862.730993656362,-0.2822559885405733,True,converged
vle_0128,Mamun,120.0,,0.1843,9045.0,5687.807615922826,-0.2014636727772388,True,converged
vle_0129,Mamun,120.0,,0.2085,15510.0,9165.598080481219,-0.2284509886814284,True,converged
vle_0130,Mamun,120.0,,0.2326,19620.0,14481.168146295835,-0.1318954067195472,True,converged
vle_0131,Mamun,120.0,,0.2381,25200.0,16044.203006332169,-0.1960823923353056,True,converged
vle_0132,Mamun,120.0,,0.256,27710.0,22311.4562402378,-0.0941086087274405,True,converged
vle_0133,Mamun,120.0,,0.2901,39180.0,41307.66494289159,0.0229662140300599,True,converged
vle_0134,Mamun,120.0,,0.2967,40400.0,46471.70393809412,0.0608072315633343,True,converged
vle_0135,Mamun,120.0,,0.3004,43490.0,49636.011548021896,0.0574074692653719,True,converged
vle_0136,Mamun,120.0,,0.3125,51820.0,61515.92308491893,0.074490136602712,True,converged
vle_0137,Xu,120.0,,0.314,50000.0,63168.50926900829,0.101530623644578,True,converged
vle_0138,Xu,120.0,,0.314,45000.0,63169.0219719517,0.1472916391128083,True,converged
vle_0139,Mamun,120.0,,0.3191,58570.0,69117.44301810494,0.0719124391282338,True,converged
vle_0140,Mamun,120.0,,0.3298,62880.0,83419.57664894442,0.1227554484567171,True,converged
vle_0141,Mamun,120.0,,0.3424,77590.0,103951.82031604908,0.1270263468623524,True,converged
vle_0142,Mamun,120.0,,0.3424,74950.0,103950.86799620045,0.1420564828842125,True,converged
vle_0143,Jou,120.0,,0.349,46800.0,116568.67685072852,0.3963360138290262,True,converged
vle_0144,Mamun,120.0,,0.35,83610.0,118604.04574113534,0.1518412802081137,True,converged
vle_0145,Mamun,120.0,,0.3594,92790.0,139469.7108465766,0.176978725786516,True,converged
vle_0146,Xu,120.0,,0.37,63000.0,167162.0274605321,0.4237970804837974,True,converged
vle_0147,Xu,120.0,,0.385,108000.0,215213.5556927508,0.2994458673491691,True,converged
vle_0148,Xu,120.0,,0.387,62000.0,222503.01105351205,0.5549442030100527,True,converged
vle_0149,Mamun,120.0,,0.3882,137900.0,226984.55624750492,0.2164320431553522,True,converged
vle_0150,Jou,120.0,,0.4115,122000.0,331636.2643296744,0.4343021837762864,True,converged
vle_0151,Mamun,120.0,,0.4182,191900.0,368632.1174257075,0.2835181961180265,True,converged
vle_0152,Xu,120.0,,0.422,237000.0,391130.81159903284,0.2175736831365138,True,converged
vle_0153,Xu,120.0,,0.423,192000.0,397237.9699174279,0.3157495250611065,True,converged
vle_0154,Jou,120.0,,0.444,222000.0,544695.0115232657,0.389800423444415,True,converged
vle_0155,Xu,120.0,,0.467,283000.0,751592.9124896169,0.424196240532773,True,converged
vle_0156,Jou,120.0,,0.473,422000.0,813823.1729379887,0.2852176009058215,True,converged
vle_0157,Xu,120.0,,0.492,387000.0,1033922.2863708228,0.4267769316996488,True,converged
vle_0158,Xu,120.0,,0.508,512000.0,1246246.148613554,0.3863338682066972,True,converged
vle_0159,Jou,120.0,,0.536,822000.0,1674847.7412221816,0.3091035143387102,True,converged
vle_0160,Jou,120.0,,0.639,2804000.0,3776004.265405392,0.1292544669142965,True,converged
