temperature_C,MEA_weight_fraction,CO2_loading,success,message,attempts,CO2,MEA,H2O,MEAH^+,MEACOO^-,HCO3^-,CO3^2-,H3O^+,OH^-,sum_minus_one,model_carbon_balance,physical_carbon_balance,mea_balance,water_balance,charge_balance,logK_residual_1,logK_residual_2,logK_residual_3,logK_residual_4,logK_residual_5
40.0,0.3,0.31261,True,solved (warm-start),1,2.855442928e-07,0.041401608932,0.85662100013,0.034175394098,0.032864048283,0.00076226891047,0.00027315431344,2.4850918548e-12,2.7682805615e-06,-0.03389947150575068,0.0015245378209814628,4.145989107584569e-14,9.191397642993593e-13,-2.120081887824199e-12,-4.26408908182907e-13,-4.144791027727024e-06,3.747797194364466e-05,-1.6423981463731252e-07,-1.907946719725828e-06,-2.736984889395444e-06
40.0,0.3,0.3206,True,solved (warm-start),1,3.2596563928e-07,0.039686494896,0.85582791449,0.035011120393,0.033649559266,0.00081346459244,0.00027275433815,2.653426161e-12,2.5878606735e-06,-0.03473577819544371,0.0016269291848585374,-2.1461998844785057e-14,-3.9046543776066756e-13,-7.343015084870785e-13,2.3991919562149633e-13,-4.405217744363199e-06,4.025930881468298e-05,-1.946383250128747e-07,-2.0901922157534614e-06,-3.0190970470300726e-06
40.0,0.3,0.32859000000000005,True,solved (warm-start),1,3.7286531088e-07,0.037978713986,0.85503185841,0.035845374881,0.034429371325,0.00086893364322,0.00027232665138,2.8361703912e-12,2.4166131691e-06,-0.03557063162208385,0.0017378672859509475,-4.890532423473815e-13,-2.0530799282880707e-13,3.1782354525944356e-12,-3.129232983845043e-13,-4.725446999032101e-06,4.351455944728855e-05,-2.3174116847712867e-07,-2.3022232218394834e-06,-3.350131876800333e-06
40.0,0.3,0.33658000000000005,True,solved (warm-start),1,4.2751265674e-07,0.036278802992,0.85423229004,0.036678157017,0.035202947795,0.00092921762046,0.00027186884071,3.035201447e-12,2.253923337e-06,-0.03640403425580108,0.0018584352409138846,-6.113165529342268e-15,4.465594560798536e-13,-8.094636072542016e-13,-1.8179208138846548e-13,-5.116167223206958e-06,4.73283974287142e-05,-2.774110221537285e-07,-2.549553521191683e-06,-3.7402349732928997e-06
40.0,0.3,0.34457000000000004,True,solved (warm-start),1,4.9148208452e-07,0.034587390543,0.85342857669,0.037509465499,0.035969660931,0.00099494934829,0.00027137799212,3.2527226878e-12,2.0992386323e-06,-0.037235988272620424,0.0019898986964691084,-1.1089740237224532e-13,-8.673617379884035e-15,1.3300471835009375e-12,9.042072646181509e-14,-5.59089494345244e-06,5.180569499430021e-05,-3.340007310725923e-07,-2.8389665160943878e-06,-4.2019880304167145e-06
40.0,0.3,0.35256000000000004,True,solved (warm-start),1,5.6674078917e-07,0.032905216261,0.85261997601,0.038339298081,0.036728772937,0.0010668718856,0.00027085059948,3.491334446e-12,1.9520628247e-06,-0.038066495418814794,0.0021337437715218954,3.218952882022563e-13,3.029798634202052e-13,-3.889888411379161e-12,1.0662998262134238e-13,-6.166798350193403e-06,5.707628181639279e-05,-4.047541324325721e-07,-3.178611855503277e-06,-4.751083078957663e-06
40.0,0.3,0.36055000000000004,True,solved (warm-start),1,6.5576590713e-07,0.031233154542,0.8518056125,0.039167651343,0.037479412421,0.0011458620721,0.00027028245141,3.7541224502e-12,1.8119511874e-06,-0.03889555694964131,0.0022917241442625136,6.251943407420413e-14,6.971229149499436e-13,4.371614181764016e-12,-3.532729664357248e-13,-6.865731052130286e-06,6.330147153121857e-05,-4.939182431940026e-07,-3.5782320049193572e-06,-5.407172718463471e-06
40.0,0.3,0.36854000000000003,True,solved (warm-start),1,7.6170232332e-07,0.029572244203,0.85098444841,0.039994520385,0.038220545052,0.0012329598505,0.00026966848993,4.0447692199e-12,1.6785066421e-06,-0.03972317339655984,0.002465919700944612,-5.5393190034891404e-14,-7.509270982808403e-14,4.260258812394113e-12,4.266725861512555e-14,-7.715317757117646e-06,7.068093460915748e-05,-6.069788476281701e-07,-4.0497255753280115e-06,-6.1948476286488585e-06
40.0,0.3,0.37653000000000003,True,solved (warm-start),1,8.8857710337e-07,0.027923725511,0.85015524725,0.040819898432,0.038950936922,0.0013294048691,0.00026900263429,4.3676949765e-12,1.5513768013e-06,-0.040549344423337796,0.00265880973826782,6.782074901678925e-14,1.6661672042062037e-13,-2.286726363820435e-12,-1.1361050988867305e-13,-8.750861262285525e-06,7.946292967631052e-05,-7.519149747281517e-07,-4.606652914240783e-06,-7.14485486241756e-06
40.0,0.3,0.38452000000000003,True,solved (warm-start),1,1.0415934154e-06,0.026289086505,0.84931652829,0.041643776324,0.039669108741,0.0014366822119,0.00026827756196,4.7282364628e-12,1.4302518854e-06,-0.04137406851611103,0.0028733644236308906,-1.6910778333212306e-13,2.568778523226456e-14,1.394329096626734e-12,2.2842838731662596e-14,-1.0016591389216956e-05,8.995413041645861e-05,-9.388575463731286e-07,-5.265068185877908e-06,-8.29556559978073e-06
