temperature_C,MEA_weight_fraction,CO2_loading,success,message,attempts,CO2,MEA,H2O,MEAH^+,MEACOO^-,HCO3^-,CO3^2-,H3O^+,OH^-,sum_minus_one,model_carbon_balance,physical_carbon_balance,mea_balance,water_balance,charge_balance,logK_residual_1,logK_residual_2,logK_residual_3,logK_residual_4,logK_residual_5
80.0,0.3,0.26031666666666664,True,solved (warm-start),1,3.1639785906e-06,0.053155580745,0.86163316278,0.028431806859,0.027472112219,0.00087236651081,4.2362753815e-05,2.321836882e-11,2.6026450455e-06,-0.02838684148552051,0.0017447330216391575,1.9154816621735904e-14,-8.652800698172314e-14,1.9628743075372768e-12,-2.671335375126205e-13,-0.00010724176802057173,0.0005519627431915808,-3.3754427697374467e-06,-2.5845297913384968e-05,-3.9640416627406694e-05
80.0,0.3,0.27903333333333336,True,solved (warm-start),1,4.2306301258e-06,0.049110496393,0.85974356727,0.030409433359,0.029317407999,0.0010054309409,4.2175574015e-05,2.6819723791e-11,2.2432980454e-06,-0.030365014509094013,0.002010861881484905,-3.150917027294753e-13,-2.2096213747602178e-13,-4.284905763540792e-12,-1.5567755418111062e-13,-0.0001036204829745202,0.0005779271757901938,-4.242567452905632e-06,-2.8909950684052887e-05,-4.50396792253116e-05
80.0,0.3,0.29775,True,solved (warm-start),1,5.6706400848e-06,0.045104553101,0.85783964391,0.032378667848,0.031132858009,0.0011599385841,4.1970276768e-05,3.102364773e-11,1.930732656e-06,-0.03233476686736758,0.002319877168273622,7.362166432045569e-14,9.468120731881413e-13,-3.520850277993759e-12,-2.6834784394580424e-13,-0.00010507456735808773,0.000623811659707485,-5.477050805779982e-06,-3.3027621072712066e-05,-5.242355711132518e-05
80.0,0.3,0.3164666666666667,True,solved (warm-start),1,7.6404228491e-06,0.041143378655,0.85591595092,0.03433939084,0.032912948455,0.001341299798,4.1742864982e-05,3.5988813905e-11,1.6568936368e-06,-0.03429599111454318,0.002682599595642411,-3.57595897337859e-13,-3.2597535781775377e-13,-2.755240480212251e-12,-6.119826867490019e-13,-0.00011164482853587288,0.0006933766931993546,-7.2687928174275385e-06,-3.84923799581216e-05,-6.249873149144491e-05
80.0,0.3,0.33518333333333333,True,solved (warm-start),1,1.0378198603e-05,0.037234608309,0.85396520155,0.036291401064,0.034650239897,0.0015567698339,4.1487888323e-05,4.1930969575e-11,1.4155980594e-06,-0.036248497619183584,0.003113539667703953,-9.604123052397995e-14,-2.5719704144222533e-13,3.1386004906153175e-13,3.2557290197132716e-13,-0.00012409753572484306,0.0007929151719636707,-9.925744357985877e-06,-4.568725909948057e-05,-7.630033676520043e-05
80.0,0.3,0.3539,True,solved (warm-start),1,1.4256268833e-05,0.033388760166,0.85197749473,0.038234362188,0.036334545157,0.0018162192057,4.1197900661e-05,4.9148606108e-11,1.202073174e-06,-0.03819196226148336,0.0036324384109987437,-4.012554177812433e-13,-9.894446373337473e-13,-4.868327962981311e-13,-4.739264536368637e-14,-0.0001440163375150405,0.000931899069797737,-1.3952955505658338e-05,-5.506334586069528e-05,-9.532054258443168e-05
80.0,0.3,0.37261666666666665,True,solved (warm-start),1,1.9872646302e-05,0.029620535919,0.84993919894,0.04016771011,0.037951721276,0.0021332508789,4.0862682761e-05,5.8061749243e-11,1.0126478389e-06,-0.0401258348411363,0.004266501757788942,-1.1053657988924215e-14,-3.431976924872515e-14,3.520628233388834e-12,-1.9915319393604136e-13,-0.00017401314121912037,0.0011236594992887206,-2.0182430226611814e-05,-6.703104028371598e-05,-0.0001216411830746722
80.0,0.3,0.3913333333333333,True,solved (warm-start),1,2.8215022747e-05,0.025950728723,0.84783137377,0.04209048773,0.03948192688,0.0025267800091,4.0468178973e-05,6.9270162401e-11,8.4455220873e-07,-0.04204917506470107,0.005053560018082118,-1.17877929639576e-13,-7.117917366628035e-13,-2.542077659484221e-12,1.5432100042289676e-14,-0.00021798476588230642,0.001385322403212541,-2.9962075757339335e-05,-8.163250006720801e-05,-0.00015795861970957503
80.0,0.3,0.41005,True,solved (warm-start),1,4.0957467095e-05,0.022408899238,0.84562768875,0.044001046819,0.040897244255,0.0030231164797,3.9995186076e-05,8.3637804258e-11,6.9579621811e-07,-0.04396035592527303,0.006046232959135353,-2.646494134950217e-13,4.164169009612806e-13,4.3453018960804e-12,-4.3230002910732424e-13,-0.0002811767250463504,0.0017347545083588045,-4.5350736208149556e-05,-9.775588244842481e-05,-0.0002071855113783272
80.0,0.3,0.4287666666666667,True,solved (warm-start),1,6.1144161222e-05,0.019037274411,0.84329189713,0.045896359276,0.042158469321,0.0036584962179,3.9414333219e-05,1.0242885199e-10,5.6517370208e-07,-0.045856379873528086,0.007316992435573121,-2.2688101397605465e-13,1.1812772982011666e-13,1.517896919267514e-12,-6.112332862073799e-13,-3.317055785601042e-08,3.317209959163847e-06,-3.0188893163085595e-08,-9.652572074969612e-10,-2.5564521166643317e-08
80.0,0.3,0.44748333333333334,True,solved (warm-start),1,9.3619429006e-05,0.01589160985,0.84077782012,0.047771600787,0.043214665587,0.0044790831806,3.8700115835e-05,1.2733683537e-10,4.5191507325e-07,-0.04773244888814887,0.008958166361092049,-1.0795531135698866e-13,6.727951529228449e-14,4.754641125259695e-12,-6.418476861114186e-15,-5.482820597535465e-08,4.7682628050438325e-06,-4.905665207388665e-08,-4.810187803627741e-10,-3.81384950287611e-08
80.0,0.3,0.4662,True,solved (warm-start),1,0.00014698611155,0.013042937258,0.83803153069,0.049618177783,0.044003389766,0.0055388002854,3.7815977749e-05,1.6061890664e-10,3.5593641739e-07,-0.04958000603126467,0.01107760057085666,5.666300761930643e-14,-5.743044928507857e-13,2.633337992108409e-12,3.035141582508061e-13,-8.91083544729554e-08,6.270816996334361e-06,-7.020902614840452e-08,-1.4783383406324901e-09,-5.076080000776528e-08
80.0,0.3,0.48491666666666666,True,solved (warm-start),1,0.00023460541146,0.010564880865,0.83500601434,0.051422750675,0.044464352102,0.0068846455197,3.6738034316e-05,2.0476286641e-10,2.7718923225e-07,-0.051385735658528886,0.013769291039865628,4.656275365277907e-13,4.2989223292266843e-13,1.617372902273928e-12,1.986188991054405e-13,-1.4201694398252585e-07,6.7311129967606576e-06,-8.312586530223598e-08,-7.615070352073872e-09,-5.861751262159487e-08
