observation_id,data_family,source_key,source_file,source_row_id,observed_quantity,temperature_K,mea_mass_fraction,co2_loading_mol_per_mol_mea,composition_value,composition_basis,value_reported,reported_unit,uncertainty_value,uncertainty_unit,uncertainty_type,measurement_role,source_lifecycle_status,contract_lifecycle_status,objective_role,target_eligible,group_id
AMU-DENS-025,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,25,density,343.15,0.50,,0.50,MEA mass fraction in unloaded solution,0.9915,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.50|T=70
AMU-DENS-026,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,26,density,343.15,0.70,,0.70,MEA mass fraction in unloaded solution,0.9930,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.70|T=70
AMU-DENS-027,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,27,density,343.15,0.90,,0.90,MEA mass fraction in unloaded solution,0.9846,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.90|T=70
AMU-DENS-028,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,28,density,343.15,1.00,,1.00,MEA mass fraction in unloaded solution,0.9760,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=1.00|T=70
AMU-DENS-029,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,29,density,353.15,0.20,,0.20,MEA mass fraction in unloaded solution,0.9766,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.20|T=80
AMU-DENS-030,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,30,density,353.15,0.30,,0.30,MEA mass fraction in unloaded solution,0.9794,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.30|T=80
AMU-DENS-031,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,31,density,353.15,0.40,,0.40,MEA mass fraction in unloaded solution,0.9819,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.40|T=80
AMU-DENS-032,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,32,density,353.15,0.50,,0.50,MEA mass fraction in unloaded solution,0.9842,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.50|T=80
AMU-DENS-033,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,33,density,353.15,0.70,,0.70,MEA mass fraction in unloaded solution,0.9850,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.70|T=80
AMU-DENS-034,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,34,density,353.15,0.90,,0.90,MEA mass fraction in unloaded solution,0.9764,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.90|T=80
AMU-DENS-035,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,35,density,353.15,1.00,,1.00,MEA mass fraction in unloaded solution,0.9678,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=1.00|T=80
AMU-DENS-036,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,36,density,298.15,0.20,0.1,0.20,MEA mass fraction in unloaded solution,1.0188,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=25
AMU-DENS-037,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,37,density,298.15,0.20,0.2,0.20,MEA mass fraction in unloaded solution,1.0327,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=25
AMU-DENS-038,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,38,density,298.15,0.20,0.3,0.20,MEA mass fraction in unloaded solution,1.0476,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=25
AMU-DENS-039,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,39,density,298.15,0.20,0.4,0.20,MEA mass fraction in unloaded solution,1.0640,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=25
AMU-DENS-040,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,40,density,298.15,0.20,0.5,0.20,MEA mass fraction in unloaded solution,1.0800,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=25
AMU-DENS-041,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,41,density,313.15,0.20,0.1,0.20,MEA mass fraction in unloaded solution,1.0125,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=40
AMU-DENS-042,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,42,density,313.15,0.20,0.2,0.20,MEA mass fraction in unloaded solution,1.0264,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=40
AMU-DENS-043,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,43,density,313.15,0.20,0.3,0.20,MEA mass fraction in unloaded solution,1.0413,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=40
AMU-DENS-044,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,44,density,313.15,0.20,0.4,0.20,MEA mass fraction in unloaded solution,1.0579,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=40
AMU-DENS-045,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,45,density,313.15,0.20,0.5,0.20,MEA mass fraction in unloaded solution,1.0735,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=40
AMU-DENS-046,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,46,density,323.15,0.20,0.1,0.20,MEA mass fraction in unloaded solution,1.0076,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=50
AMU-DENS-047,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,47,density,323.15,0.20,0.2,0.20,MEA mass fraction in unloaded solution,1.0215,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=50
AMU-DENS-048,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,48,density,323.15,0.20,0.3,0.20,MEA mass fraction in unloaded solution,1.0364,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=50
AMU-DENS-049,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,49,density,323.15,0.20,0.4,0.20,MEA mass fraction in unloaded solution,1.0530,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=50
AMU-DENS-050,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,50,density,323.15,0.20,0.5,0.20,MEA mass fraction in unloaded solution,1.0680,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=50
AMU-DENS-051,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,51,density,343.15,0.20,0.1,0.20,MEA mass fraction in unloaded solution,0.9965,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=70
AMU-DENS-052,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,52,density,343.15,0.20,0.2,0.20,MEA mass fraction in unloaded solution,1.0105,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=70
AMU-DENS-053,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,53,density,343.15,0.20,0.3,0.20,MEA mass fraction in unloaded solution,1.0254,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=70
AMU-DENS-054,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,54,density,343.15,0.20,0.4,0.20,MEA mass fraction in unloaded solution,1.0419,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=70
AMU-DENS-055,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,55,density,343.15,0.20,0.5,0.20,MEA mass fraction in unloaded solution,1.0570,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=70
AMU-DENS-056,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,56,density,353.15,0.20,0.1,0.20,MEA mass fraction in unloaded solution,0.9902,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=80
AMU-DENS-057,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,57,density,353.15,0.20,0.2,0.20,MEA mass fraction in unloaded solution,1.0043,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=80
AMU-DENS-058,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,58,density,353.15,0.20,0.3,0.20,MEA mass fraction in unloaded solution,1.0192,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=80
AMU-DENS-059,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,59,density,353.15,0.20,0.4,0.20,MEA mass fraction in unloaded solution,1.0360,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.20|T=80
AMU-DENS-060,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,60,density,298.15,0.30,0.1,0.30,MEA mass fraction in unloaded solution,1.0280,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=25
AMU-DENS-061,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,61,density,298.15,0.30,0.2,0.30,MEA mass fraction in unloaded solution,1.0480,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=25
AMU-DENS-062,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,62,density,298.15,0.30,0.3,0.30,MEA mass fraction in unloaded solution,1.0700,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=25
AMU-DENS-063,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,63,density,298.15,0.30,0.4,0.30,MEA mass fraction in unloaded solution,1.0957,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=25
AMU-DENS-064,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,64,density,298.15,0.30,0.5,0.30,MEA mass fraction in unloaded solution,1.1211,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=25
AMU-DENS-065,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,65,density,313.15,0.30,0.1,0.30,MEA mass fraction in unloaded solution,1.0210,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=40
AMU-DENS-066,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,66,density,313.15,0.30,0.2,0.30,MEA mass fraction in unloaded solution,1.0410,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=40
AMU-DENS-067,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,67,density,313.15,0.30,0.3,0.30,MEA mass fraction in unloaded solution,1.0629,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=40
AMU-DENS-068,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,68,density,313.15,0.30,0.4,0.30,MEA mass fraction in unloaded solution,1.0885,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=40
AMU-DENS-069,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,69,density,313.15,0.30,0.5,0.30,MEA mass fraction in unloaded solution,1.1140,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=40
AMU-DENS-070,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,70,density,323.15,0.30,0.1,0.30,MEA mass fraction in unloaded solution,1.0160,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=50
AMU-DENS-071,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,71,density,323.15,0.30,0.2,0.30,MEA mass fraction in unloaded solution,1.0355,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=50
AMU-DENS-072,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,72,density,323.15,0.30,0.3,0.30,MEA mass fraction in unloaded solution,1.0580,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=50
AMU-DENS-073,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,73,density,323.15,0.30,0.4,0.30,MEA mass fraction in unloaded solution,1.0830,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=50
AMU-DENS-074,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,74,density,323.15,0.30,0.5,0.30,MEA mass fraction in unloaded solution,1.1080,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=50
AMU-DENS-075,reactive_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,75,density,343.15,0.30,0.1,0.30,MEA mass fraction in unloaded solution,1.0040,g/cm^3,0.002,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|loaded|w=0.30|T=70
