library_tier,scientific_family,path,format,rows,bytes,sha256,regression_admission
contract,manifests,manifests/reaction_constant_manifest.csv,csv,5,2256,8cc9353f299cee5a15edf894215e41f5a2d67a4b5d226cdba66a19648fab081b,not_applicable
contract,manifests,manifests/regression_artifact_manifest.csv,csv,7,1196,67f04637f0821f5a657c5bcc39b7550bd61e8cfdd9f9a233a6fb9c047d8bf5b3,not_applicable
contract,manifests,manifests/source_search_log.csv,csv,25,12131,644b7586b2cb42740d662fb8a01060c4a734c6771215165c9e86392dc93b3a5c,not_applicable
contract,manifests,manifests/source_status_manifest.csv,csv,16,9410,26f584f7cf65c8e23e310d34d409900c97e18ed3a9c3c3219048f059dd552ee2,not_applicable
contract,manifests,manifests/speciation_target_membership.csv,csv,1070,314665,1e267adc62a6572d029caf92cfa39529cd38c9c0475fdf2f66a9546dc92c8f9b,not_applicable
contract,manifests,manifests/target_admission_manifest.csv,csv,8,3246,cb5094686e8a06801887465b573c38e1deac5414c160e34318a0604d2763ad36,not_applicable
contract,manifests,manifests/vle_row_disposition.csv,csv,327,42790,a09fe2b5cf76ba0f098791078234ad6c841f639919af2f288482bd646882bec0,not_applicable
contract,manifests,manifests/volumetric_grouped_split_manifest.csv,csv,231,65174,156681e9cefc554314124b99daa9ffe9a45aa1ab02c167fa080d12405501dacd,not_applicable
verified_observation,observations/density_viscosity,observations/density_viscosity/Amundsen_2009_correlation_metadata.csv,csv,4,884,289d82356d8f825556168193fdd0a4f31887774ed98faee11e493ee83b43bee5,manifest_governed
verified_observation,observations/density_viscosity,observations/density_viscosity/Amundsen_2009_density_viscosity.csv,csv,213,47783,9047efb0281bff93d1769b12a3df50420d0b01ddd44ffd5041749ec0fb1fe622,manifest_governed
verified_observation,observations/density_viscosity,observations/density_viscosity/Amundsen_2009_density_viscosity_schema.csv,csv,21,1791,d01161e3dd2fd1950d0e38afeeadc520421bd1be3cc08d681a4530e5780ed0aa,manifest_governed
verified_observation,observations/density_viscosity,observations/density_viscosity/README.md,md,,510,bf6ec6b616f8baa7501cf2e2b128af9ff064df19c846e6dbe0adc25fce7405c7,manifest_governed
verified_observation,observations/dielectric,observations/dielectric/MEA_H2O_dielectric_schema.csv,csv,12,1022,9f085f5008fa0d2e2b5ee6f3cefb41d06ad693df5819056b48c4f4559692045e,manifest_governed
verified_observation,observations/dielectric,observations/dielectric/README.md,md,,423,01b7e7eb2e53be4b2175e02f30436fab3ae1a333003e1fb4287b547c1cf381be,manifest_governed
verified_observation,observations/ionic_activity,observations/ionic_activity/README.md,md,,417,fd49cc1f2e89bcdb86ef1645dd9f979f2d647d21aa9913537bd9b38b04bc0cfc,manifest_governed
verified_observation,observations/ionic_analog_volumetrics,observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_density.csv,csv,128,34418,36c8f0220b7350bdce11c119464d1491aebe3d824a3b952c0c131f5a227633cd,manifest_governed
verified_observation,observations/ionic_analog_volumetrics,observations/ionic_analog_volumetrics/ethanolammonium_carboxylate_excess_molar_volume.csv,csv,44,11678,5b016b6d841455bf707b550d91d82b104ab27b2d42e037f464a913750165ee15,manifest_governed
verified_observation,observations/ionic_analog_volumetrics,observations/ionic_analog_volumetrics/volumetric_source_manifest.csv,csv,8,3545,84de2026deb3f0f17c72c9c115578dd49fec103fc15a5d67ce0f4d56f2bc8a07,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Bottinger_2007_ChEq.csv,csv,68,2561,6c4c1e14c2a417bcbd2ff54c5f3978cb1560e7c831a9f931178d021d71b003f5,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Canonical_Combined_ChEq.csv,csv,571,325135,8c07df9efd1c1ecbd775ccdd42791e0cef1880b3837e5749a60d2142aa85809e,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Canonical_Combined_ChEq_schema.csv,csv,34,3149,8f52ffe2eb17373e2b7ca12d04cfea250412e9713d1a966d202b66c8e00e271a,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Combined_ChEq.csv,csv,74,3944,cff2fbd5678f8575302e11ee3d5cb0f206717dd607607bf4f086091703d9ee2b,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Jakobsen_2005_ChEq.csv,csv,24,1450,e6e3ba26c34b6db7e886d33d9af20bd2dd374bfd0fdfc22d38ebb71a14e5bb07,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Matin_2012_ChEq.csv,csv,19,856,8625f8dd06c26f9230fedbc50c97f907cc555f986521a270c873634f9ea5776f,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Wong_2015_Raman_metadata.csv,csv,7,1510,57be7333f0c26ea1e9fdac619248fb0bd86d315439f7bbd374f30dfeccaee84c,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Wong_2015_Raman_metadata_schema.csv,csv,8,673,1eccf481b25aa16c6248cf343b90ad6a59ddc9c01d873aa8c16adb65626930d3,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Wong_2015_Raman_speciation.csv,csv,71,12228,6ad84fd1d055b8e2e8295d5f336f1a7b3908c8c2354046463d6910cbc93d7c43,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Wong_2015_Raman_speciation_digitization_metadata.json,json,,17468,4f591f870baad75c00069312d7118a342e967c4ef9d9856ee2eb06cf6f19fea4,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Wong_2015_Raman_speciation_qa_overlay.png,png,,178365,3d2883f72295ad4ed77bdd0a8777fedc0053d228f32376e322218d3af3a7780f,manifest_governed
verified_observation,observations/liquid_speciation,observations/liquid_speciation/Wong_2015_Raman_speciation_schema.csv,csv,13,1154,2452c53e5571595a8b946efa57c2526cf0f4e679f809bfba686e1bbdfcf6666c,manifest_governed
verified_observation,observations/ph,observations/ph/README.md,md,,362,bc325bf6b7db85bb4c7a043ef271ddc8b8ed7a79081d4f89317c01019a89315b,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Aronu_2011_VLE.csv,csv,106,2334,d70c79407d3b6e96b480f4d8cd2af4c12c55c2baab906d71b4540750659d241d,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Canonical_VLE_Observations.csv,csv,327,68395,9e7d9ba5fead8bfa83a311dad341e3e2e8df1806d5249642a23562e99a72cb73,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Combined_VLE.csv,csv,161,10578,e1d508c35befaf00d5ad11a3700032cd36ae3775c3ed1bf868bf9160f7d0d81e,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Combined_VLE_inclusion.csv,csv,161,9004,a3361fc7b61b80ca11901cd1f145415f0f3aac0d910152423af5b297e906bf65,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Hilliard_2008_VLE.csv,csv,55,2368,4039394233367cbe491f6f97c3e5adcd5f6975fc696a3fde00cd4ca5af44da6c,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Idris_2014_VLE.csv,csv,10,1246,1e7bce1e91a3eda1dff0944fca84867b644d760241da311e08b140fa635de0cf,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Jou_1995_VLE.csv,csv,74,2150,ed376aec2bda38348ed5387197215b744e15719f1f6041e998913991ca1a213a,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Mamun_2005_VLE.csv,csv,19,473,568519446e88d1cd5637a076162e42b20d7c28792cefbde87eeda958e1df3847,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Wong_2015_high_pressure_loading.csv,csv,41,16616,e94f96d7fd38fe9beccff2709081e909cf478b073833cc5dcea9def033589788,manifest_governed
verified_observation,observations/vapor_liquid_equilibrium,observations/vapor_liquid_equilibrium/Xu_2011_VLE.csv,csv,63,1657,3118395550de0e3bcf18562670ac443d26f3cc87dac0a85a4438914bb5e55574,manifest_governed
parameter_evidence,parameters,parameters/epcsaft_species_parameter_evidence.csv,csv,12,4186,6b084385163d0879a56991edf2416cf5b420286ba6db716464216b1d4211af71,manifest_governed
parameter_evidence,parameters,parameters/full_component_parameter_source_audit.csv,csv,9,5911,7e002716d81c81b5f37f6d33e92c7665c6e498e939892c35556a51d985ebdd1c,manifest_governed
quarantine,quarantine/chatgpt_audits/README.md,quarantine/chatgpt_audits/README.md,md,,1357,1f3a4e7e102c4f5fe5eaa064730be7d11d656e707284b0c1909655a4f065800f,prohibited
quarantine,quarantine/chatgpt_audits/archive_receipts.csv,quarantine/chatgpt_audits/archive_receipts.csv,csv,2,759,5fa9998d9a445d9277e4966a33cf3c40387dd246987239de632884bd81c58ee9,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_a,quarantine/chatgpt_audits/audit_2026-07-23_a/mea_epcsaft_audit_report.md,md,,52684,b51ab0063199d8e1107aac90147b37d5034f5eff507e13c6bae83a236fd01c3f,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_a,quarantine/chatgpt_audits/audit_2026-07-23_a/mea_epcsaft_coverage_matrix.csv,csv,27,14299,535269c76a81785953c0346c0f6b0abf9a5218e941c10253c30ba86b40ff4b81,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_a,quarantine/chatgpt_audits/audit_2026-07-23_a/mea_epcsaft_manifest_sha256.csv,csv,7,1120,e257145859dd78ebba98be7f5096ff9f00453528199c13d8c62f084781dcbc7e,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_a,quarantine/chatgpt_audits/audit_2026-07-23_a/mea_epcsaft_negative_search.csv,csv,22,8009,138685f3cf6f867616168c75a78cb015ff1175883da9e0d39aa10267cce63a00,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_a,quarantine/chatgpt_audits/audit_2026-07-23_a/mea_epcsaft_rejections.csv,csv,37,7824,f8ca7d50409328298bbac7c7a41a9a0cb9dde50608dff7002f4959ba14839d97,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_a,quarantine/chatgpt_audits/audit_2026-07-23_a/mea_epcsaft_rows.csv,csv,608,749733,c4b61d72c8089f85d88df9e66a8a76fa7e3c733d9638c652ede039e75a6c48e0,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_a,quarantine/chatgpt_audits/audit_2026-07-23_a/mea_epcsaft_schema.csv,csv,77,7350,16253a0cf90527c9b5050193f61d73af4c15f6e14a1baaa36c38de0f0f5fbfc9,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_a,quarantine/chatgpt_audits/audit_2026-07-23_a/mea_epcsaft_sources.csv,csv,64,73784,3847d3c1addd691e916acf288c44fdf9448c15800b8c3fef6bc9d8ac317fb0ee,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/Agieienko_DRS_rows.csv,csv,0,5,f01a374e9c81e3db89b3a42940c4d6a5447684986a1296e42bf13f196eed6295,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/Agieienko_extraction_diagnostics.csv,csv,0,5,f01a374e9c81e3db89b3a42940c4d6a5447684986a1296e42bf13f196eed6295,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/Aronu_direct_rows.csv,csv,0,5,f01a374e9c81e3db89b3a42940c4d6a5447684986a1296e42bf13f196eed6295,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/Aronu_extraction_diagnostics.csv,csv,1,109,53a9895be9ce879a61d3726d2fcd1a974d819aa4c08c32ed8beeb928a0738053,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/MEA_thermodynamics_primary_source_audit.md,md,,22670,2d263a2646687652957682836e469ec376381470581fb442228536da1e97e8ce,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/README.md,md,,270,350ae5511aec0a3dd57c1ff5d4c72ab3ea189437ba1e8f6d770159322ccc9d73,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/byproduct_observations.csv,csv,3,1207,4dc16e7e4f5cd0420e1ebd6a79b49645b6c5758c6ee9efd7368a85408bb1a252,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/extracted_rows_primary.csv,csv,434,262524,c6329bf0db6962bd1501684ad2be235404fb52ca89e5f0d785fab78e0761ae63,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/gap_closure_summary.csv,csv,8,1856,dd5e3c96a1e654ada31caee36affa54fb1f7456c4272f26dd3d145028cce4c7c,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/manifest.json,json,,3357,c9c6c960ad580c93c1d47bdbaba91fc2f665937d8a8945161995e86c476b8c54,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/parameter_family_coverage_matrix.csv,csv,13,3325,bbcdfcabe83bc06c36cfefc1fd52f3a1ebc1a177796cb00f942f76dc3c734119,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/raw_extractions/Bates_1951_layout.txt,txt,,35959,ccd1e21434908d17b0743900995b22e352d45c893ddab4e66ff785505b0784d3,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/raw_extractions/Hilliard_Appendix_D_layout.txt,txt,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/rejection_negative_search_log.csv,csv,20,3830,39a4b8fe5fb7ad8e09e32ea30c7cbab7f36092051ae4bc696752554220893ad0,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/row_schema.csv,csv,51,3440,dda0772d8f9818d98bd035c186bf04ab734c98eaefd59632c0e6d325f409319b,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/source_evidence_table.csv,csv,63,53332,e69c6e39caeaf0afc1b954915cb9ad624463ca1ad681e2554ca197a7004c5851,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/source_file_hashes.csv,csv,12,2937,5254173eed1f901047cb9de05ead4043ffa366f954d022abc89436e1e2391a70,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/thermoml_diagnostics.csv,csv,6,336,969b6065ceb18e10690ef098852407f9d55cb4582e4fdf6ecc96715b015afc6a,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/thermoml_flat_rows.csv,csv,0,5,f01a374e9c81e3db89b3a42940c4d6a5447684986a1296e42bf13f196eed6295,prohibited
quarantine,quarantine/chatgpt_audits/audit_2026-07-23_b,quarantine/chatgpt_audits/audit_2026-07-23_b/unresolved_blockers.csv,csv,10,3338,a53399dbbb1585a100a4cd0442c89c2bde986deb4fbc8bb7d0b5232abcefeb85,prohibited
quarantine,quarantine/chatgpt_audits/audit_conflicts.csv,quarantine/chatgpt_audits/audit_conflicts.csv,csv,7,1662,20361c1c6d11ef09681bca50360e910ca90eef02e3aaefba49bd63e91fbefd2c,prohibited
