model_id,observation_id,source_key,mea_mass_fraction,temperature_k,temperature_c,loading_mol_co2_per_mol_mea,state_pressure_pa,observed_pco2_pa,predicted_pco2_pa,log10_pressure_residual,carbamate_target_mole_fraction,predicted_carbamate_mole_fraction,log10_carbamate_residual,carbamate_interpolation_lower_row,carbamate_interpolation_upper_row,ln_k4,a,b_k,c,d_per_k,split,role,group_id,measurement_origin,certification,reaction_affinity_inf_norm,kkt_stationarity_inf_norm,pressure_relative_residual,packing_fraction,minimum_amount_mol,model_fingerprint,dlog10_pco2_dlnk_R1,dlog10_pco2_dlnk_R2,dlog10_pco2_dlnk_R3,dlog10_pco2_dlnk_R4,dlog10_pco2_dlnk_R5,dlog10_meacoo_dlnk_R1,dlog10_meacoo_dlnk_R2,dlog10_meacoo_dlnk_R3,dlog10_meacoo_dlnk_R4,dlog10_meacoo_dlnk_R5
M5_literature_R4,vle_obs_0279,Xu2011,0.3,393.15,120.0,0.37,241000.0,63000.0,807343.4880673595,1.1077177972067258,,0.03153161136527892,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|w=0.3|T=120.0,total_pressure_derived,LOCAL_EQUILIBRIUM,5.684341886080802e-14,1.2789769243681803e-13,8.46909390012753e-13,0.4479923248381193,8.906555388382371e-09,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_literature_R4,vle_obs_0280,Xu2011,0.3,393.15,120.0,0.385,287000.0,108000.0,849651.2712382368,0.8958169560470546,,0.032234962144455835,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|w=0.3|T=120.0,total_pressure_derived,LOCAL_EQUILIBRIUM,1.5631940186722204e-13,2.5579538487363607e-13,1.3929275789327323e-12,0.447947360876506,9.435496208113805e-09,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_literature_R4,vle_obs_0281,Xu2011,0.3,393.15,120.0,0.387,241000.0,62000.0,1041303.1171735554,1.2251854789689254,,0.03231939399281982,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|w=0.3|T=120.0,total_pressure_derived,LOCAL_EQUILIBRIUM,5.684341886080802e-14,2.8421709430404007e-13,1.8176006315531078e-12,0.4479339067133088,9.508130306301277e-09,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_literature_R4,vle_obs_0282,Xu2011,0.3,393.15,120.0,0.422,415000.0,237000.0,1018545.1006222081,0.6332319180749246,,0.03357201514499658,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|w=0.3|T=120.0,total_pressure_derived,LOCAL_EQUILIBRIUM,7.105427357601002e-14,3.410605131648481e-13,2.7126172579914693e-13,0.44774159630665683,1.095640139534439e-08,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_literature_R4,vle_obs_0283,Xu2011,0.3,393.15,120.0,0.423,370000.0,192000.0,1158131.0441966653,0.7804564745147687,,0.03359813667142163,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|w=0.3|T=120.0,total_pressure_derived,LOCAL_EQUILIBRIUM,4.2969585707536134e-14,1.2789769243681803e-13,8.117608927391671e-14,0.4477287768717831,1.1000995232813266e-08,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_literature_R4,vle_obs_0284,Xu2011,0.3,393.15,120.0,0.492,565000.0,387000.0,2025039.2712907721,0.7187224848228886,,0.03433171556423678,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|w=0.3|T=120.0,total_pressure_derived,LOCAL_EQUILIBRIUM,5.684341886080802e-14,2.2737367544323206e-13,7.739043341273755e-13,0.4469032339410024,1.4893988561767119e-08,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_literature_R4,vle_obs_0285,Xu2011,0.3,393.15,120.0,0.508,691000.0,512000.0,2059303.273949803,0.6044503489758267,,0.034166077314804,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|w=0.3|T=120.0,total_pressure_derived,LOCAL_EQUILIBRIUM,5.684341886080802e-14,1.6342482922482304e-13,2.537213815793977e-13,0.4466339243225006,1.6029121435433645e-08,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_literature_R4,vle_obs_0286,Xu2011,0.3,393.15,120.0,0.314,189000.0,50000.0,438599.95440401847,0.9430985778570945,,0.028229928279259443,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|nominal_T=120,total_pressure_derived,LOCAL_EQUILIBRIUM,2.842170943040401e-14,1.1013412404281553e-13,3.646756152785014e-12,0.44801219010382626,7.27189815746245e-09,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_literature_R4,vle_obs_0287,Xu2011,0.3,393.15,120.0,0.467,467000.0,283000.0,1729624.9998021645,0.7861655183731406,,0.034337971639262256,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|nominal_T=120,total_pressure_derived,LOCAL_EQUILIBRIUM,5.684341886080802e-14,1.1368683772161603e-13,5.970336097976636e-14,0.44726851575340704,1.3306001849869626e-08,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_literature_R4,vle_obs_0288,Xu2011,0.3,393.15,120.0,0.314,184000.0,45000.0,450473.38201001455,1.0004566203017833,,0.028229696321088002,,,,-1.7795608546356356,2.151,-1545.3,0.0,0.0,validation,reserved_validation,vle|Xu2011|nominal_T=120,total_pressure_derived,LOCAL_EQUILIBRIUM,5.684341886080802e-14,1.7053025658242404e-13,2.702701907685917e-12,0.4480116362762488,7.271843884556399e-09,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
M5_fitted_R4,vle_obs_0107,Hilliard2008,0.17,313.15,40.0,0.121,6889.46,5.55,7.758176037800694,0.14546664666289624,,0.006889821168156489,,,,-8.17672936726376,32032.62180599853,-987556.1401891113,-5435.370627375245,7.498546416837179,validation,reserved_validation,vle|Hilliard2008|w=0.17|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,4.263256414560601e-14,2.8421709430404007e-13,3.7689431081894554e-11,0.48000955454588107,8.929313222994287e-11,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,,,,,,,,,,
